network_level,alpha,beta,initial_u_A,initial_m_A,initial_lead,final_u_A,final_m_A,lock_index_LT,state
弱网络效应,0.3,0.3,0.5,0.5,0.0,0.5,0.5,0.25,未锁定
弱网络效应,0.3,0.3,0.55,0.55,0.050000000000000044,0.5000000000000026,0.5000000000000026,0.25000000000000255,未锁定
弱网络效应,0.3,0.3,0.65,0.65,0.15000000000000002,0.5000000000000026,0.5000000000000026,0.25000000000000255,未锁定
弱网络效应,0.3,0.3,0.75,0.75,0.25,0.5000000000000026,0.5000000000000026,0.25000000000000255,未锁定
弱网络效应,0.3,0.3,0.85,0.85,0.35,0.5000000000000026,0.5000000000000026,0.25000000000000255,未锁定
中等网络效应,0.8,0.8,0.5,0.5,0.0,0.5,0.5,0.25,未锁定
中等网络效应,0.8,0.8,0.55,0.55,0.050000000000000044,0.6848165203637149,0.6848165203637149,0.4689736665630663,未锁定
中等网络效应,0.8,0.8,0.65,0.65,0.15000000000000002,0.6853276289031585,0.6853276289031585,0.46967395893802527,未锁定
中等网络效应,0.8,0.8,0.75,0.75,0.25,0.6853757361364283,0.6853757361364283,0.46973989968455104,未锁定
中等网络效应,0.8,0.8,0.85,0.85,0.35,0.6853908418545039,0.6853908418545039,0.4697606060980256,未锁定
强网络效应,1.5,1.5,0.5,0.5,0.0,0.5,0.5,0.25,未锁定
强网络效应,1.5,1.5,0.55,0.55,0.050000000000000044,0.9621260705199833,0.9621260705199833,0.925686575574224,锁定
强网络效应,1.5,1.5,0.65,0.65,0.15000000000000002,0.9621260705199833,0.9621260705199833,0.925686575574224,锁定
强网络效应,1.5,1.5,0.75,0.75,0.25,0.9621260705199833,0.9621260705199833,0.925686575574224,锁定
强网络效应,1.5,1.5,0.85,0.85,0.35,0.9621260705199833,0.9621260705199833,0.925686575574224,锁定
