k,final_u_A,final_m_A,concentration_C,market_state
0.0,0.500000000000002,0.500000000000002,3.9968028886505635e-15,双平台共存
0.05,0.5000000000000024,0.5000000000000024,4.884981308350689e-15,双平台共存
0.1,0.5000000000000029,0.5000000000000029,5.773159728050814e-15,双平台共存
0.15,0.500000000001571,0.500000000001571,3.141931159689193e-12,双平台共存
0.2,0.5000000018826942,0.5000000018826942,3.765388445486906e-09,双平台共存
0.25,0.5000021803249973,0.5000021803249973,4.360649994650245e-06,双平台共存
0.3,0.5023895839486803,0.5023895839486803,0.004779167897360548,双平台共存
0.35,0.6848213287218939,0.6848213287218939,0.3696426574437879,市场倾斜
0.4,0.7862284115796643,0.7862284115796643,0.5724568231593286,市场倾斜
0.45,0.8429920344284676,0.8429920344284676,0.6859840688569352,市场倾斜
0.5,0.8806060332311256,0.8806060332311256,0.7612120664622513,市场倾斜
0.55,0.9072642656062482,0.9072642656062482,0.8145285312124964,市场锁定
0.6,0.9269042775817757,0.9269042775817757,0.8538085551635515,市场锁定
0.65,0.9417524515395659,0.9417524515395659,0.8835049030791318,市场锁定
0.7,0.9531897526406807,0.9531897526406807,0.9063795052813615,市场锁定
0.75,0.9621260705199834,0.9621260705199834,0.9242521410399669,市场锁定
0.8,0.969187135949056,0.969187135949056,0.9383742718981121,市场锁定
0.85,0.9748173118660493,0.9748173118660493,0.9496346237320985,市场锁定
0.9,0.9793401834072866,0.9793401834072866,0.9586803668145731,市场锁定
0.95,0.982996193662292,0.982996193662292,0.9659923873245839,市场锁定
1.0,0.9859670009962436,0.9859670009962436,0.9719340019924871,市场锁定
1.05,0.9883917737000345,0.9883917737000345,0.976783547400069,市场锁定
1.1,0.9903783932842014,0.9903783932842014,0.9807567865684028,市场锁定
1.15,0.9920113368157968,0.9920113368157968,0.9840226736315936,市场锁定
1.2,0.9933573331283216,0.9933573331283216,0.9867146662566433,市场锁定
1.25,0.9944694915259258,0.9944694915259258,0.9889389830518516,市场锁定
1.3,0.9953903609030998,0.9953903609030998,0.9907807218061997,市场锁定
1.35,0.9961542264935783,0.9961542264935783,0.9923084529871566,市场锁定
1.4,0.9967888545992176,0.9967888545992176,0.9935777091984352,市场锁定
1.45,0.9973168319500327,0.9973168319500327,0.9946336639000655,市场锁定
1.5,0.9977566035982084,0.9977566035982084,0.9955132071964168,市场锁定
1.55,0.9981232840374821,0.9981232840374821,0.9962465680749641,市场锁定
1.6,0.998429295951281,0.998429295951281,0.9968585919025621,市场锁定
1.65,0.9986848766939223,0.9986848766939223,0.9973697533878445,市场锁定
1.7,0.9988984823953502,0.9988984823953502,0.9977969647907003,市场锁定
1.75,0.999077112194154,0.999077112194154,0.9981542243883079,市场锁定
1.8,0.9992265697022225,0.9992265697022225,0.9984531394044449,市场锁定
1.85,0.9993516748126681,0.9993516748126681,0.9987033496253361,市场锁定
1.9,0.9994564359838616,0.9994564359838616,0.9989128719677232,市场锁定
1.95,0.9995441908891787,0.9995441908891787,0.9990883817783573,市场锁定
2.0,0.9996177216183362,0.9996177216183362,0.9992354432366723,市场锁定
2.05,0.9996793493117737,0.9996793493117737,0.9993586986235474,市场锁定
2.1,0.9997310121033327,0.9997310121033327,0.9994620242066654,市场锁定
2.15,0.999774329464761,0.999774329464761,0.9995486589295219,市场锁定
2.2,0.9998106554341852,0.9998106554341852,0.9996213108683705,市场锁定
2.25,0.9998411227295327,0.9998411227295327,0.9996822454590655,市场锁定
2.3,0.9998666793669535,0.9998666793669535,0.999733358733907,市场锁定
2.35,0.9998881191010582,0.9998881191010582,0.9997762382021165,市场锁定
2.4,0.9999061067611485,0.9999061067611485,0.9998122135222971,市场锁定
2.45,0.9999211993625512,0.9999211993625512,0.9998423987251024,市场锁定
2.5,0.9999338637146191,0.9999338637146191,0.9998677274292382,市场锁定
2.55,0.999944491119241,0.999944491119241,0.999888982238482,市场锁定
2.6,0.9999534096497253,0.9999534096497253,0.9999068192994507,市场锁定
2.65,0.9999608944150253,0.9999608944150253,0.9999217888300507,市场锁定
2.7,0.9999671761447182,0.9999671761447182,0.9999343522894364,市场锁定
2.75,0.9999724483729988,0.9999724483729988,0.9999448967459976,市场锁定
2.8,0.9999768734528953,0.9999768734528953,0.9999537469057906,市场锁定
2.85,0.9999805875930599,0.9999805875930599,0.9999611751861197,市场锁定
2.9,0.9999837050773404,0.9999837050773404,0.9999674101546807,市场锁定
2.95,0.9999863218007272,0.9999863218007272,0.9999726436014544,市场锁定
3.0,0.9999885182331434,0.9999885182331434,0.9999770364662868,市场锁定
3.05,0.9999903619041812,0.9999903619041812,0.9999807238083624,市场锁定
3.1,0.9999919094866003,0.9999919094866003,0.9999838189732007,市场锁定
3.15,0.9999932085436487,0.9999932085436487,0.9999864170872974,市场锁定
3.2,0.9999942989946504,0.9999942989946504,0.9999885979893008,市场锁定
3.25,0.9999952143444284,0.9999952143444284,0.9999904286888568,市场锁定
3.3,0.9999959827147222,0.9999959827147222,0.9999919654294445,市场锁定
3.35,0.9999966277095653,0.9999966277095653,0.9999932554191306,市场锁定
3.4,0.9999971691414056,0.9999971691414056,0.9999943382828111,市场锁定
3.45,0.9999976236404169,0.9999976236404169,0.9999952472808338,市场锁定
3.5,0.9999980051658222,0.9999980051658222,0.9999960103316443,市场锁定
3.55,0.9999983254350042,0.9999983254350042,0.9999966508700084,市场锁定
3.6,0.9999985942836409,0.9999985942836409,0.9999971885672818,市场锁定
3.65,0.9999988199679564,0.9999988199679564,0.9999976399359127,市场锁定
3.7,0.9999990094184081,0.9999990094184081,0.9999980188368163,市场锁定
3.75,0.9999991684526102,0.9999991684526102,0.9999983369052203,市场锁定
3.8,0.9999993019540512,0.9999993019540512,0.9999986039081024,市场锁定
3.85,0.9999994140221031,0.9999994140221031,0.9999988280442063,市场锁定
3.9,0.9999995080979374,0.9999995080979374,0.9999990161958747,市场锁定
3.95,0.9999995870702147,0.9999995870702147,0.9999991741404295,市场锁定
4.0,0.9999996533638031,0.9999996533638031,0.9999993067276063,市场锁定
4.05,0.9999997090142467,0.9999997090142467,0.9999994180284935,市场锁定
4.1,0.9999997557302776,0.9999997557302776,0.9999995114605551,市场锁定
4.15,0.9999997949462884,0.9999997949462884,0.9999995898925769,市场锁定
4.2,0.9999998278663806,0.9999998278663806,0.9999996557327613,市场锁定
4.25,0.9999998555013374,0.9999998555013374,0.9999997110026748,市场锁定
4.3,0.9999998786996638,0.9999998786996638,0.9999997573993276,市场锁定
4.35,0.9999998981736384,0.9999998981736384,0.9999997963472769,市场锁定
4.4,0.9999999145211869,0.9999999145211869,0.9999998290423737,市场锁定
4.45,0.9999999282442391,0.9999999282442391,0.9999998564884782,市场锁定
4.5,0.9999999397641437,0.9999999397641437,0.9999998795282874,市场锁定
4.55,0.9999999494346021,0.9999999494346021,0.9999998988692043,市场锁定
4.6,0.999999957552532,0.999999957552532,0.999999915105064,市场锁定
4.65,0.9999999643671824,0.9999999643671824,0.9999999287343648,市场锁定
4.7,0.9999999700877864,0.9999999700877864,0.9999999401755728,市场锁定
4.75,0.9999999748899859,0.9999999748899859,0.9999999497799719,市场锁定
4.8,0.9999999789212248,0.9999999789212248,0.9999999578424497,市场锁定
4.85,0.9999999823052761,0.9999999823052761,0.9999999646105522,市场锁定
4.9,0.999999985146041,0.999999985146041,0.9999999702920821,市场锁定
4.95,0.9999999875307406,0.9999999875307406,0.9999999750614812,市场锁定
5.0,0.9999999895325933,0.9999999895325933,0.9999999790651866,市场锁定
