network_level,alpha,beta,delta_q,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,state
弱网络效应,0.3,0.3,0.0,0.5000000000000026,0.5000000000000026,0.49999999999999745,0.49999999999999745,0.49999999999999745,双平台共存
弱网络效应,0.3,0.3,0.01,0.48889295005738986,0.48889295005738986,0.5111070499426101,0.5111070499426101,0.5111070499426101,双平台共存
弱网络效应,0.3,0.3,0.02,0.4778101893910007,0.4778101893910007,0.5221898106089993,0.5221898106089993,0.5221898106089993,双平台共存
弱网络效应,0.3,0.3,0.03,0.4667756222426928,0.4667756222426928,0.5332243777573071,0.5332243777573071,0.5332243777573071,双平台共存
弱网络效应,0.3,0.3,0.04,0.45581239945019514,0.45581239945019514,0.5441876005498049,0.5441876005498049,0.5441876005498049,双平台共存
弱网络效应,0.3,0.3,0.05,0.44494258201261844,0.44494258201261844,0.5550574179873815,0.5550574179873815,0.5550574179873815,双平台共存
弱网络效应,0.3,0.3,0.06,0.43418684926360984,0.43418684926360984,0.5658131507363902,0.5658131507363902,0.5658131507363902,双平台共存
弱网络效应,0.3,0.3,0.07,0.4235642608630925,0.4235642608630925,0.5764357391369075,0.5764357391369075,0.5764357391369075,双平台共存
弱网络效应,0.3,0.3,0.08,0.41309207792187486,0.41309207792187486,0.5869079220781251,0.5869079220781251,0.5869079220781251,双平台共存
弱网络效应,0.3,0.3,0.09,0.4027856446801636,0.4027856446801636,0.5972143553198364,0.5972143553198364,0.5972143553198364,双平台共存
弱网络效应,0.3,0.3,0.1,0.3926583286521386,0.3926583286521386,0.6073416713478614,0.6073416713478614,0.6073416713478614,市场倾斜
弱网络效应,0.3,0.3,0.11,0.38272151429988244,0.38272151429988244,0.6172784857001176,0.6172784857001176,0.6172784857001176,市场倾斜
弱网络效应,0.3,0.3,0.12,0.37298464326083325,0.37298464326083325,0.6270153567391668,0.6270153567391668,0.6270153567391668,市场倾斜
弱网络效应,0.3,0.3,0.13,0.36345529295220186,0.36345529295220186,0.6365447070477981,0.6365447070477981,0.6365447070477981,市场倾斜
弱网络效应,0.3,0.3,0.14,0.3541392849445313,0.3541392849445313,0.6458607150554687,0.6458607150554687,0.6458607150554687,市场倾斜
弱网络效应,0.3,0.3,0.15,0.34504081470105563,0.34504081470105563,0.6549591852989444,0.6549591852989444,0.6549591852989444,市场倾斜
弱网络效应,0.3,0.3,0.16,0.33616259495495,0.33616259495495,0.66383740504505,0.66383740504505,0.66383740504505,市场倾斜
弱网络效应,0.3,0.3,0.17,0.32750600597549523,0.32750600597549523,0.6724939940245047,0.6724939940245047,0.6724939940245047,市场倾斜
弱网络效应,0.3,0.3,0.18,0.31907124710666385,0.31907124710666385,0.6809287528933361,0.6809287528933361,0.6809287528933361,市场倾斜
弱网络效应,0.3,0.3,0.19,0.31085748512655553,0.31085748512655553,0.6891425148734445,0.6891425148734445,0.6891425148734445,市场倾斜
弱网络效应,0.3,0.3,0.2,0.3028629960851295,0.3028629960851295,0.6971370039148705,0.6971370039148705,0.6971370039148705,市场倾斜
弱网络效应,0.3,0.3,0.21,0.29508529827364094,0.29508529827364094,0.7049147017263591,0.7049147017263591,0.7049147017263591,市场倾斜
弱网络效应,0.3,0.3,0.22,0.28752127483156675,0.28752127483156675,0.7124787251684332,0.7124787251684332,0.7124787251684332,市场倾斜
弱网络效应,0.3,0.3,0.23,0.2801672851955354,0.2801672851955354,0.7198327148044645,0.7198327148044645,0.7198327148044645,市场倾斜
弱网络效应,0.3,0.3,0.24,0.273019265144251,0.273019265144251,0.726980734855749,0.726980734855749,0.726980734855749,市场倾斜
弱网络效应,0.3,0.3,0.25,0.26607281560707946,0.26607281560707946,0.7339271843929205,0.7339271843929205,0.7339271843929205,市场倾斜
弱网络效应,0.3,0.3,0.26,0.25932328070008365,0.25932328070008365,0.7406767192999164,0.7406767192999164,0.7406767192999164,市场倾斜
弱网络效应,0.3,0.3,0.27,0.2527658156517588,0.2527658156517588,0.7472341843482412,0.7472341843482412,0.7472341843482412,市场倾斜
弱网络效应,0.3,0.3,0.28,0.246395445400973,0.246395445400973,0.753604554599027,0.753604554599027,0.753604554599027,市场倾斜
弱网络效应,0.3,0.3,0.29,0.24020711470939962,0.24020711470939962,0.7597928852906004,0.7597928852906004,0.7597928852906004,市场倾斜
弱网络效应,0.3,0.3,0.3,0.23419573064540314,0.23419573064540314,0.7658042693545969,0.7658042693545969,0.7658042693545969,市场倾斜
弱网络效应,0.3,0.3,0.31,0.22835619827874806,0.22835619827874806,0.7716438017212519,0.7716438017212519,0.7716438017212519,市场倾斜
弱网络效应,0.3,0.3,0.32,0.2226834503859379,0.2226834503859379,0.7773165496140622,0.7773165496140622,0.7773165496140622,市场倾斜
弱网络效应,0.3,0.3,0.33,0.2171724719125687,0.2171724719125687,0.7828275280874313,0.7828275280874313,0.7828275280874313,市场倾斜
弱网络效应,0.3,0.3,0.34,0.21181831987791863,0.21181831987791863,0.7881816801220813,0.7881816801220813,0.7881816801220813,市场倾斜
弱网络效应,0.3,0.3,0.35,0.2066161393426107,0.2066161393426107,0.7933838606573893,0.7933838606573893,0.7933838606573893,市场倾斜
弱网络效应,0.3,0.3,0.36,0.20156117599580223,0.20156117599580223,0.7984388240041977,0.7984388240041977,0.7984388240041977,市场倾斜
弱网络效应,0.3,0.3,0.37,0.1966487858561582,0.1966487858561582,0.8033512141438418,0.8033512141438418,0.8033512141438418,平台锁定
弱网络效应,0.3,0.3,0.38,0.1918744425222696,0.1918744425222696,0.8081255574777304,0.8081255574777304,0.8081255574777304,平台锁定
弱网络效应,0.3,0.3,0.39,0.1872337423540011,0.1872337423540011,0.8127662576459989,0.8127662576459989,0.8127662576459989,平台锁定
弱网络效应,0.3,0.3,0.4,0.18272240791689814,0.18272240791689814,0.8172775920831019,0.8172775920831019,0.8172775920831019,平台锁定
弱网络效应,0.3,0.3,0.41,0.1783362899773409,0.1783362899773409,0.8216637100226591,0.8216637100226591,0.8216637100226591,平台锁定
弱网络效应,0.3,0.3,0.42,0.17407136829649672,0.17407136829649672,0.8259286317035033,0.8259286317035033,0.8259286317035033,平台锁定
弱网络效应,0.3,0.3,0.43,0.1699237514360541,0.1699237514360541,0.8300762485639459,0.8300762485639459,0.8300762485639459,平台锁定
弱网络效应,0.3,0.3,0.44,0.1658896757578917,0.1658896757578917,0.8341103242421083,0.8341103242421083,0.8341103242421083,平台锁定
弱网络效应,0.3,0.3,0.45,0.16196550377289273,0.16196550377289273,0.8380344962271072,0.8380344962271072,0.8380344962271072,平台锁定
弱网络效应,0.3,0.3,0.46,0.1581477219706766,0.1581477219706766,0.8418522780293234,0.8418522780293234,0.8418522780293234,平台锁定
弱网络效应,0.3,0.3,0.47,0.15443293824171722,0.15443293824171722,0.8455670617582828,0.8455670617582828,0.8455670617582828,平台锁定
弱网络效应,0.3,0.3,0.48,0.15081787898579563,0.15081787898579563,0.8491821210142043,0.8491821210142043,0.8491821210142043,平台锁定
弱网络效应,0.3,0.3,0.49,0.14729938598566503,0.14729938598566503,0.852700614014335,0.852700614014335,0.852700614014335,平台锁定
弱网络效应,0.3,0.3,0.5,0.14387441311187654,0.14387441311187654,0.8561255868881235,0.8561255868881235,0.8561255868881235,平台锁定
弱网络效应,0.3,0.3,0.51,0.14054002291366283,0.14054002291366283,0.8594599770863371,0.8594599770863371,0.8594599770863371,平台锁定
弱网络效应,0.3,0.3,0.52,0.13729338314134282,0.13729338314134282,0.8627066168586572,0.8627066168586572,0.8627066168586572,平台锁定
弱网络效应,0.3,0.3,0.53,0.1341317632376848,0.1341317632376848,0.8658682367623152,0.8658682367623152,0.8658682367623152,平台锁定
弱网络效应,0.3,0.3,0.54,0.13105253082885285,0.13105253082885285,0.8689474691711472,0.8689474691711472,0.8689474691711472,平台锁定
弱网络效应,0.3,0.3,0.55,0.1280531482397875,0.1280531482397875,0.8719468517602125,0.8719468517602125,0.8719468517602125,平台锁定
弱网络效应,0.3,0.3,0.56,0.12513116905399768,0.12513116905399768,0.8748688309460023,0.8748688309460023,0.8748688309460023,平台锁定
弱网络效应,0.3,0.3,0.57,0.12228423473362998,0.12228423473362998,0.8777157652663701,0.8777157652663701,0.8777157652663701,平台锁定
弱网络效应,0.3,0.3,0.58,0.11951007131222793,0.11951007131222793,0.8804899286877721,0.8804899286877721,0.8804899286877721,平台锁定
弱网络效应,0.3,0.3,0.59,0.11680648616969566,0.11680648616969566,0.8831935138303043,0.8831935138303043,0.8831935138303043,平台锁定
弱网络效应,0.3,0.3,0.6,0.11417136489656818,0.11417136489656818,0.8858286351034318,0.8858286351034318,0.8858286351034318,平台锁定
弱网络效应,0.3,0.3,0.61,0.11160266825266957,0.11160266825266957,0.8883973317473304,0.8883973317473304,0.8883973317473304,平台锁定
弱网络效应,0.3,0.3,0.62,0.10909842922357689,0.10909842922357689,0.8909015707764231,0.8909015707764231,0.8909015707764231,平台锁定
弱网络效应,0.3,0.3,0.63,0.10665675017692627,0.10665675017692627,0.8933432498230738,0.8933432498230738,0.8933432498230738,平台锁定
弱网络效应,0.3,0.3,0.64,0.10427580011947088,0.10427580011947088,0.8957241998805291,0.8957241998805291,0.8957241998805291,平台锁定
弱网络效应,0.3,0.3,0.65,0.10195381205487572,0.10195381205487572,0.8980461879451243,0.8980461879451243,0.8980461879451243,平台锁定
弱网络效应,0.3,0.3,0.66,0.09968908044149015,0.09968908044149015,0.9003109195585098,0.9003109195585098,0.9003109195585098,平台锁定
弱网络效应,0.3,0.3,0.67,0.09747995874874335,0.09747995874874335,0.9025200412512566,0.9025200412512566,0.9025200412512566,平台锁定
弱网络效应,0.3,0.3,0.68,0.0953248571103319,0.0953248571103319,0.9046751428896681,0.9046751428896681,0.9046751428896681,平台锁定
弱网络效应,0.3,0.3,0.69,0.09322224007200497,0.09322224007200497,0.906777759927995,0.906777759927995,0.906777759927995,平台锁定
弱网络效应,0.3,0.3,0.7,0.09117062443146831,0.09117062443146831,0.9088293755685317,0.9088293755685317,0.9088293755685317,平台锁定
弱网络效应,0.3,0.3,0.71,0.0891685771677227,0.0891685771677227,0.9108314228322774,0.9108314228322774,0.9108314228322774,平台锁定
弱网络效应,0.3,0.3,0.72,0.08721471345700386,0.08721471345700386,0.9127852865429962,0.9127852865429962,0.9127852865429962,平台锁定
弱网络效应,0.3,0.3,0.73,0.08530769477239468,0.08530769477239468,0.9146923052276054,0.9146923052276054,0.9146923052276054,平台锁定
