budget_B,strategy,subsidy_user,subsidy_merchant,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,profit
0.0,只补贴用户,0.0,0.0,0.8976107334980599,0.8976107334980599,0.10238926650194013,0.10238926650194013,0.10238926650194013,2.8251605849530557
0.0,偏用户补贴,0.0,0.0,0.8976107334980599,0.8976107334980599,0.10238926650194013,0.10238926650194013,0.10238926650194013,2.8251605849530557
0.0,均衡补贴,0.0,0.0,0.8976107334980599,0.8976107334980599,0.10238926650194013,0.10238926650194013,0.10238926650194013,2.8251605849530557
0.01,只补贴用户,0.01,0.0,0.8941913773338439,0.8961151477290403,0.1058086226661561,0.10388485227095967,0.10484673746855788,2.465111725107751
0.01,偏用户补贴,0.0075,0.0025,0.8946783241084952,0.8956401853478242,0.10532167589150476,0.10435981465217581,0.10484074527184029,2.46497131565908
0.01,均衡补贴,0.005,0.005,0.8951612520805294,0.8951612520805294,0.10483874791947057,0.10483874791947057,0.10483874791947057,2.4649245149033154
0.02,只补贴用户,0.02,0.0,0.8906142790912264,0.8945270440968409,0.10938572090877363,0.10547295590315908,0.10742933840596636,2.114018199494881
0.02,偏用户补贴,0.015,0.005,0.8916172325386522,0.8935734187672881,0.10838276746134778,0.10642658123271187,0.10740467434702983,2.1134144587990127
0.02,均衡补贴,0.01,0.01,0.8926035462169326,0.8926035462169326,0.10739645378306739,0.10739645378306739,0.10739645378306739,2.1132132543194753
0.03,只补贴用户,0.03,0.0,0.8868668436366454,0.8928371284924801,0.11313315636335464,0.10716287150751991,0.11014801393543727,1.7728585787722417
0.03,偏用户补贴,0.0225,0.0075,0.8884169285245609,0.891401391988986,0.11158307147543911,0.10859860801101395,0.11009083974322653,1.7713950196103758
0.03,均衡补贴,0.015,0.015,0.8899282140706453,0.8899282140706453,0.11007178592935474,0.11007178592935474,0.11007178592935474,1.7709074053483955
0.04,只补贴用户,0.04,0.0,0.8829346872975417,0.8910346467039794,0.11706531270245835,0.10896535329602064,0.11301533299923949,1.44277001839929
0.04,偏用户补贴,0.03,0.01,0.8850653681171521,0.8891136965540825,0.11493463188284792,0.11088630344591754,0.11291046766438273,1.4399597387093965
0.04,均衡补贴,0.02,0.02,0.8871244730876164,0.8871244730876164,0.11287552691238356,0.11287552691238356,0.11287552691238356,1.4390238217867368
0.05,只补贴用户,0.05,0.0,0.8788012450989311,0.8891070524541029,0.1211987549010689,0.11089294754589707,0.11604585122348299,1.1250843946070657
0.05,偏用户补贴,0.037500000000000006,0.0125,0.8815486655407501,0.8866982562989338,0.11845133445924994,0.11330174370106616,0.11587653908015805,1.1203284662704098
0.05,均衡补贴,0.025,0.025,0.8841798606245015,0.8841798606245015,0.11582013937549851,0.11582013937549851,0.11582013937549851,1.1187454672255188
0.06,只补贴用户,0.06,0.0,0.8744472581647176,0.8870395726494358,0.12555274183528242,0.11296042735056422,0.11925658459292332,0.8213755111200198
0.06,偏用户补贴,0.045,0.015,0.8778506672270452,0.8841409359515902,0.12214933277295481,0.11585906404840984,0.11900419841068233,0.8139348792550286
0.06,均衡补贴,0.03,0.03,0.8810798458400637,0.8810798458400637,0.11892015415993629,0.11892015415993629,0.11892015415993629,0.81146007788284
0.07,只补贴用户,0.07,0.0,0.8698500931650228,0.8848146282135771,0.13014990683497718,0.11518537178642285,0.12266763931070002,0.5335217854895142
0.07,偏用户补贴,0.052500000000000005,0.0175,0.8739523898162858,0.8814250238784631,0.12604761018371424,0.11857497612153689,0.12231129315262557,0.5224801527643878
0.07,均衡补贴,0.035,0.035,0.8778073184711919,0.8778073184711919,0.12219268152880813,0.12219268152880813,0.12219268152880813,0.518810997993964
0.08,只补贴用户,0.08,0.0,0.8649828210091184,0.882411047401644,0.13501717899088161,0.117588952598356,0.1263030657946188,0.2637910527194588
0.08,偏用户补贴,0.06,0.02,0.869831264918679,0.8785305358364706,0.13016873508132099,0.12146946416352944,0.1258190996224252,0.24800496403956698
0.08,均衡补贴,0.04,0.04,0.8743419031860173,0.8743419031860173,0.12565809681398266,0.12565809681398266,0.12565809681398266,0.24276518568793665
0.09,只补贴用户,0.09,0.0,0.8598129414174602,0.8798029731383976,0.14018705858253977,0.12019702686160239,0.13019204272207108,0.014957760605192041
0.09,偏用户补贴,0.0675,0.0225,0.8654601026172937,0.8754332578810617,0.13453989738270633,0.12456674211893826,0.1295533197508223,-0.007011947044230299
0.09,均衡补贴,0.045,0.045,0.8706590208687646,0.8706590208687646,0.12934097913123543,0.12934097913123543,0.12934097913123543,-0.014294000607212028
0.1,只补贴用户,0.1,0.0,0.8543005708633113,0.8769583055621533,0.14569942913668865,0.12304169443784674,0.1343705617872677,-0.20953102340202798
0.1,偏用户补贴,0.07500000000000001,0.025,0.8608056339837515,0.8721033983660305,0.13919436601624846,0.12789660163396954,0.133545483825109,-0.23951570315833995
0.1,均衡补贴,0.05,0.05,0.8667285725387763,0.8667285725387763,0.13327142746122367,0.13327142746122367,0.13327142746122367,-0.24943730207016218
0.11,只补贴用户,0.11,0.0,0.8483957884302129,0.8738364134521555,0.1516042115697871,0.12616358654784454,0.13888389905881582,-0.4053135589027027
0.11,偏用户补贴,0.0825,0.0275,0.8558264025872546,0.8685036347134842,0.14417359741274538,0.13149636528651576,0.13783498134963057,-0.44567656066576194
0.11,均衡补贴,0.055,0.055,0.8625130423593499,0.8625130423593499,0.1374869576406501,0.1374869576406501,0.1374869576406501,-0.4590039863893612
0.12,只补贴用户,0.12,0.0,0.8420346043402116,0.8703846469515719,0.1579653956597884,0.12961535304842808,0.14379037435410824,-0.5667481331972429
0.12,偏用户补贴,0.09,0.03,0.8504696098272007,0.8645861863885449,0.14953039017279934,0.1354138136114551,0.14247210189212722,-0.6205946025195521
0.12,均衡补贴,0.06,0.06,0.8579646722533747,0.8579646722533747,0.1420353277466253,0.1420353277466253,0.1420353277466253,-0.6383275197393091
0.13,只补贴用户,0.13,0.0,0.8351325599413619,0.866532783972294,0.16486744005863807,0.13346721602770595,0.149167328043172,-0.6863382948315025
0.13,偏用户补贴,0.0975,0.0325,0.8446661996816924,0.8602882471080637,0.15533380031830757,0.13971175289193627,0.14752277660512192,-0.7578437646386499
0.13,均衡补贴,0.065,0.065,0.853021084757738,0.853021084757738,0.14697891524226203,0.14697891524226203,0.14697891524226203,-0.78131464025861
0.14,只补贴用户,0.14,0.0,0.8275739944766682,0.8621836872077941,0.17242600552333176,0.13781631279220585,0.1551211591577688,-0.7537806290346087
0.14,偏用户补贴,0.10500000000000001,0.035,0.8383228086099634,0.8555244919999874,0.16167719139003656,0.14447550800001263,0.1530763496950246,-0.8487339202296635
0.14,均衡补贴,0.07,0.07,0.8475981664495249,0.8475981664495249,0.1524018335504751,0.1524018335504751,0.1524018335504751,-0.8797694320638072
0.15,只补贴用户,0.15,0.0,0.8191927353475077,0.8571964429228955,0.1808072646524923,0.14280355707710446,0.16180541086479838,-0.7542801285017745
0.15,偏用户补贴,0.11249999999999999,0.0375,0.8313077241167426,0.8501739875865262,0.16869227588325741,0.14982601241347382,0.15925914414836562,-0.8810440928427853
0.15,均衡补贴,0.075,0.075,0.8415777734214029,0.8415777734214029,0.15842222657859706,0.15842222657859706,0.15842222657859706,-0.9222443609765326
0.16,只补贴用户,0.16,0.0,0.8097339554433667,0.8513529505561899,0.19026604455663332,0.14864704944381013,0.16945654700022172,-0.6652996745077543
0.16,偏用户补贴,0.12,0.04,0.8234242912839718,0.8440553611675108,0.17657570871602823,0.1559446388324892,0.16626017377425872,-0.836674562980621
0.16,均衡补贴,0.08,0.08,0.8347847483175779,0.8347847483175779,0.16521525168242213,0.16521525168242213,0.16521525168242213,-0.8919383265287986
0.17,只补贴用户,0.17,0.0,0.7987682315789624,0.844282406014015,0.20123176842103763,0.15571759398598495,0.1784746812035113,-0.44948177311572945
0.17,偏用户补贴,0.1275,0.0425,0.8143545278889199,0.836874070175976,0.18564547211108007,0.16312592982402396,0.17438570096755202,-0.6868176794136263
0.17,均衡补贴,0.085,0.085,0.8269390928140636,0.8269390928140636,0.17306090718593636,0.17306090718593636,0.17306090718593636,-0.762450945917016
0.18,只补贴用户,0.18,0.0,0.7854543761214752,0.8352522283582757,0.21454562387852483,0.16474777164172427,0.18964669776012455,-0.03613418898524868
0.18,偏用户补贴,0.135,0.045,0.8035179258972156,0.8280901417838169,0.1964820741027844,0.1719098582161831,0.18419596615948375,-0.38040079992815246
0.18,均衡补贴,0.09,0.09,0.817539629916652,0.817539629916652,0.18246037008334803,0.18246037008334803,0.18246037008334803,-0.4878953721492624
0.19,只补贴用户,0.19,0.0,0.7675893715410873,0.8223276387690276,0.2324106284589127,0.1776723612309724,0.20504149484494255,0.7458373870785503
