t,x,y,q_u,q_m,D_u,D_m,P_u,P_m,ds_u,ds_m,inv_u,inv_m,shortage_A,shortage_B,revenue_rate,subsidy_cost_rate,invest_cost_rate,total_cost_rate,profit_rate,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit
0.0,0.35,0.35,0.0,0.0,-0.43500000000000005,-0.37500000000000006,0.17909367666214976,0.21206880435710532,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0
0.03,0.3448728102998645,0.34586206413071313,0.0,0.0,-0.4474946409363562,-0.38732334733491447,0.17275432168896485,0.20495118023889822,0.0,0.0,0.0,0.0,0.0,0.0,0.7599072872567203,0.0,0.0,0.0,0.7599072872567203,0.0231,0.0,0.0,0.0,0.0231
0.06,0.33970925564153753,0.3416347376139587,0.0,0.0,-0.46022200190573037,-0.3997641199099456,0.16648076436413076,0.19794715125309406,0.0,0.0,0.0,0.0,0.0,0.0,0.749670940778288,0.0,0.0,0.0,0.749670940778288,0.04589721861770161,0.0,0.0,0.0,0.04589721861770161
0.09,0.3345124009032153,0.33732411002313273,0.0,0.0,-0.4731659354928738,-0.41231314318200296,0.16028880818258373,0.19106637284437045,0.0,0.0,0.0,0.0,0.0,0.0,0.7393013329309746,0.0,0.0,0.0,0.7393013329309746,0.06838734684105024,0.0,0.0,0.0,0.06838734684105024
0.12,0.3292856931215964,0.33293637790776986,0.0,0.0,-0.48630984646055414,-0.4249604248029223,0.1541932183284102,0.18431808412733008,0.0,0.0,0.0,0.0,0.0,0.0,0.7288093466109202,0.0,0.0,0.0,0.7288093466109202,0.09056638682897948,0.0,0.0,0.0,0.09056638682897948
0.15,0.3240329188778008,0.3284778290943567,0.0,0.0,-0.49963675073464353,-0.4376952476972201,0.14820762701549006,0.1777109872146975,0.0,0.0,0.0,0.0,0.0,0.0,0.7182063137910288,0.0,0.0,0.0,0.7182063137910288,0.11243066722730709,0.0,0.0,0.0,0.11243066722730709
0.18,0.3187581601219315,0.3239548238379669,0.0,0.0,-0.5131293427279137,-0.4505062678371536,0.14234445462732934,0.171253140352484,0.0,0.0,0.0,0.0,0.0,0.0,0.7075039487274918,0.0,0.0,0.0,0.7075039487274918,0.13397685664103795,0.0,0.0,0.0,0.13397685664103795
0.21,0.3134657489570934,0.31937377333340244,0.0,0.0,-0.5267700695212875,-0.463381615419112,0.13661484851502548,0.16495186663388628,0.0,0.0,0.0,0.0,0.0,0.0,0.6967142769571764,0.0,0.0,0.0,0.6967142769571764,0.1552019751028627,0.0,0.0,0.0,0.1552019751028627
0.24,0.30816022194383136,0.31474111613241695,0.0,0.0,-0.5405412103102836,-0.4763089980461288,0.13102864067789916,0.15881367957975978,0.0,0.0,0.0,0.0,0.0,0.0,0.6858495613027317,0.0,0.0,0.0,0.6858495613027317,0.17610340341157799,0.0,0.0,0.0,0.17610340341157799
0.27,0.3028462745058534,0.31006329303583724,0.0,0.0,-0.554424959461064,-0.4892758044703746,0.1255943248901727,0.152844226349911,0.0,0.0,0.0,0.0,0.0,0.0,0.6749222261488581,0.0,0.0,0.0,0.6749222261488581,0.19667889025065993,0.0,0.0,0.0,0.19667889025065993
0.3,0.29752871601738295,0.30534672103525945,0.0,0.0,-0.5684035115066859,-0.5022692074476044,0.12031905318399269,0.14704824881417813,0.0,0.0,0.0,0.0,0.0,0.0,0.6639447812596944,0.0,0.0,0.0,0.6639447812596944,0.21692655703512567,0.0,0.0,0.0,0.21692655703512567
0.32999999999999996,0.29221242613238124,0.300597766868627,0.0,0.0,-0.5824591464491046,-0.515276264300924,0.11520865098666833,0.14142956219271496,0.0,0.0,0.0,0.0,0.0,0.0,0.6529297463747337,0.0,0.0,0.0,0.6529297463747337,0.2368449004729165,0.0,0.0,0.0,0.2368449004729165
0.36,0.2869023128780099,0.29582272072834964,0.0,0.0,-0.5965743138129559,-0.5282840138798054,0.11026764966629025,0.135991050495881,0.0,0.0,0.0,0.0,0.0,0.0,0.6418895777520295,0.0,0.0,0.0,0.6418895777520295,0.25643279286415854,0.0,0.0,0.0,0.25643279286415854
0.39,0.28160327298165827,0.2910277706213756,0.0,0.0,-0.6107317140178695,-0.5412795687259957,0.1054993347866613,0.1307346775762799,0.0,0.0,0.0,0.0,0.0,0.0,0.6308365977273089,0.0,0.0,0.0,0.6308365977273089,0.2756894801967194,0.0,0.0,0.0,0.2756894801967194
0.42,0.27632015483580835,0.2862189778300227,0.0,0.0,-0.6249143757900414,-0.5542502014133719,0.10090580802414485,0.12566151226402641,0.0,0.0,0.0,0.0,0.0,0.0,0.6197829282318356,0.0,0.0,0.0,0.6197829282318356,0.2946145781285387,0.0,0.0,0.0,0.2946145781285387
0.44999999999999996,0.2710577244314584,0.2814022538630428,0.0,0.0,-0.639105728512968,-0.5671834242055618,0.09648806046237313,0.12077176580057863,0.0,0.0,0.0,0.0,0.0,0.0,0.6087404290671098,0.0,0.0,0.0,0.6087404290671098,0.3132080659754938,0.0,0.0,0.0,0.3132080659754938
0.48,0.26582063451238586,0.27658333922116884,0.0,0.0,-0.6532896686130018,-0.5800670613646439,0.09224605485523046,0.11606483961982862,0.0,0.0,0.0,0.0,0.0,0.0,0.5977206415777885,0.0,0.0,0.0,0.5977206415777885,0.33147027884750707,0.0,0.0,0.0,0.33147027884750707
0.51,0.2606133971226712,0.27176778423312864,0.0,0.0,-0.6674506192791556,-0.5928893136380933,0.0881788144272229,0.11153938144548509,0.0,0.0,0.0,0.0,0.0,0.0,0.5867347382024255,0.0,0.0,0.0,0.5867347382024255,0.34940189809484073,0.0,0.0,0.0,0.34940189809484073
0.54,0.2554403596418077,0.26696093214949934,0.0,0.0,-0.6815735830202977,-0.6056388146416349,0.08428451585132,0.1071933476744031,0.0,0.0,0.0,0.0,0.0,0.0,0.5757934782212069,0.0,0.0,0.0,0.5757934782212069,0.3670039402409135,0.0,0.0,0.0,0.3670039402409135
0.57,0.2503056843280931,0.26216790461524647,0.0,0.0,-0.6956441867593619,-0.6183046790361906,0.08056058419214326,0.10302407008616495,0.0,0.0,0.0,0.0,0.0,0.0,0.5649071698663888,0.0,0.0,0.0,0.5649071698663888,0.3842777445875497,0.0,0.0,0.0,0.3842777445875497
0.6,0.2452133313240146,0.257393589579374,0.0,0.0,-0.7096487193474951,-0.6308765425622839,0.07700378780956922,0.09902832504733765,0.0,0.0,0.0,0.0,0.0,0.0,0.5540856388192634,0.0,0.0,0.0,0.5540856388192634,0.4012249596835414,0.0,0.0,0.0,0.4012249596835414
0.63,0.24016704501858124,0.25264263164341294,0.0,0.0,-0.7235741615465183,-0.6433445941411311,0.07361033146652018,0.09520240355072794,0.0,0.0,0.0,0.0,0.0,0.0,0.5433382029906768,0.0,0.0,0.0,0.5433382029906768,0.41784752884811927,0.0,0.0,0.0,0.41784752884811927
0.6599999999999999,0.2351703436120194,0.2479194248006324,0.0,0.0,-0.7374082086724726,-0.655699600375645,0.07037594615777584,0.09154218063183304,0.0,0.0,0.0,0.0,0.0,0.0,0.5326736533727783,0.0,0.0,0.0,0.5326736533727783,0.43414767493783957,0.0,0.0,0.0,0.43414767493783957
0.69,0.23022651168839212,0.24322810747556842,0.0,0.0,-0.7511392862144396,-0.6679329228854315,0.06729597445858114,0.08804318292355949,0.0,0.0,0.0,0.0,0.0,0.0,0.5221002406590742,0.0,0.0,0.0,0.5221002406590742,0.4501278845390229,0.0,0.0,0.0,0.4501278845390229
0.72,0.2253385955714978,0.23857255973900815,0.0,0.0,-0.7647565588406315,-0.6800365289875003,0.06436545046949248,0.08470065333456402,0.0,0.0,0.0,0.0,0.0,0.0,0.5116256672583076,0.0,0.0,0.0,0.5116256672583076,0.4657908917587951,0.0,0.0,0.0,0.4657908917587951
0.75,0.22050940121843765,0.23395640254687483,0.0,0.0,-0.7782499332782815,-0.6920029962896873,0.06157917369680093,0.08150961205653899,0.0,0.0,0.0,0.0,0.0,0.0,0.5012570842746875,0.0,0.0,0.0,0.5012570842746875,0.4811396617765443,0.0,0.0,0.0,0.4811396617765443
0.78,0.21574149439278856,0.22938299883216476,0.0,0.0,-0.7916100556064103,-0.7038255117983405,0.0589317764482164,0.07846491331370627,0.0,0.0,0.0,0.0,0.0,0.0,0.4910010929913863,0.0,0.0,0.0,0.4910010929913863,0.4961773743047849,0.0,0.0,0.0,0.4961773743047849
0.8099999999999999,0.2110372028544514,0.224855456266611,0.0,0.0,-0.804828303532908,-0.7154978661577918,0.05641778453614736,0.07556129745806134,0.0,0.0,0.0,0.0,0.0,0.0,0.48086375037438456,0.0,0.0,0.0,0.48086375037438456,0.5109074070945265,0.0,0.0,0.0,0.5109074070945265
0.84,0.20639862030490227,0.2203766315023545,0.0,0.0,-0.8178967742418979,-0.7270144436390181,0.054031671263028096,0.07279343818279492,0.0,0.0,0.0,0.0,0.0,0.0,0.4708505781077277,0.0,0.0,0.0,0.4708505781077277,0.525333319605758,0.0,0.0,0.0,0.525333319605758
