t,x,y,q_u,q_m,D_u,D_m,P_u,P_m,ds_u,ds_m,inv_u,inv_m,shortage_A,shortage_B,revenue_rate,subsidy_cost_rate,invest_cost_rate,total_cost_rate,profit_rate,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit
0.0,0.35,0.35,0.0,0.0,0.665,-0.37500000000000006,0.9111291125692118,0.21206880435710532,1.1,0.0,0.0,0.0,0.0,0.0,0.77,0.308,0.0,0.308,0.462,0.0,0.0,0.0,0.0,0.0
0.03,0.36683387337707635,0.34586206413071313,0.0,0.0,0.6573076360537287,-0.34340122118049077,0.9089247919363588,0.23113662995626777,1.098680791683295,0.0,0.0,0.0,0.0009718092463632151,0.0,0.7818683503339321,0.3224266643345407,0.0,0.3224266643345407,0.4594416859993914,0.0231,0.00924,0.0,0.00924,0.01386
0.06,0.38309660093385484,0.3424203011054798,0.0,0.0,0.5573386894453236,-0.3125966475795504,0.8755213598979604,0.250849213167596,1.09736316546712,0.0,0.0,0.0,0.02067629982837506,0.0,0.7940009622604305,0.33631687894437523,0.0,0.33631687894437523,0.45768408331605526,0.04655605051001796,0.018912799930036223,0.0,0.018912799930036223,0.027643250579981744
0.09,0.397869343702778,0.33967316846734324,0.0,0.0,0.469216519449932,-0.28442472836077237,0.837841925016231,0.26982974454395714,1.0960471194540928,0.0,0.0,0.0,0.03819617523543474,0.0,0.8054771458635899,0.3488668384676162,0.0,0.3488668384676162,0.4566103073959737,0.07037607937783087,0.02900230629836748,0.0,0.02900230629836748,0.041373773079463404
0.12,0.41106852114218156,0.33757786574964166,0.0,0.0,0.3930005131566382,-0.25907402484081604,0.7982675972835658,0.28766348584851675,1.094732651749107,0.0,0.0,0.0,0.0534906553925399,0.0,0.8161619600417516,0.3600081057604514,0.0,0.3600081057604514,0.4561538542813002,0.09454039375373857,0.03946831145239596,0.0,0.03946831145239596,0.05507208230134261
0.15,0.4226844934264231,0.3360804343526079,0.0,0.0,0.32833475424972375,-0.2365907959708498,0.7593595810652999,0.3040537816254257,1.093419760459329,0.0,0.0,0.0,0.06660405907381518,0.0,0.8259810146495525,0.36973726204175394,0.0,0.36973726204175394,0.4562437526077986,0.11902525255499112,0.0502685546252095,0.0,0.0502685546252095,0.06875669792978162
0.18,0.4327847460555894,0.3351196347707925,0.0,0.0,0.2744623837479068,-0.21687069050342492,0.7232455906360774,0.3188531180609366,1.0921084436941948,0.0,0.0,0.0,0.07766511128479693,0.0,0.8349283077805404,0.37811830037548566,0.0,0.37811830037548566,0.45681000740505473,0.14380468299447768,0.06136067248646212,0.0,0.06136067248646212,0.08244401050801557
0.21,0.4414985713930041,0.3346316392694968,0.0,0.0,0.23032925889116612,-0.19968703757924344,0.6912889998972275,0.33205512984818397,1.0907986995654082,0.0,0.0,0.0,0.08686693212350728,0.0,0.8430565385164002,0.3852688540283795,0.0,0.3852688540283795,0.45778768448802065,0.1688525322278939,0.07270422149772669,0.0,0.07270422149772669,0.09614831073016722
0.24,0.44899228424813076,0.3345543439868574,0.0,0.0,0.19472739257309413,-0.18473825951030978,0.664083633087007,0.3437597581554071,1.0894905261869376,0.0,0.0,0.0,0.09443794026127335,0.0,0.8504574970323596,0.39133827201549687,0.0,0.39133827201549687,0.45911922501686275,0.1941442283833859,0.08426228711857808,0.0,0.08426228711857808,0.10988194126480784
0.27,0.45544502471329706,0.3348305064119139,0.0,0.0,0.16642705791333923,-0.1716946973674489,0.6416412351524169,0.3541306237240991,1.088183921675013,0.0,0.0,0.0,0.10061451830138314,0.0,0.8572416324075938,0.3964863624799111,0.0,0.3964863624799111,0.4607552699276827,0.2196579532943567,0.096002435279043,0.0,0.096002435279043,0.12365551801531371
