scenario,alpha,beta,b_user,b_merchant,total_subsidy,final_B_user_share,final_B_merchant_share,final_B_average_share,success,state
对称强网络效应,1.2,1.2,0.0,0.0,0.0,0.006642666871677066,0.006642666871677066,0.006642666871677066,0,平台失败
对称强网络效应,1.2,1.2,0.03,0.0,0.03,0.007384738268498291,0.006684409985520001,0.007034574127009146,0,平台失败
对称强网络效应,1.2,1.2,0.06,0.0,0.06,0.008210560329099961,0.006731174260330682,0.0074708672947153216,0,平台失败
对称强网络效应,1.2,1.2,0.09,0.0,0.09,0.009129793327593026,0.006783614967141386,0.007956704147367207,0,平台失败
对称强网络效应,1.2,1.2,0.12,0.0,0.12,0.010153263785307374,0.006842485492705365,0.00849787463900637,0,平台失败
对称强网络效应,1.2,1.2,0.15,0.0,0.15,0.011293118631497887,0.006908655125686225,0.009100886878592056,0,平台失败
对称强网络效应,1.2,1.2,0.18,0.0,0.18,0.012563003299326855,0.006983130826247614,0.009773067062787234,0,平台失败
对称强网络效应,1.2,1.2,0.21,0.0,0.21,0.013978268454897802,0.007067084064053814,0.010522676259475807,0,平台失败
对称强网络效应,1.2,1.2,0.24,0.0,0.24,0.015556211260608459,0.007161884160679801,0.011359047710644131,0,平台失败
对称强网络效应,1.2,1.2,0.27,0.0,0.27,0.017316358672454346,0.007269140056334769,0.012292749364394558,0,平台失败
对称强网络效应,1.2,1.2,0.3,0.0,0.3,0.01928080242437142,0.0073907530961746775,0.01333577776027305,0,平台失败
对称强网络效应,1.2,1.2,0.33,0.0,0.33,0.021474598299681832,0.00752898438674285,0.01450179134321234,0,平台失败
对称强网络效应,1.2,1.2,0.36,0.0,0.36,0.02392624639187347,0.007686541644155782,0.015806394018014626,0,平台失败
对称强网络效应,1.2,1.2,0.39,0.0,0.39,0.026668274874509956,0.00786669245554025,0.017267483665025105,0,平台失败
对称强网络效应,1.2,1.2,0.42,0.0,0.42,0.029737958220728,0.008073413844890905,0.018905686032809454,0,平台失败
对称强网络效应,1.2,1.2,0.45,0.0,0.45,0.03317821327876701,0.008311592532846392,0.0207449029058067,0,平台失败
对称强网络效应,1.2,1.2,0.48,0.0,0.48,0.037038735529942524,0.008587297247520179,0.02281301638873135,0,平台失败
对称强网络效应,1.2,1.2,0.51,0.0,0.51,0.04137746737734406,0.008908155511441068,0.025142811444392565,0,平台失败
对称强网络效应,1.2,1.2,0.54,0.0,0.54,0.04626253783018468,0.009283885422661634,0.027773211626423155,0,平台失败
对称强网络效应,1.2,1.2,0.57,0.0,0.57,0.05177489215985184,0.00972706351712498,0.03075097783848841,0,平台失败
对称强网络效应,1.2,1.2,0.6,0.0,0.6,0.05801196755456611,0.010254263464731309,0.03413311550964871,0,平台失败
对称强网络效应,1.2,1.2,0.63,0.0,0.63,0.06509302066174577,0.010887798906118684,0.03799040978393223,0,平台失败
对称强网络效应,1.2,1.2,0.66,0.0,0.66,0.0731671927004095,0.011658494729008921,0.042412843714709214,0,平台失败
对称强网络效应,1.2,1.2,0.69,0.0,0.69,0.08242638194257376,0.012610306202864692,0.047518344072719224,0,平台失败
对称强网络效应,1.2,1.2,0.72,0.0,0.72,0.09312718311001542,0.013808491955685467,0.05346783753285044,0,平台失败
对称强网络效应,1.2,1.2,0.75,0.0,0.75,0.10563155881894992,0.015355254079794704,0.06049340644937232,0,平台失败
