mu,strategy,final_x,final_y,max_shortage_A,cum_profit,cum_invest_cost
0.12,贪心策略,0.0073734101770737675,0.013473048334801648,0.021645884168522648,-4.449583324436955,9.387399999999978
0.12,长期策略,0.9991665268907828,0.9983342034252565,0.0,88.0520663914824,48.39999999999846
0.12,动态策略,0.9980365604955072,0.9961333461034807,0.0,135.17682959576496,37.93680000000071
0.18,贪心策略,0.007551494613345171,0.013533137909856812,0.06960757860046805,-2.7480655093540736,9.387399999999978
0.18,长期策略,0.9997006905659294,0.9993989091784906,0.0,126.53464194883779,48.39999999999846
0.18,动态策略,0.998903610306099,0.9978240100760869,0.0,156.1843845903063,34.27599999999919
0.25,贪心策略,0.9936340637668566,0.9868823072272772,0.15318448046011382,185.68670413777798,9.387399999999978
0.25,长期策略,0.9999087219551078,0.9998163422378696,0.0,140.68471543285216,48.39999999999846
0.25,动态策略,0.9994450224778715,0.9988912327723446,0.0,166.19966807887508,32.53359999999847
0.32,贪心策略,0.9938082924194274,0.9869468018929398,0.18336124559929426,191.20169583520178,9.387399999999978
0.32,长期策略,0.9999720926479028,0.9999438158831859,0.0,147.57506969353037,48.39999999999846
0.32,动态策略,0.9997182872616357,0.9994347932352996,0.0,171.6549730719877,31.60079999999836
0.4,贪心策略,0.9940014815577586,0.9870195218874936,0.18981403353336954,194.85455713308733,9.387399999999978
0.4,长期策略,0.9999927898032498,0.9999854814082942,0.0,152.25724637483054,48.39999999999846
0.4,动态策略,0.9998698329400618,0.9997380927273171,0.0,175.7156738986582,30.896799999998425
0.5,贪心策略,0.9942343768925916,0.9871089906514418,0.19206161139620495,197.9915263101785,9.387399999999978
0.5,长期策略,0.9999986714228996,0.9999973246069448,0.0,156.01655583057234,48.39999999999846
0.5,动态策略,0.9999503018075928,0.9998998175727729,0.0,179.22314510339535,30.298399999998477
