t,strategy,active_strategy_platform,user_share_A,merchant_share_A,user_share_B,merchant_share_B,L_A,L_B,user_multi_home_rate,merchant_multi_home_rate,shortage_A,shortage_B,C_A,C_B,avg_user_utility,avg_merchant_utility,lock_in_index,user_subsidy_A,merchant_subsidy_A,user_subsidy_B,merchant_subsidy_B,user_quality_A,merchant_quality_A,user_quality_B,merchant_quality_B,cum_revenue_A,cum_subsidy_cost_A,cum_invest_cost_A,cum_total_cost_A,cum_profit_A,cum_revenue_B,cum_subsidy_cost_B,cum_invest_cost_B,cum_total_cost_B,cum_profit_B,user_share_A_price_sensitive,user_share_B_price_sensitive,user_utility_price_sensitive,user_share_A_quality_sensitive,user_share_B_quality_sensitive,user_utility_quality_sensitive,user_share_A_inertial,user_share_B_inertial,user_utility_inertial,user_share_A_normal,user_share_B_normal,user_utility_normal,merchant_share_A_large,merchant_share_B_large,merchant_utility_large,merchant_share_A_small_medium,merchant_share_B_small_medium,merchant_utility_small_medium,merchant_share_A_new,merchant_share_B_new,merchant_utility_new,merchant_share_A_multi_home,merchant_share_B_multi_home,merchant_utility_multi_home,run_id,network
0,none,B,0.57,0.575,0.43000000000000005,0.42500000000000004,0.5725,0.42750000000000005,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1449999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5755813953488372,0.42441860465116277,0.0,0.5481481481481482,0.45185185185185184,0.0,0.6290322580645161,0.3709677419354839,0.0,0.5161290322580645,0.4838709677419355,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.0,0,弱
1,none,B,0.53,0.475,0.47,0.525,0.5025,0.4975,0.0,0.45,0.0,0.0,0.0,0.0,0.5696909574056999,0.4755782031693401,0.05500000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5175,0.0,0.0,0.0,2.5175,2.4675,0.0,0.0,0.0,2.4675,0.48255813953488375,0.5174418604651163,0.42955872240772985,0.5481481481481482,0.45185185185185184,0.42329586503935845,0.6290322580645161,0.3709677419354839,1.2093246084954852,0.5161290322580645,0.4838709677419355,0.7054585548747456,0.6666666666666666,0.3333333333333333,0.5764635942499946,0.4375,0.5625,0.5011798323825697,0.4166666666666667,0.5833333333333334,0.4179218780254246,0.5,0.5,0.42173445114123753,0,弱
2,none,B,0.4925,0.425,0.5075000000000001,0.575,0.45875,0.54125,0.0,0.45,0.0,0.0,0.0,0.0,0.580451876147779,0.5088116880957957,0.08250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.610625,0.0,0.0,0.0,4.5687625,5.385625,0.0,0.0,0.0,5.3272625,0.5116279069767442,0.4883720930232558,0.4244083928243351,0.4,0.6,0.4528115586414716,0.6290322580645161,0.3709677419354839,1.2530332776485393,0.5161290322580645,0.4838709677419355,0.6569317181457367,0.6666666666666666,0.3333333333333333,0.5602011668745038,0.3125,0.6875,0.552057757744664,0.4166666666666667,0.5833333333333334,0.388258169071461,0.5,0.5,0.5832063949687746,0,弱
3,none,B,0.4375,0.375,0.5625,0.625,0.40625,0.59375,0.0,0.45,0.0,0.0,0.0,0.0,0.5790828161842019,0.49682411758435496,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25125,0.0,0.0,0.0,6.14441875,8.901250000000001,0.0,0.0,0.0,8.703668749999999,0.3953488372093023,0.6046511627906976,0.4560028626204307,0.37777777777777777,0.6222222222222222,0.4411420749631004,0.6290322580645161,0.3709677419354839,1.1814781223295525,0.5483870967741935,0.45161290322580644,0.6578971096295388,0.3333333333333333,0.6666666666666666,0.4597010497313518,0.3125,0.6875,0.47729845154221573,0.4166666666666667,0.5833333333333334,0.5140165124379449,0.5,0.5,0.5516308385092166,0,弱
4,none,B,0.4675,0.525,0.5325,0.475,0.49625,0.5037499999999999,0.0,0.45,0.0,0.0,0.0,0.0,0.5823009847272183,0.47895241837416397,0.057499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.705625000000001,0.0,0.0,0.0,8.454456865000001,11.430625000000001,0.0,0.0,0.0,11.084296264999997,0.4418604651162791,0.5581395348837209,0.4463916982812256,0.4222222222222222,0.5777777777777777,0.4483180775881249,0.6290322580645161,0.3709677419354839,1.2155465002454657,0.4838709677419355,0.5161290322580645,0.6533612353838947,0.3333333333333333,0.6666666666666666,0.5599698567412155,0.5625,0.4375,0.504912360168898,0.5833333333333334,0.4166666666666667,0.40979501056509554,0.5,0.5,0.4670232841726251,0,弱
5,none,B,0.4875,0.475,0.5125,0.525,0.48124999999999996,0.51875,0.0,0.45,0.0,0.0,0.0,0.0,0.5738704779393369,0.4764443646627252,0.03750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.021250000000002,0.0,0.0,0.0,10.590315635500001,14.121250000000002,0.0,0.0,0.0,13.566043095499998,0.4186046511627907,0.5813953488372093,0.4110307647441487,0.5037037037037037,0.4962962962962963,0.4759305875413561,0.6290322580645161,0.3709677419354839,1.21509651068544,0.5161290322580645,0.4838709677419355,0.6214286019084058,0.3333333333333333,0.6666666666666666,0.5241859445662121,0.4375,0.5625,0.4914453887768299,0.5833333333333334,0.4166666666666667,0.35013189937536215,0.5,0.5,0.6413249843630187,0,弱
6,none,B,0.4925,0.475,0.5075000000000001,0.525,0.48375,0.5162500000000001,0.0,0.45,0.0,0.0,0.0,0.0,0.5716895557060716,0.493830448668803,0.03250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.360625000000002,0.0,0.0,0.0,12.704925349514001,16.785625000000003,0.0,0.0,0.0,15.974427068473998,0.436046511627907,0.563953488372093,0.44740223755663505,0.5037037037037037,0.4962962962962963,0.426498490256148,0.6290322580645161,0.3709677419354839,1.1830750355855835,0.4838709677419355,0.5161290322580645,0.6707964203806901,0.3333333333333333,0.6666666666666666,0.5373900032033304,0.4375,0.5625,0.5122718852335307,0.5833333333333334,0.4166666666666667,0.43864074475197556,0.5,0.5,0.5114731377953224,0,弱
7,none,B,0.4975,0.475,0.5025,0.525,0.48624999999999996,0.5137499999999999,0.0,0.45,0.0,0.0,0.0,0.0,0.5925857509720591,0.4592983552682446,0.027500000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.723750000000003,0.0,0.0,0.0,14.79828162579324,19.423750000000002,0.0,0.0,0.0,18.31138999949084,0.45930232558139533,0.5406976744186046,0.44938270943844305,0.4962962962962963,0.5037037037037037,0.46357043263510306,0.6290322580645161,0.3709677419354839,1.2383750536522096,0.45161290322580644,0.5483870967741935,0.6573939559108222,0.3333333333333333,0.6666666666666666,0.5816468505627683,0.4375,0.5625,0.49585021448721855,0.5833333333333334,0.4166666666666667,0.39513796883742697,0.5,0.5,0.36779900825142525,0,弱
8,none,B,0.5475,0.575,0.4525,0.42500000000000004,0.56125,0.43875000000000003,0.0,0.45,0.0,0.0,0.0,0.0,0.5843189649950553,0.4338261413331931,0.12249999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.871875000000003,0.0,0.0,0.0,17.53124932014557,21.346875,0.0,0.0,0.0,19.980903915615936,0.5116279069767442,0.4883720930232558,0.4567829908110698,0.5481481481481482,0.45185185185185184,0.43870743095780595,0.6290322580645161,0.3709677419354839,1.2062737374256773,0.5806451612903226,0.41935483870967744,0.6821431186716933,0.3333333333333333,0.6666666666666666,0.5304814000877709,0.6875,0.3125,0.3971252011282512,0.5833333333333334,0.4166666666666667,0.402040447336955,0.5,0.5,0.4986114444509357,0,弱
9,none,B,0.57,0.625,0.43000000000000005,0.375,0.5974999999999999,0.4025,0.0,0.45,0.0,0.0,0.0,0.0,0.5799610667046482,0.47073082960272367,0.19499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.434375000000003,0.0,0.0,0.0,20.56209258809318,22.959375,0.0,0.0,0.0,21.352759289529065,0.5523255813953488,0.4476744186046512,0.4726240978867023,0.562962962962963,0.43703703703703706,0.414428978853229,0.6290322580645161,0.3709677419354839,1.195235660292117,0.5806451612903226,0.41935483870967744,0.6658244761951417,0.3333333333333333,0.6666666666666666,0.5179392200874574,0.8125,0.1875,0.47519575936852576,0.5833333333333334,0.4166666666666667,0.41677722735917405,0.5,0.5,0.5195231642296165,0,弱
10,none,B,0.6325,0.675,0.36750000000000005,0.32499999999999996,0.65375,0.34625,0.0,0.45,0.0,0.0,0.0,0.0,0.5966211252869826,0.4347076254762838,0.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.703750000000003,0.0,0.0,0.0,24.121674440037587,24.153750000000002,0.0,0.0,0.0,22.348566772923263,0.6337209302325582,0.36627906976744184,0.45156619797040215,0.6592592592592592,0.34074074074074073,0.45771234140096484,0.6290322580645161,0.3709677419354839,1.2178062685825186,0.5161290322580645,0.4838709677419355,0.763997074923793,0.6666666666666666,0.3333333333333333,0.5574890130912348,0.8125,0.1875,0.4120119215938119,0.5833333333333334,0.4166666666666667,0.40440206631833614,0.5,0.5,0.4330592331971526,0,弱
11,none,B,0.615,0.625,0.385,0.375,0.62,0.38,0.0,0.45,0.0,0.0,0.0,0.0,0.568082264684717,0.505181001988943,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.547500000000003,0.0,0.0,0.0,27.262298041511595,25.597500000000004,0.0,0.0,0.0,23.52821563786716,0.6453488372093024,0.3546511627906977,0.4154991301941531,0.5851851851851851,0.4148148148148148,0.4451447695520365,0.6290322580645161,0.3709677419354839,1.2182544634109098,0.5483870967741935,0.45161290322580644,0.6497011244997137,0.6666666666666666,0.3333333333333333,0.6334665134076288,0.6875,0.3125,0.5289705587244392,0.5833333333333334,0.4166666666666667,0.4715027998479015,0.5,0.5,0.38081307689101646,0,弱
12,none,B,0.6125,0.575,0.38749999999999996,0.42500000000000004,0.59375,0.40625,0.0,0.45,0.0,0.0,0.0,0.0,0.5836638597780343,0.45803846793118763,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.069375,0.0,0.0,0.0,30.08237376743353,27.244375000000005,0.0,0.0,0.0,24.84692008113323,0.6337209302325582,0.36627906976744184,0.4385200883854004,0.6074074074074074,0.3925925925925926,0.44176195728879164,0.6290322580645161,0.3709677419354839,1.2418240614289446,0.4838709677419355,0.5161290322580645,0.6906171827852708,0.6666666666666666,0.3333333333333333,0.5597968289070714,0.6875,0.3125,0.47902563359144473,0.4166666666666667,0.5833333333333334,0.37804178774736036,0.5,0.5,0.46030769222894014,0,弱
13,none,B,0.5875,0.575,0.4125,0.42500000000000004,0.58125,0.41875,0.0,0.45,0.0,0.0,0.0,0.0,0.5987315629422222,0.5043928406833735,0.16249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4475,0.0,0.0,0.0,32.73324494980015,28.997500000000006,0.0,0.0,0.0,26.222626587430803,0.5988372093023255,0.4011627906976744,0.46435375649063776,0.5777777777777777,0.4222222222222222,0.47571755835892976,0.6290322580645161,0.3709677419354839,1.2109871621521293,0.4838709677419355,0.5161290322580645,0.6555066009229601,0.6666666666666666,0.3333333333333333,0.6178192605059101,0.6875,0.3125,0.5126977504984979,0.4166666666666667,0.5833333333333334,0.4566733804684688,0.5,0.5,0.46425891511698253,0,弱
14,none,B,0.5925,0.625,0.4075,0.375,0.60875,0.39125,0.0,0.45,0.0,0.0,0.0,0.0,0.5844915124775342,0.511751495265853,0.21750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.150625,0.0,0.0,0.0,35.581030985028974,30.525625000000005,0.0,0.0,0.0,27.397788926018897,0.5465116279069767,0.45348837209302323,0.44733253066921075,0.6592592592592592,0.34074074074074073,0.4748296753572231,0.6290322580645161,0.3709677419354839,1.180528551671773,0.4838709677419355,0.5161290322580645,0.6309881722269135,0.6666666666666666,0.3333333333333333,0.660730762396747,0.6875,0.3125,0.5389503476228115,0.5833333333333334,0.4166666666666667,0.4122606290719702,0.5,0.5,0.48922368757083534,0,弱
15,none,B,0.63,0.675,0.37,0.32499999999999996,0.6525000000000001,0.3475,0.0,0.45,0.0,0.0,0.0,0.0,0.5905252087983426,0.5215155451455173,0.30500000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.403124999999996,0.0,0.0,0.0,38.785893341150995,31.728125000000006,0.0,0.0,0.0,28.304043360642467,0.6104651162790697,0.38953488372093026,0.4428622635533767,0.6888888888888889,0.3111111111111111,0.4733738418565854,0.6290322580645161,0.3709677419354839,1.2130450665821275,0.4838709677419355,0.5161290322580645,0.6749519809492026,0.6666666666666666,0.3333333333333333,0.5964512546529347,0.8125,0.1875,0.6008511852816306,0.5833333333333334,0.4166666666666667,0.408825009067523,0.5,0.5,0.460399200764454,0,弱
16,none,B,0.61,0.625,0.39,0.375,0.6174999999999999,0.3825,0.0,0.45,0.0,0.0,0.0,0.0,0.5889298002155293,0.5139571258152481,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.215624999999996,0.0,0.0,0.0,41.601688044986595,33.190625000000004,0.0,0.0,0.0,29.38420067326137,0.6104651162790697,0.38953488372093026,0.4382166177503388,0.6296296296296297,0.37037037037037035,0.4751865209232296,0.6290322580645161,0.3709677419354839,1.223842155032177,0.4838709677419355,0.5161290322580645,0.6506538031136241,0.6666666666666666,0.3333333333333333,0.5374871432996703,0.6875,0.3125,0.5700059558700078,0.5833333333333334,0.4166666666666667,0.43930777571020146,0.5,0.5,0.490262261728226,0,弱
17,none,B,0.56,0.575,0.43999999999999995,0.42500000000000004,0.5675,0.4325,0.0,0.45,0.0,0.0,0.0,0.0,0.5833092227273954,0.5230818939635046,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.435624999999995,0.0,0.0,0.0,43.93231670529443,35.060625,0.0,0.0,0.0,30.737702410769334,0.5174418604651163,0.48255813953488375,0.44547684669506843,0.6148148148148148,0.3851851851851852,0.451091463708236,0.6290322580645161,0.3709677419354839,1.2085043704355773,0.41935483870967744,0.5806451612903226,0.6734533190899619,0.6666666666666666,0.3333333333333333,0.8785285792760309,0.5625,0.4375,0.46444662413573934,0.5833333333333334,0.4166666666666667,0.41103830907887745,0.5,0.5,0.5480830979609392,0,弱
18,none,B,0.555,0.525,0.44499999999999995,0.475,0.54,0.45999999999999996,0.0,0.45,0.0,0.0,0.0,0.0,0.5880302807759771,0.4644657826749471,0.08000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.349374999999995,0.0,0.0,0.0,45.999103001503286,37.174375,0.0,0.0,0.0,32.23703129403367,0.5058139534883721,0.4941860465116279,0.44082216027593124,0.6222222222222222,0.37777777777777777,0.46354561534512084,0.6451612903225806,0.3548387096774194,1.2358648815058593,0.3548387096774194,0.6451612903225806,0.6512393554185791,0.3333333333333333,0.6666666666666666,0.5772148166993203,0.5625,0.4375,0.4628089574611032,0.5833333333333334,0.4166666666666667,0.40913995380626944,0.5,0.5,0.4667866069581795,0,弱
19,none,B,0.55,0.525,0.44999999999999996,0.475,0.5375000000000001,0.46249999999999997,0.0,0.45,0.0,0.0,0.0,0.0,0.5747168540429451,0.5147518109852622,0.07500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.236875,0.0,0.0,0.0,48.00630626935297,39.311875,0.0,0.0,0.0,33.722883063740575,0.4941860465116279,0.5058139534883721,0.43681132373169934,0.6222222222222222,0.37777777777777777,0.45078328648244864,0.6451612903225806,0.3548387096774194,1.1907053274076094,0.3548387096774194,0.6451612903225806,0.6476038697072105,0.3333333333333333,0.6666666666666666,0.7027080342247339,0.5625,0.4375,0.46044523425043693,0.5833333333333334,0.4166666666666667,0.48397275860572103,0.5,0.5,0.533171230464407,0,弱
20,none,B,0.5125,0.525,0.48750000000000004,0.475,0.51875,0.48125,0.0,0.45,0.0,0.0,0.0,0.0,0.5950680954220746,0.5178177759877525,0.03749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.927499999999995,0.0,0.0,0.0,49.83924779894843,41.6275,0.0,0.0,0.0,35.30036235924607,0.48255813953488375,0.5174418604651163,0.4679901395049416,0.5259259259259259,0.4740740740740741,0.4576666897097703,0.6451612903225806,0.3548387096774194,1.2192234714722625,0.3548387096774194,0.6451612903225806,0.650195994576794,0.3333333333333333,0.6666666666666666,0.5043315426176982,0.5625,0.4375,0.5518366290656073,0.5833333333333334,0.4166666666666667,0.5203809838123078,0.5,0.5,0.43546065216774893,0,弱
21,none,B,0.5675,0.625,0.4325,0.375,0.59625,0.40375,0.0,0.45,0.0,0.0,0.0,0.0,0.5686048129652317,0.4903608048072927,0.1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.474375,0.0,0.0,0.0,52.20716982376728,43.249375,0.0,0.0,0.0,36.38313903843637,0.5406976744186046,0.45930232558139533,0.4153646398362109,0.6,0.4,0.4638178850978587,0.6451612903225806,0.3548387096774194,1.2084493263243645,0.41935483870967744,0.5806451612903226,0.5954817552884787,0.6666666666666666,0.3333333333333333,0.5914332929758119,0.6875,0.3125,0.5380367190553772,0.5833333333333334,0.4166666666666667,0.37057147794026374,0.5,0.5,0.5017311990446064,0,弱
22,none,B,0.6025,0.625,0.39749999999999996,0.375,0.61375,0.38625,0.0,0.45,0.0,0.0,0.0,0.0,0.5856894239443295,0.4658860838455282,0.22750000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.24,0.0,0.0,0.0,54.67085186703475,44.74,0.0,0.0,0.0,37.35838910867586,0.6046511627906976,0.3953488372093023,0.4449543248184552,0.5925925925925926,0.4074074074074074,0.45855703154681415,0.6612903225806451,0.3387096774193548,1.2029650160876657,0.5161290322580645,0.4838709677419355,0.685632111377495,0.6666666666666666,0.3333333333333333,0.6041756345085335,0.6875,0.3125,0.4661468136195012,0.5833333333333334,0.4166666666666667,0.3905101153888319,0.5,0.5,0.4776531906986536,0,弱
