network_strength_k,eta,quality_threshold,final_x_at_threshold,final_y_at_threshold
0.5,0.0,0.01,0.5667845298504788,0.5667845298504788
1.0,0.0,0.13,0.9781647694500779,0.9781647694500779
1.5,0.0,0.28,0.9979926343609795,0.9979926343609795
2.0,0.0,0.43,0.999797011487651,0.999797011487651
0.5,0.2,0.04,0.8820621091365859,0.8820621091365859
1.0,0.2,0.19,0.9918063929769803,0.9918063929769803
1.5,0.2,0.34,0.9992003078166275,0.9992003078166275
2.0,0.2,0.49,0.9999184117361997,0.9999184117361997
0.5,0.5,0.13,0.9781647694500779,0.9781647694500779
1.0,0.5,0.28,0.9979926343609795,0.9979926343609795
1.5,0.5,0.43,0.999797011487651,0.999797011487651
2.0,0.5,0.58,0.9999791812490789,0.9999791812490789
0.5,0.8,0.22,0.9949010016346584,0.9949010016346584
1.0,0.8,0.37,0.9994940797211573,0.9994940797211573
1.5,0.8,0.52,0.9999482568592184,0.9999482568592184
2.0,0.8,0.67,0.9999946845938495,0.9999946845938495
0.5,1.0,0.28,0.9979926343609795,0.9979926343609795
1.0,1.0,0.43,0.999797011487651,0.999797011487651
1.5,1.0,0.58,0.9999791812490789,0.9999791812490789
2.0,1.0,0.73,0.9999978605402416,0.9999978605402416
