step,u_A,m_A,L_A
0,0.55,0.55,0.55
1,0.829,0.808,0.8185
2,0.995,0.988,0.9915
3,0.996,1.0,0.998
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,0.998,0.996,0.997
7,0.998,0.994,0.996
8,1.0,1.0,1.0
9,0.998,1.0,0.999
10,0.997,0.998,0.9975
11,1.0,0.996,0.998
12,0.998,0.998,0.998
13,0.999,1.0,0.9995
14,0.999,0.99,0.9944999999999999
15,0.999,0.996,0.9975
16,0.997,0.998,0.9975
17,0.999,1.0,0.9995
18,0.995,1.0,0.9975
19,1.0,1.0,1.0
20,0.998,0.996,0.997
21,0.999,0.994,0.9964999999999999
22,0.998,1.0,0.999
23,0.997,0.996,0.9964999999999999
24,0.995,1.0,0.9975
25,0.997,1.0,0.9984999999999999
26,0.999,1.0,0.9995
27,0.999,0.996,0.9975
28,1.0,0.996,0.998
29,0.998,0.998,0.998
30,0.997,1.0,0.9984999999999999
31,0.998,1.0,0.999
32,0.998,0.996,0.997
33,0.997,1.0,0.9984999999999999
34,0.999,0.996,0.9975
35,1.0,0.998,0.999
36,0.996,0.996,0.996
37,0.998,0.998,0.998
38,0.999,0.996,0.9975
39,1.0,0.998,0.999
40,0.998,1.0,0.999
41,0.999,0.998,0.9984999999999999
42,0.999,0.996,0.9975
43,0.997,0.998,0.9975
44,0.997,0.994,0.9955
45,0.998,0.998,0.998
46,0.999,1.0,0.9995
47,0.997,0.998,0.9975
48,0.996,0.998,0.997
49,0.999,0.998,0.9984999999999999
50,0.998,0.998,0.998
51,0.995,0.992,0.9935
52,0.998,1.0,0.999
53,0.998,0.998,0.998
54,0.999,0.996,0.9975
55,0.999,0.998,0.9984999999999999
56,0.998,0.998,0.998
57,1.0,1.0,1.0
58,0.997,0.994,0.9955
59,0.998,0.996,0.997
60,0.999,0.996,0.9975
