step,u_A,m_A,L_A,seed,C,market_size,n_users,n_merchants
0,0.5,0.5,0.5,202690,0.5,150,100,50
1,0.68,0.8,0.74,202690,0.6152,150,100,50
2,1.0,1.0,1.0,202690,1.0,150,100,50
3,1.0,1.0,1.0,202690,1.0,150,100,50
4,1.0,1.0,1.0,202690,1.0,150,100,50
5,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
6,1.0,1.0,1.0,202690,1.0,150,100,50
7,1.0,1.0,1.0,202690,1.0,150,100,50
8,1.0,1.0,1.0,202690,1.0,150,100,50
9,1.0,1.0,1.0,202690,1.0,150,100,50
10,1.0,1.0,1.0,202690,1.0,150,100,50
11,1.0,1.0,1.0,202690,1.0,150,100,50
12,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
13,1.0,1.0,1.0,202690,1.0,150,100,50
14,1.0,1.0,1.0,202690,1.0,150,100,50
15,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
16,1.0,1.0,1.0,202690,1.0,150,100,50
17,1.0,1.0,1.0,202690,1.0,150,100,50
18,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
19,1.0,1.0,1.0,202690,1.0,150,100,50
20,1.0,1.0,1.0,202690,1.0,150,100,50
21,1.0,1.0,1.0,202690,1.0,150,100,50
22,1.0,1.0,1.0,202690,1.0,150,100,50
23,1.0,1.0,1.0,202690,1.0,150,100,50
24,1.0,1.0,1.0,202690,1.0,150,100,50
25,1.0,1.0,1.0,202690,1.0,150,100,50
26,1.0,1.0,1.0,202690,1.0,150,100,50
27,1.0,1.0,1.0,202690,1.0,150,100,50
28,1.0,1.0,1.0,202690,1.0,150,100,50
29,1.0,0.98,0.99,202690,0.9802,150,100,50
30,0.98,1.0,0.99,202690,0.9802,150,100,50
31,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
32,1.0,1.0,1.0,202690,1.0,150,100,50
33,1.0,1.0,1.0,202690,1.0,150,100,50
34,1.0,1.0,1.0,202690,1.0,150,100,50
35,1.0,1.0,1.0,202690,1.0,150,100,50
36,1.0,1.0,1.0,202690,1.0,150,100,50
37,1.0,1.0,1.0,202690,1.0,150,100,50
38,1.0,1.0,1.0,202690,1.0,150,100,50
39,1.0,1.0,1.0,202690,1.0,150,100,50
40,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
41,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
42,1.0,1.0,1.0,202690,1.0,150,100,50
43,0.99,1.0,0.995,202690,0.9900500000000001,150,100,50
44,1.0,1.0,1.0,202690,1.0,150,100,50
45,1.0,1.0,1.0,202690,1.0,150,100,50
46,1.0,1.0,1.0,202690,1.0,150,100,50
47,1.0,1.0,1.0,202690,1.0,150,100,50
48,1.0,1.0,1.0,202690,1.0,150,100,50
49,1.0,1.0,1.0,202690,1.0,150,100,50
50,1.0,1.0,1.0,202690,1.0,150,100,50
51,1.0,0.98,0.99,202690,0.9802,150,100,50
52,1.0,1.0,1.0,202690,1.0,150,100,50
53,1.0,1.0,1.0,202690,1.0,150,100,50
54,1.0,1.0,1.0,202690,1.0,150,100,50
