u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,seed,period_profit_B,discounted_profit_B,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,experiment,version,removed_mechanism,strategy,strategy_label,u0,m0,budget,subsidy_policy,final_L_B,b_break_60,lock_state,b_lock,total_user_subsidy,total_merchant_subsidy,total_quality_investment,max_shortage_B,avg_shortage_B,total_spend
1.0,0.25,0.75,0.25,0.75,0.0,0.625,0.75,132.23999999999972,0.0,20.76922982248524,1.1999999999933095,300,7907,-0.56,111.44768573409128,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.375,0.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,11.715281016478754,204.24
1.0,0.45,0.55,0.45,0.55,0.0,0.725,0.55,132.23999999999972,0.0,14.999999375000016,1.1999999998635624,300,7906,-0.56,118.22280732005532,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.275,0.0,tilted,0.0,36.24,96.00000000000001,72.0,69.99999360000052,12.094262050952887,204.24
0.0,0.25,0.75,0.25,0.75,0.0,0.125,0.75,132.23999999999972,47.142853877551204,0.0,1.1999999999999844,300,7909,6.7,127.61466381035078,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.875,1.0,tilted,0.0,36.24,96.00000000000001,72.0,56.66666222222253,11.744852310191808,204.24
1.0,0.55,0.45,0.55,0.45,0.0,0.775,0.55,132.23999999999972,0.0,34.444442469135886,1.1999999999996729,300,7908,-0.56,117.1205285923704,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.22499999999999998,0.0,tilted,0.0,36.24,96.00000000000001,72.0,39.99999750000012,11.353768626499834,204.24
1.0,0.35,0.65,0.35,0.65,0.0,0.675,0.65,132.23999999999972,0.0,20.76922982248524,1.1999988431860629,300,7903,-0.56,108.22013822898042,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.32499999999999996,0.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,12.18561607232507,204.24
1.0,0.4,0.6,0.4,0.6,0.0,0.7,0.6,132.23999999999972,0.0,26.363635041322354,1.1999764112388216,300,7902,-0.56,114.28837840875605,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.30000000000000004,0.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,12.077024524260509,204.24
1.0,0.2,0.8,0.2,0.8,0.0,0.6,0.8,132.23999999999972,0.0,20.76922982248524,1.199999997217853,300,7905,-0.56,111.67067341074919,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.4,0.0,A_lock,0.0,36.24,96.00000000000001,72.0,39.99999750000012,11.728084567777778,204.24
0.0,0.4,0.6,0.4,0.6,0.0,0.2,0.6,132.23999999999972,47.142853877551204,0.0,1.1999999432688118,300,7904,5.2,120.59380156490806,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.8,1.0,tilted,0.0,36.24,96.00000000000001,72.0,69.99999360000052,11.892768473806235,204.24
1.0,0.6,0.4,0.6,0.4,0.0,0.8,0.6,130.95999999999975,0.0,12.222221728395073,1.19999999999999,300,7913,-0.56,179.552360423938,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.19999999999999996,0.0,tilted,0.0,36.24,94.72000000000001,72.0,20.76922982248524,6.907721621071734,202.96
0.0,0.3,0.7,0.3,0.7,0.0,0.15,0.7,132.23999999999972,23.33333222222226,0.0,1.19999999999999,300,7912,6.2,156.28963578469777,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.85,1.0,tilted,0.0,36.24,96.00000000000001,72.0,29.99999840000006,7.887770448176599,204.24
0.0,0.25,0.75,0.25,0.75,0.0,0.125,0.75,131.59999999999974,23.33333222222226,0.0,1.19999999999999,300,7915,6.7,157.34736801317433,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.875,1.0,tilted,0.0,36.24,95.36000000000001,72.0,23.33333222222226,7.653020568701374,203.60000000000002
0.0,0.1,0.9,0.1,0.9,0.0,0.05,0.9,130.95999999999975,26.363635041322354,0.0,1.19999999999999,300,7914,8.2,166.72734407072727,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.95,1.0,B_lock,1.0,36.24,94.72000000000001,72.0,23.33333222222226,7.253327365796433,202.96
0.0,0.15,0.85,0.15,0.85,0.0,0.075,0.85,131.59999999999974,16.666665955555576,0.0,1.1999999999999844,300,7909,7.7,169.64769616723794,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.925,1.0,B_lock,1.0,36.24,95.36000000000001,72.0,29.99999840000006,7.2130575420592065,203.60000000000002
1.0,0.75,0.25,0.75,0.25,0.0,0.875,0.75,132.23999999999972,0.0,13.529411211072677,1.1999999999996729,300,7908,-0.56,155.3043119960606,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.125,0.0,tilted,0.0,36.24,96.00000000000001,72.0,29.99999840000006,7.5097263694537215,204.24
0.0,0.15,0.85,0.15,0.85,0.0,0.075,0.85,132.15999999999974,23.33333222222226,0.0,1.19999999999999,300,7911,7.7,160.56159552277506,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.925,1.0,B_lock,1.0,36.48,95.68000000000002,72.0,23.33333222222226,7.716758781847741,204.16000000000003
0.0,0.3,0.7,0.3,0.7,0.0,0.15,0.7,132.15999999999974,20.76922982248524,0.0,1.19999999999999,300,7910,6.2,160.04726820431932,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.85,1.0,tilted,0.0,36.48,95.68000000000002,72.0,26.363635041322354,7.863580445203219,204.16000000000003
0.0,0.35,0.65,0.35,0.65,0.0,0.175,0.65,132.23999999999972,39.99999750000012,0.0,1.19999999999999,300,7915,5.7,111.35309812267614,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.825,1.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,12.127834307932117,204.24
0.0,0.45,0.55,0.45,0.55,0.0,0.225,0.55,132.23999999999972,56.66666222222253,0.0,1.19999999999999,300,7914,4.7,116.50799752539577,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.775,1.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,11.58463901156126,204.24
