u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,step,seed,experiment,version,removed_mechanism,u0,m0,subsidy_policy,allow_multi_home,multi_home_share
0.3,0.3,0.7,0.3,0.7,0.0,0.3,0.58,0.0,0,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.35,0.32266666666666666,0.556,0.08,0.31333333333333335,0.6066666666666667,0.3363333333333333,0.5535735555555555,140.0,1,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.44333333333333336,0.42,0.4533333333333333,0.16666666666666666,0.2,0.6333333333333333,0.43166666666666664,0.5093388888888889,280.0,2,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.5666666666666667,0.5053333333333333,0.37200000000000005,0.26,0.12666666666666668,0.6133333333333333,0.536,0.502592,420.0,3,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.69,0.544,0.3373333333333333,0.30666666666666664,0.1,0.5933333333333334,0.617,0.527378,560.0,4,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.7433333333333333,0.5933333333333334,0.2866666666666667,0.35333333333333333,0.04666666666666667,0.6,0.6683333333333333,0.5566722222222222,700.0,5,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.82,0.6693333333333333,0.24266666666666667,0.49333333333333335,0.06666666666666667,0.44,0.7446666666666666,0.6197235555555556,840.0,6,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9033333333333333,0.7186666666666667,0.19866666666666666,0.5533333333333333,0.03333333333333333,0.41333333333333333,0.8109999999999999,0.6934419999999999,980.0,7,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7146666666666667,0.20800000000000002,0.56,0.05333333333333334,0.38666666666666666,0.829,0.7164819999999998,1120.0,8,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.92,0.74,0.18666666666666668,0.5933333333333334,0.04,0.36666666666666664,0.8300000000000001,0.7178,1260.0,9,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9333333333333333,0.7346666666666667,0.19466666666666668,0.5933333333333334,0.05333333333333334,0.35333333333333333,0.8340000000000001,0.7231120000000002,1400.0,10,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.744,0.17733333333333334,0.5866666666666667,0.02,0.3933333333333333,0.837,0.7271380000000001,1540.0,11,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.96,0.76,0.17333333333333334,0.6266666666666667,0.04,0.3333333333333333,0.86,0.7591999999999999,1680.0,12,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9566666666666667,0.7853333333333333,0.152,0.66,0.02666666666666667,0.31333333333333335,0.871,0.775282,1820.0,13,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9766666666666667,0.7333333333333333,0.2,0.6,0.06666666666666667,0.3333333333333333,0.855,0.7520499999999999,1960.0,14,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.732,0.192,0.58,0.04,0.38,0.8376666666666667,0.7280375555555556,2100.0,15,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.7146666666666667,0.22133333333333335,0.5866666666666667,0.09333333333333334,0.32,0.8256666666666667,0.7121175555555554,2240.0,16,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.76,0.16666666666666666,0.6133333333333333,0.02,0.36666666666666664,0.8416666666666667,0.7334722222222223,2380.0,17,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.7093333333333334,0.20933333333333334,0.5466666666666666,0.04666666666666667,0.4066666666666667,0.8196666666666668,0.7043735555555557,2520.0,18,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.7773333333333333,0.164,0.66,0.04666666666666667,0.29333333333333333,0.8586666666666667,0.7572835555555555,2660.0,19,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9733333333333334,0.7306666666666666,0.19733333333333333,0.5866666666666667,0.05333333333333334,0.36,0.852,0.747808,2800.0,20,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.7226666666666667,0.196,0.56,0.03333333333333333,0.4066666666666667,0.8313333333333333,0.7195635555555555,2940.0,21,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7013333333333334,0.22133333333333335,0.5466666666666666,0.06666666666666667,0.38666666666666666,0.8223333333333334,0.7077975555555556,3080.0,22,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9166666666666666,0.7066666666666667,0.21333333333333335,0.5466666666666666,0.05333333333333334,0.4,0.8116666666666666,0.6942722222222222,3220.0,23,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9,0.7253333333333333,0.19866666666666666,0.5733333333333334,0.04666666666666667,0.38,0.8126666666666666,0.6955208888888889,3360.0,24,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9,0.7226666666666667,0.196,0.56,0.03333333333333333,0.4066666666666667,0.8113333333333334,0.693856888888889,3500.0,25,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9466666666666667,0.7146666666666667,0.20133333333333336,0.5466666666666666,0.03333333333333333,0.42,0.8306666666666667,0.7186808888888889,3640.0,26,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.728,0.20133333333333336,0.5866666666666667,0.06,0.35333333333333333,0.8323333333333334,0.720890888888889,3780.0,27,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.95,0.7493333333333334,0.18266666666666667,0.6133333333333333,0.04666666666666667,0.34,0.8496666666666667,0.7445335555555557,3920.0,28,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9566666666666667,0.7266666666666667,0.2,0.58,0.05333333333333334,0.36666666666666664,0.8416666666666667,0.7334722222222223,4060.0,29,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.7453333333333333,0.17866666666666667,0.5933333333333334,0.02666666666666667,0.38,0.8343333333333334,0.7235575555555556,4200.0,30,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.7106666666666667,0.21733333333333335,0.5666666666666667,0.07333333333333333,0.36,0.8253333333333333,0.7116835555555554,4340.0,31,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7746666666666667,0.16133333333333336,0.6466666666666666,0.03333333333333333,0.32,0.8506666666666667,0.7459342222222223,4480.0,32,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.95,0.7533333333333333,0.18,0.62,0.04666666666666667,0.3333333333333333,0.8516666666666666,0.7473388888888888,4620.0,33,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.776,0.16266666666666668,0.6533333333333333,0.04,0.30666666666666664,0.858,0.7563279999999999,4760.0,34,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
