step,u_A,m_A,L_A,seed,C,sigma
0,0.5,0.5,0.5,202610,0.5,0.0
1,0.535,0.5466666666666666,0.5408333333333333,202610,0.5033347222222222,0.0
2,0.645,0.6433333333333333,0.6441666666666667,202610,0.5415680555555555,0.0
3,0.895,0.8933333333333333,0.8941666666666667,202610,0.8107347222222223,0.0
4,0.9816666666666667,0.99,0.9858333333333333,202610,0.9720680555555556,0.0
5,0.9883333333333333,0.9866666666666667,0.9875,202610,0.9753125,0.0
6,0.9866666666666667,0.99,0.9883333333333333,202610,0.9769388888888888,0.0
7,0.9866666666666667,0.9933333333333333,0.99,202610,0.9802,0.0
8,0.99,0.9766666666666667,0.9833333333333334,202610,0.9672222222222224,0.0
9,0.9916666666666667,0.98,0.9858333333333333,202610,0.9720680555555556,0.0
10,0.9916666666666667,0.9866666666666667,0.9891666666666667,202610,0.9785680555555558,0.0
11,0.98,0.9866666666666667,0.9833333333333334,202610,0.9672222222222224,0.0
12,0.99,0.9866666666666667,0.9883333333333333,202610,0.9769388888888888,0.0
13,0.98,0.9833333333333333,0.9816666666666667,202610,0.9640055555555556,0.0
14,0.9783333333333334,0.99,0.9841666666666666,202610,0.9688347222222222,0.0
15,0.9883333333333333,0.99,0.9891666666666666,202610,0.9785680555555556,0.0
16,0.9883333333333333,0.9933333333333333,0.9908333333333332,202610,0.9818347222222221,0.0
17,0.985,0.9966666666666667,0.9908333333333333,202610,0.9818347222222223,0.0
18,0.9866666666666667,0.9933333333333333,0.99,202610,0.9802,0.0
19,0.9933333333333333,0.9966666666666667,0.995,202610,0.9900500000000001,0.0
20,0.9833333333333333,0.98,0.9816666666666667,202610,0.9640055555555556,0.0
21,0.99,0.9833333333333333,0.9866666666666666,202610,0.9736888888888888,0.0
22,0.99,0.98,0.985,202610,0.97045,0.0
23,0.9766666666666667,0.99,0.9833333333333334,202610,0.9672222222222224,0.0
24,0.9816666666666667,0.9766666666666667,0.9791666666666667,202610,0.9592013888888891,0.0
25,0.9883333333333333,0.9866666666666667,0.9875,202610,0.9753125,0.0
26,0.9883333333333333,0.9866666666666667,0.9875,202610,0.9753125,0.0
27,0.98,0.98,0.98,202610,0.9607999999999999,0.0
28,0.99,0.9766666666666667,0.9833333333333334,202610,0.9672222222222224,0.0
29,0.9783333333333334,0.99,0.9841666666666666,202610,0.9688347222222222,0.0
30,0.99,0.99,0.99,202610,0.9802,0.0
31,0.995,0.9866666666666667,0.9908333333333333,202610,0.9818347222222223,0.0
32,0.99,0.9866666666666667,0.9883333333333333,202610,0.9769388888888888,0.0
33,0.9933333333333333,0.99,0.9916666666666667,202610,0.9834722222222223,0.0
34,0.9866666666666667,0.98,0.9833333333333334,202610,0.9672222222222224,0.0
35,0.9883333333333333,0.99,0.9891666666666666,202610,0.9785680555555556,0.0
36,0.985,0.9666666666666667,0.9758333333333333,202610,0.9528347222222222,0.0
37,0.9883333333333333,0.9966666666666667,0.9924999999999999,202610,0.9851124999999998,0.0
38,0.9766666666666667,0.9866666666666667,0.9816666666666667,202610,0.9640055555555556,0.0
39,0.9816666666666667,0.9833333333333333,0.9824999999999999,202610,0.9656124999999998,0.0
40,0.9933333333333333,0.9833333333333333,0.9883333333333333,202610,0.9769388888888888,0.0
41,0.99,0.9833333333333333,0.9866666666666666,202610,0.9736888888888888,0.0
42,0.9883333333333333,0.9833333333333333,0.9858333333333333,202610,0.9720680555555556,0.0
43,0.9866666666666667,0.98,0.9833333333333334,202610,0.9672222222222224,0.0
44,0.99,0.9766666666666667,0.9833333333333334,202610,0.9672222222222224,0.0
45,0.9883333333333333,0.9766666666666667,0.9824999999999999,202610,0.9656124999999998,0.0
46,0.9933333333333333,0.9966666666666667,0.995,202610,0.9900500000000001,0.0
47,0.9883333333333333,0.9866666666666667,0.9875,202610,0.9753125,0.0
48,0.985,0.9833333333333333,0.9841666666666666,202610,0.9688347222222222,0.0
49,0.9816666666666667,0.9933333333333333,0.9875,202610,0.9753125,0.0
50,0.9866666666666667,0.9866666666666667,0.9866666666666667,202610,0.973688888888889,0.0
51,0.985,0.99,0.9875,202610,0.9753125,0.0
52,0.9883333333333333,0.9766666666666667,0.9824999999999999,202610,0.9656124999999998,0.0
53,0.9866666666666667,0.99,0.9883333333333333,202610,0.9769388888888888,0.0
54,0.9916666666666667,0.9833333333333333,0.9875,202610,0.9753125,0.0
55,0.9933333333333333,0.99,0.9916666666666667,202610,0.9834722222222223,0.0
56,0.9883333333333333,0.9966666666666667,0.9924999999999999,202610,0.9851124999999998,0.0
57,0.98,0.98,0.98,202610,0.9607999999999999,0.0
58,0.9766666666666667,0.9933333333333333,0.985,202610,0.97045,0.0
59,0.9883333333333333,0.98,0.9841666666666666,202610,0.9688347222222222,0.0
60,0.9866666666666667,0.9866666666666667,0.9866666666666667,202610,0.973688888888889,0.0
61,0.9883333333333333,0.98,0.9841666666666666,202610,0.9688347222222222,0.0
62,0.9783333333333334,0.9866666666666667,0.9825,202610,0.9656125,0.0
63,0.985,0.9866666666666667,0.9858333333333333,202610,0.9720680555555556,0.0
64,0.99,0.99,0.99,202610,0.9802,0.0
65,0.9816666666666667,0.99,0.9858333333333333,202610,0.9720680555555556,0.0
66,0.98,0.9833333333333333,0.9816666666666667,202610,0.9640055555555556,0.0
67,0.9766666666666667,0.99,0.9833333333333334,202610,0.9672222222222224,0.0
68,0.985,0.98,0.9824999999999999,202610,0.9656124999999998,0.0
69,0.9883333333333333,0.9833333333333333,0.9858333333333333,202610,0.9720680555555556,0.0
70,0.9933333333333333,0.99,0.9916666666666667,202610,0.9834722222222223,0.0
71,0.9883333333333333,0.99,0.9891666666666666,202610,0.9785680555555556,0.0
72,0.9833333333333333,0.9866666666666667,0.985,202610,0.97045,0.0
73,0.985,0.99,0.9875,202610,0.9753125,0.0
74,0.97,0.9866666666666667,0.9783333333333333,202610,0.9576055555555554,0.0
75,0.985,0.9866666666666667,0.9858333333333333,202610,0.9720680555555556,0.0
76,0.9866666666666667,0.9866666666666667,0.9866666666666667,202610,0.973688888888889,0.0
77,0.98,0.98,0.98,202610,0.9607999999999999,0.0
78,0.995,0.97,0.9824999999999999,202610,0.9656124999999998,0.0
79,0.9833333333333333,0.9766666666666667,0.98,202610,0.9607999999999999,0.0
80,0.9816666666666667,0.99,0.9858333333333333,202610,0.9720680555555556,0.0
0,0.5,0.5,0.5,202611,0.5,0.0
1,0.5633333333333334,0.56,0.5616666666666668,202611,0.5076055555555555,0.0
2,0.72,0.7033333333333334,0.7116666666666667,202611,0.5896055555555555,0.0
3,0.9266666666666666,0.9133333333333333,0.9199999999999999,202611,0.8527999999999998,0.0
4,0.9883333333333333,0.97,0.9791666666666666,202611,0.9592013888888888,0.0
5,0.9966666666666667,0.9933333333333333,0.995,202611,0.9900500000000001,0.0
6,0.9883333333333333,0.99,0.9891666666666666,202611,0.9785680555555556,0.0
7,0.9816666666666667,0.9966666666666667,0.9891666666666667,202611,0.9785680555555558,0.0
8,0.9883333333333333,0.9666666666666667,0.9775,202611,0.9560125000000002,0.0
9,0.9866666666666667,0.98,0.9833333333333334,202611,0.9672222222222224,0.0
10,0.9883333333333333,0.98,0.9841666666666666,202611,0.9688347222222222,0.0
11,0.9933333333333333,0.9866666666666667,0.99,202611,0.9802,0.0
12,0.9916666666666667,0.9966666666666667,0.9941666666666666,202611,0.9884013888888887,0.0
13,0.9883333333333333,0.9933333333333333,0.9908333333333332,202611,0.9818347222222221,0.0
14,0.9833333333333333,0.9766666666666667,0.98,202611,0.9607999999999999,0.0
15,0.9833333333333333,0.98,0.9816666666666667,202611,0.9640055555555556,0.0
16,0.99,0.9733333333333334,0.9816666666666667,202611,0.9640055555555556,0.0
17,0.9933333333333333,0.99,0.9916666666666667,202611,0.9834722222222223,0.0
18,0.9833333333333333,0.9833333333333333,0.9833333333333333,202611,0.9672222222222222,0.0
19,0.98,0.9833333333333333,0.9816666666666667,202611,0.9640055555555556,0.0
20,0.985,0.9933333333333333,0.9891666666666666,202611,0.9785680555555556,0.0
21,0.98,0.99,0.985,202611,0.97045,0.0
22,0.9783333333333334,0.99,0.9841666666666666,202611,0.9688347222222222,0.0
23,0.9816666666666667,0.9833333333333333,0.9824999999999999,202611,0.9656124999999998,0.0
24,0.99,0.9833333333333333,0.9866666666666666,202611,0.9736888888888888,0.0
25,0.98,0.99,0.985,202611,0.97045,0.0
26,0.9883333333333333,0.9866666666666667,0.9875,202611,0.9753125,0.0
27,0.9866666666666667,0.9866666666666667,0.9866666666666667,202611,0.973688888888889,0.0
28,0.9916666666666667,0.9766666666666667,0.9841666666666666,202611,0.9688347222222222,0.0
29,0.9866666666666667,0.9833333333333333,0.985,202611,0.97045,0.0
30,0.9766666666666667,0.9833333333333333,0.98,202611,0.9607999999999999,0.0
31,0.985,0.9833333333333333,0.9841666666666666,202611,0.9688347222222222,0.0
32,0.9766666666666667,0.9866666666666667,0.9816666666666667,202611,0.9640055555555556,0.0
33,0.98,0.99,0.985,202611,0.97045,0.0
34,0.985,0.99,0.9875,202611,0.9753125,0.0
35,0.9916666666666667,0.9833333333333333,0.9875,202611,0.9753125,0.0
36,0.9916666666666667,0.99,0.9908333333333333,202611,0.9818347222222223,0.0
37,0.9866666666666667,0.9933333333333333,0.99,202611,0.9802,0.0
38,0.9916666666666667,0.9966666666666667,0.9941666666666666,202611,0.9884013888888887,0.0
39,0.9866666666666667,0.98,0.9833333333333334,202611,0.9672222222222224,0.0
40,0.9783333333333334,0.9766666666666667,0.9775,202611,0.9560125000000002,0.0
41,0.9883333333333333,0.9833333333333333,0.9858333333333333,202611,0.9720680555555556,0.0
42,0.99,0.9833333333333333,0.9866666666666666,202611,0.9736888888888888,0.0
43,0.985,0.99,0.9875,202611,0.9753125,0.0
44,0.985,0.9933333333333333,0.9891666666666666,202611,0.9785680555555556,0.0
