step,u_A_mean,u_A_std,m_A_mean,m_A_std,L_A_mean,L_A_std,scenario,scenario_label
0,0.55,0.0,0.55,0.0,0.55,0.0,strong_A_adv,强网络效应，A初始略占优
1,0.8155833333333333,0.033207107496800954,0.8148333333333333,0.029823555194584767,0.8152083333333333,0.03041005696028019,strong_A_adv,强网络效应，A初始略占优
2,0.9894999999999999,0.0048696458076946045,0.9904999999999999,0.006238439600971624,0.99,0.004911497431287557,strong_A_adv,强网络效应，A初始略占优
3,0.9977499999999999,0.0015555033408112028,0.9986666666666666,0.0025131234497501867,0.9982083333333334,0.0015828715854864317,strong_A_adv,强网络效应，A初始略占优
4,0.9983333333333333,0.0017099639201419244,0.9986666666666666,0.0019941434720537224,0.9984999999999999,0.0011969747440993721,strong_A_adv,强网络效应，A初始略占优
5,0.998,0.0019194297398747247,0.9973333333333333,0.003171510607291717,0.9976666666666667,0.001960874610923976,strong_A_adv,强网络效应，A初始略占优
6,0.9974166666666667,0.0021271703742694516,0.998,0.002513123449750171,0.9977083333333333,0.0017495822391919436,strong_A_adv,强网络效应，A初始略占优
7,0.9981666666666668,0.0011969747440993214,0.9984999999999999,0.002016017729431006,0.9983333333333334,0.0012389865694583428,strong_A_adv,强网络效应，A初始略占优
8,0.99825,0.0015741887356472144,0.9970000000000001,0.0030396983537633263,0.997625,0.0013858885721813481,strong_A_adv,强网络效应，A初始略占优
9,0.9983333333333333,0.001709963920141914,0.998,0.002513123449750182,0.9981666666666668,0.0012565617248750743,strong_A_adv,强网络效应，A初始略占优
10,0.9978333333333333,0.001801558779248612,0.9973333333333333,0.0027783625115549875,0.9975833333333334,0.001831737742662612,strong_A_adv,强网络效应，A初始略占优
11,0.9980833333333333,0.0014584899665256762,0.999,0.0019041352352582443,0.9985416666666665,0.0009316949906248921,strong_A_adv,强网络效应，A初始略占优
12,0.9974999999999999,0.0019867985355975708,0.9984999999999999,0.0020160177294309967,0.998,0.0015389675281277286,strong_A_adv,强网络效应，A初始略占优
13,0.998,0.001841687504843577,0.9983333333333334,0.0027572339728950397,0.9981666666666668,0.0016131767359116316,strong_A_adv,强网络效应，A初始略占优
14,0.9975833333333334,0.002260453300293368,0.9978333333333333,0.0027090923362908257,0.9977083333333333,0.001452840532899263,strong_A_adv,强网络效应，A初始略占优
15,0.9977499999999999,0.0018157047187609915,0.9970000000000001,0.0023939494881987052,0.9973750000000001,0.001715831852883146,strong_A_adv,强网络效应，A初始略占优
16,0.9979166666666666,0.0020142039479307417,0.9988333333333334,0.0019571431620413306,0.998375,0.0015642899104630606,strong_A_adv,强网络效应，A初始略占优
17,0.9978333333333333,0.0019571431620413306,0.9984999999999999,0.002287775803844208,0.9981666666666665,0.001470966583596779,strong_A_adv,强网络效应，A初始略占优
18,0.9975833333333334,0.0019849580548546254,0.9981666666666668,0.002530515515054181,0.997875,0.001610342123396782,strong_A_adv,强网络效应，A初始略占优
19,0.99725,0.0023740187261857594,0.9973333333333333,0.0029814239699997554,0.9972916666666667,0.0022438186696393655,strong_A_adv,强网络效应，A初始略占优
20,0.9970833333333333,0.0018633899812498186,0.9971666666666668,0.0029169799330514144,0.9971249999999999,0.0019017343576986528,strong_A_adv,强网络效应，A初始略占优
21,0.9980833333333333,0.0020430312303503914,0.9981666666666668,0.003328944479114836,0.9981249999999999,0.0020390020205399754,strong_A_adv,强网络效应，A初始略占优
22,0.9973333333333333,0.0019041352352582679,0.9983333333333334,0.0020232565955562907,0.9978333333333333,0.0015389675281277345,strong_A_adv,强网络效应，A初始略占优
23,0.9984999999999999,0.0017013926184468167,0.9983333333333334,0.002023256595556281,0.9984166666666667,0.0012061004778098402,strong_A_adv,强网络效应，A初始略占优
24,0.9981666666666668,0.0013134482094206866,0.998,0.0025131234497502044,0.9980833333333333,0.0015555033408111948,strong_A_adv,强网络效应，A初始略占优
25,0.9979166666666666,0.0017832062587943833,0.9988333333333334,0.002236067977499797,0.998375,0.0016770509831248181,strong_A_adv,强网络效应，A初始略占优
26,0.9981666666666668,0.0019421456754222448,0.9981666666666668,0.0022877758038442023,0.9981666666666668,0.0012271299659026703,strong_A_adv,强网络效应，A初始略占优
27,0.9984999999999999,0.0013134482094206788,0.9986666666666666,0.001994143472053726,0.9985833333333334,0.001241933033950988,strong_A_adv,强网络效应，A初始略占优
28,0.9985833333333334,0.0013545461681454202,0.9973333333333333,0.0029814239699997224,0.9979583333333334,0.0016103421233967517,strong_A_adv,强网络效应，A初始略占优
29,0.9975833333333334,0.0018317377426626097,0.998,0.0025131234497501615,0.9977916666666667,0.0014376668476779539,strong_A_adv,强网络效应，A初始略占优
30,0.9977499999999999,0.002181460962250871,0.998,0.00251312344975016,0.997875,0.0017412059744940998,strong_A_adv,强网络效应，A初始略占优
31,0.998,0.0017605156076213224,0.9988333333333334,0.0016312016164319446,0.9984166666666667,0.0009710728377111173,strong_A_adv,强网络效应，A初始略占优
32,0.9974999999999999,0.0021964884255348976,0.9991666666666668,0.0018337320140672565,0.9983333333333333,0.0014048787173725282,strong_A_adv,强网络效应，A初始略占优
33,0.9979166666666666,0.0014178271820389741,0.9984999999999999,0.002016017729430997,0.9982083333333334,0.0010907304811254204,strong_A_adv,强网络效应，A初始略占优
34,0.9986666666666666,0.0012796198265831791,0.998,0.0029419331671936308,0.9983333333333333,0.0016222142113076125,strong_A_adv,强网络效应，A初始略占优
35,0.9981666666666665,0.001785254744545984,0.998,0.002268523491262409,0.9980833333333333,0.0016244657241348002,strong_A_adv,强网络效应，A初始略占优
36,0.9977499999999999,0.0023116157231386873,0.9978333333333333,0.0029169799330514166,0.9977916666666667,0.0016283983807869734,strong_A_adv,强网络效应，A初始略占优
37,0.9977499999999999,0.0013545461681453911,0.9983333333333334,0.00202325659555628,0.9980416666666667,0.0012470725955129813,strong_A_adv,强网络效应，A初始略占优
38,0.9981666666666668,0.0017852547445459904,0.9988333333333334,0.0019571431620413427,0.9984999999999999,0.0013944333775567823,strong_A_adv,强网络效应，A初始略占优
39,0.99825,0.002127170374269438,0.9976666666666667,0.002442316990216857,0.9979583333333334,0.0018431753366506948,strong_A_adv,强网络效应，A初始略占优
40,0.9979166666666666,0.0018633899812498377,0.9974999999999999,0.003034884893334456,0.9977083333333333,0.0019473140896482848,strong_A_adv,强网络效应，A初始略占优
41,0.9979166666666666,0.0021544866825991544,0.9973333333333333,0.0029814239699997073,0.997625,0.0018392051105291546,strong_A_adv,强网络效应，A初始略占优
42,0.9980833333333333,0.00211337982128292,0.9984999999999999,0.001701392618446818,0.9982916666666666,0.001337575488387282,strong_A_adv,强网络效应，A初始略占优
43,0.998,0.0016754156331667742,0.9974999999999999,0.0026213250521901856,0.9977499999999999,0.0017333164641554208,strong_A_adv,强网络效应，A初始略占优
44,0.9980833333333333,0.002113379821282954,0.9978333333333333,0.002916979933051409,0.9979583333333334,0.0014427424745786048,strong_A_adv,强网络效应，A初始略占优
45,0.9979166666666666,0.0017832062587944083,0.998,0.002513123449750176,0.9979583333333334,0.0017620719794658453,strong_A_adv,强网络效应，A初始略占优
