step,ode_u_A,ode_m_A,ode_L_A,scenario
0,0.8,0.8,0.8,弱网络效应
1,0.6443946062812954,0.6443946062812954,0.6443946062812954,弱网络效应
2,0.5695650770831573,0.5695650770831573,0.5695650770831573,弱网络效应
3,0.5335217974028255,0.5335217974028255,0.5335217974028255,弱网络效应
4,0.5161542077955767,0.5161542077955767,0.5161542077955767,弱网络效应
5,0.507784831038591,0.507784831038591,0.507784831038591,弱网络效应
6,0.5037515782092792,0.5037515782092792,0.5037515782092792,弱网络效应
7,0.5018079177993564,0.5018079177993564,0.5018079177993564,弱网络效应
8,0.5008712511204,0.5008712511204,0.5008712511204,弱网络效应
9,0.5004198640390938,0.5004198640390938,0.5004198640390938,弱网络效应
10,0.5002023390234838,0.5002023390234838,0.5002023390234838,弱网络效应
11,0.5000975069944098,0.5000975069944098,0.5000975069944098,弱网络效应
12,0.5000469903073905,0.5000469903073905,0.5000469903073905,弱网络效应
13,0.5000226466332519,0.5000226466332519,0.5000226466332519,弱网络效应
14,0.5000109145798881,0.5000109145798881,0.5000109145798881,弱网络效应
15,0.5000052596708409,0.5000052596708409,0.5000052596708409,弱网络效应
16,0.5000025335243707,0.5000025335243707,0.5000025335243707,弱网络效应
17,0.5000012217229032,0.5000012217229032,0.5000012217229032,弱网络效应
18,0.5000005905948823,0.5000005905948823,0.5000005905948823,弱网络效应
19,0.500000282732854,0.500000282732854,0.500000282732854,弱网络效应
20,0.5000001389400783,0.5000001389400783,0.5000001389400783,弱网络效应
21,0.5000000650011477,0.5000000650011477,0.5000000650011477,弱网络效应
22,0.5000000333800338,0.5000000333800338,0.5000000333800338,弱网络效应
23,0.5000000154654378,0.5000000154654378,0.5000000154654378,弱网络效应
24,0.5000000067295219,0.5000000067295219,0.5000000067295219,弱网络效应
25,0.5000000053497516,0.5000000053497516,0.5000000053497516,弱网络效应
26,0.5000000018938794,0.5000000018938794,0.5000000018938794,弱网络效应
27,0.4999999995748801,0.4999999995748801,0.4999999995748801,弱网络效应
28,0.5000000006026726,0.5000000006026726,0.5000000006026726,弱网络效应
29,0.5000000022536887,0.5000000022536887,0.5000000022536887,弱网络效应
30,0.49999999922544386,0.49999999922544386,0.49999999922544386,弱网络效应
31,0.49999999556690394,0.49999999556690394,0.49999999556690394,弱网络效应
32,0.49999999618753643,0.49999999618753643,0.49999999618753643,弱网络效应
33,0.5000000012618117,0.5000000012618117,0.5000000012618117,弱网络效应
34,0.5000000062165428,0.5000000062165428,0.5000000062165428,弱网络效应
35,0.50000000280255,0.50000000280255,0.50000000280255,弱网络效应
36,0.4999999956310305,0.4999999956310305,0.4999999956310305,弱网络效应
37,0.49999999514484145,0.49999999514484145,0.49999999514484145,弱网络效应
38,0.5000000023583312,0.5000000023583312,0.5000000023583312,弱网络效应
39,0.5000000085740177,0.5000000085740177,0.5000000085740177,弱网络效应
40,0.5000000011560163,0.5000000011560163,0.5000000011560163,弱网络效应
