u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,seed,experiment,scenario,u0,m0
0.8,0.8,0.2,0.8,0.2,0.0,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,0,,,,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.63,0.45,0.55,0.45,0.55,0.0,0.54,0.18,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.525,0.7,0.3,0.7,0.3,0.0,0.6125,0.22499999999999998,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.555,0.65,0.35,0.65,0.35,0.0,0.6025,0.20500000000000007,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5475,0.7,0.3,0.7,0.3,0.0,0.62375,0.24749999999999994,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5525,0.5,0.5,0.5,0.5,0.0,0.52625,0.05249999999999999,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4975,0.4,0.6,0.4,0.6,0.0,0.44875,0.10249999999999998,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4925,0.4,0.6,0.4,0.6,0.0,0.44625000000000004,0.10749999999999998,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.505,0.65,0.35,0.65,0.35,0.0,0.5775,0.15500000000000003,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.53,0.45,0.55,0.45,0.55,0.0,0.49,0.08000000000000002,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5225,0.5,0.5,0.5,0.5,0.0,0.51125,0.022499999999999964,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5075,0.45,0.55,0.45,0.55,0.0,0.47875,0.05749999999999994,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.45,0.5,0.5,0.5,0.5,0.0,0.475,0.04999999999999999,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.52,0.35,0.65,0.35,0.65,0.0,0.435,0.17000000000000004,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4575,0.45,0.55,0.45,0.55,0.0,0.45375,0.09249999999999997,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.45,0.4,0.6,0.4,0.6,0.0,0.42500000000000004,0.14999999999999997,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.475,0.55,0.45,0.55,0.45,0.0,0.5125,0.07500000000000007,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5275,0.6,0.4,0.6,0.4,0.0,0.56375,0.12749999999999995,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.51,0.65,0.35,0.65,0.35,0.0,0.5800000000000001,0.16000000000000003,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.51,0.7,0.3,0.7,0.3,0.0,0.605,0.20999999999999996,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.545,0.5,0.5,0.5,0.5,0.0,0.5225,0.04500000000000004,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.6,0.4,0.6,0.4,0.0,0.5575,0.11499999999999999,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5425,0.45,0.55,0.45,0.55,0.0,0.49624999999999997,0.09249999999999997,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.48,0.7,0.3,0.7,0.3,0.0,0.59,0.21999999999999997,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5475,0.55,0.45,0.55,0.45,0.0,0.5487500000000001,0.09750000000000003,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.535,0.6,0.4,0.6,0.4,0.0,0.5675,0.135,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5525,0.45,0.55,0.45,0.55,0.0,0.50125,0.10249999999999998,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4675,0.6,0.4,0.6,0.4,0.0,0.53375,0.13249999999999995,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5125,0.3,0.7,0.3,0.7,0.0,0.40625,0.21249999999999997,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4575,0.35,0.65,0.35,0.65,0.0,0.40375,0.1925,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4375,0.55,0.45,0.55,0.45,0.0,0.49375,0.11250000000000004,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5025,0.8,0.2,0.8,0.2,0.0,0.65125,0.3025,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.59,0.6,0.4,0.6,0.4,0.0,0.595,0.18999999999999995,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.575,0.5,0.5,0.5,0.5,0.0,0.5375,0.07499999999999996,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.555,0.55,0.45,0.55,0.45,0.0,0.5525,0.1050000000000001,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.45,0.55,0.45,0.55,0.0,0.48250000000000004,0.065,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.46,0.4,0.6,0.4,0.6,0.0,0.43000000000000005,0.13999999999999996,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.465,0.65,0.35,0.65,0.35,0.0,0.5575,0.185,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.535,0.5,0.5,0.5,0.5,0.0,0.5175000000000001,0.03500000000000003,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.505,0.45,0.55,0.45,0.55,0.0,0.47750000000000004,0.05499999999999999,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.495,0.45,0.55,0.45,0.55,0.0,0.47250000000000003,0.05499999999999999,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
