delta_q,quality_strategy,quality_label,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share,b_success,final_L_B,b_break_60
0.0,merchant_quality,商户侧质量优势,7300,0.52,0.06000000000000005,coexist,0.0,,0.0,0.0,0.0,0.0,0.48,0.0
0.0,merchant_quality,商户侧质量优势,7301,0.31,0.38,tilted,0.0,,0.0,0.0,0.0,0.0,0.69,1.0
0.0,merchant_quality,商户侧质量优势,7302,0.39749999999999996,0.20500000000000002,tilted,0.0,,0.0,0.0,0.0,0.0,0.6025,1.0
0.0,merchant_quality,商户侧质量优势,7303,0.5525,0.10499999999999998,coexist,0.0,,0.0,0.0,0.0,0.0,0.4475,0.0
0.0,merchant_quality,商户侧质量优势,7304,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.0,0.0,0.47375,0.0
0.0,merchant_quality,商户侧质量优势,7305,0.38375000000000004,0.23249999999999998,tilted,0.0,,0.0,0.0,0.0,0.0,0.61625,1.0
0.0,merchant_quality,商户侧质量优势,7306,0.49,0.020000000000000018,coexist,0.0,,0.0,0.0,0.0,0.0,0.51,0.0
0.0,merchant_quality,商户侧质量优势,7307,0.47624999999999995,0.052499999999999936,coexist,0.0,,0.0,0.0,0.0,0.0,0.52375,0.0
0.0,merchant_quality,商户侧质量优势,7308,0.4275,0.14499999999999996,coexist,0.0,,0.0,0.0,0.0,0.0,0.5725,0.0
0.0,merchant_quality,商户侧质量优势,7309,0.35375,0.29250000000000004,tilted,0.0,,0.0,0.0,0.0,0.0,0.64625,1.0
0.0,merchant_quality,商户侧质量优势,7310,0.6225,0.245,tilted,0.0,,0.0,0.0,0.0,0.0,0.37749999999999995,0.0
0.0,merchant_quality,商户侧质量优势,7311,0.59875,0.1975,coexist,0.0,,0.0,0.0,0.0,0.0,0.40125,0.0
0.0,merchant_quality,商户侧质量优势,7312,0.47750000000000004,0.044999999999999984,coexist,0.0,,0.0,0.0,0.0,0.0,0.5225,0.0
0.0,merchant_quality,商户侧质量优势,7313,0.49624999999999997,0.09249999999999997,coexist,0.0,,0.0,0.0,0.0,0.0,0.50375,0.0
0.0,merchant_quality,商户侧质量优势,7314,0.52875,0.057499999999999996,coexist,0.0,,0.0,0.0,0.0,0.0,0.47124999999999995,0.0
0.0,no_quality,无质量优势,7300,0.52,0.06000000000000005,coexist,0.0,,0.0,0.0,0.0,0.0,0.48,0.0
0.0,no_quality,无质量优势,7301,0.31,0.38,tilted,0.0,,0.0,0.0,0.0,0.0,0.69,1.0
0.0,no_quality,无质量优势,7302,0.39749999999999996,0.20500000000000002,tilted,0.0,,0.0,0.0,0.0,0.0,0.6025,1.0
0.0,no_quality,无质量优势,7303,0.5525,0.10499999999999998,coexist,0.0,,0.0,0.0,0.0,0.0,0.4475,0.0
0.0,no_quality,无质量优势,7304,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.0,0.0,0.47375,0.0
0.0,no_quality,无质量优势,7305,0.38375000000000004,0.23249999999999998,tilted,0.0,,0.0,0.0,0.0,0.0,0.61625,1.0
0.0,no_quality,无质量优势,7306,0.49,0.020000000000000018,coexist,0.0,,0.0,0.0,0.0,0.0,0.51,0.0
0.0,no_quality,无质量优势,7307,0.47624999999999995,0.052499999999999936,coexist,0.0,,0.0,0.0,0.0,0.0,0.52375,0.0
0.0,no_quality,无质量优势,7308,0.4275,0.14499999999999996,coexist,0.0,,0.0,0.0,0.0,0.0,0.5725,0.0
0.0,no_quality,无质量优势,7309,0.35375,0.29250000000000004,tilted,0.0,,0.0,0.0,0.0,0.0,0.64625,1.0
0.0,no_quality,无质量优势,7310,0.6225,0.245,tilted,0.0,,0.0,0.0,0.0,0.0,0.37749999999999995,0.0
0.0,no_quality,无质量优势,7311,0.59875,0.1975,coexist,0.0,,0.0,0.0,0.0,0.0,0.40125,0.0
0.0,no_quality,无质量优势,7312,0.47750000000000004,0.044999999999999984,coexist,0.0,,0.0,0.0,0.0,0.0,0.5225,0.0
0.0,no_quality,无质量优势,7313,0.49624999999999997,0.09249999999999997,coexist,0.0,,0.0,0.0,0.0,0.0,0.50375,0.0
0.0,no_quality,无质量优势,7314,0.52875,0.057499999999999996,coexist,0.0,,0.0,0.0,0.0,0.0,0.47124999999999995,0.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7300,0.36625,0.26749999999999996,tilted,0.0,,1400.0,-0.00030982142857142856,0.0,0.0,0.63375,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7301,0.14875,0.7025,tilted,0.0,,1400.0,-0.0004651785714285715,0.0,0.0,0.8512500000000001,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7302,0.31625000000000003,0.3675,tilted,0.0,,1400.0,-0.0003455357142857143,0.0,0.0,0.68375,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7303,0.2625,0.475,tilted,0.0,,1400.0,-0.00038392857142857147,0.0,0.0,0.7375,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7304,0.28,0.44,tilted,0.0,,1400.0,-0.00037142857142857143,0.0,0.0,0.72,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7305,0.25625,0.4875,tilted,0.0,,1400.0,-0.00038839285714285717,0.0,0.0,0.74375,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7306,0.3875,0.22499999999999998,tilted,0.0,,1400.0,-0.00029464285714285714,0.0,0.0,0.6125,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7307,0.27125,0.4575,tilted,0.0,,1400.0,-0.00037767857142857145,0.0,0.0,0.72875,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7308,0.34875,0.3025,tilted,0.0,,1400.0,-0.0003223214285714286,0.0,0.0,0.65125,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7309,0.185,0.6299999999999999,tilted,0.0,,1400.0,-0.00043928571428571427,0.0,0.0,0.815,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7310,0.3025,0.395,tilted,0.0,,1400.0,-0.0003553571428571429,0.0,0.0,0.6975,1.0
0.0,quality_plus_subsidy,双边质量+少量精准补贴,7311,0.2975,0.405,tilted,0.0,,1400.0,-0.00035892857142857146,0.0,0.0,0.7025,1.0
