delta_q,quality_strategy,quality_label,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability,tilted_probability,b_success_probability,b_lock_probability,final_L_B_mean,final_L_B_std
0.0,merchant_quality,商户侧质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.0,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.0,quality_plus_subsidy,双边质量+少量精准补贴,0.2830833333333333,0.0694732519614221,0.43383333333333335,0.0,0.0,1400.0,-0.0003692261904761905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7169166666666666,0.0694732519614221
0.0,two_sided_quality,双边质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.0,user_quality,用户侧质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.25,merchant_quality,商户侧质量优势,0.25933333333333336,0.07732968997985801,0.48133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7406666666666666,0.07732968997985801
0.25,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.25,quality_plus_subsidy,双边质量+少量精准补贴,0.1385,0.050160901820327876,0.7230000000000001,0.0,0.0,1400.0,-0.0004725,0.0,0.0,0.26666666666666666,0.0,0.7333333333333333,1.0,0.26666666666666666,0.8614999999999999,0.05016090182032789
0.25,two_sided_quality,双边质量优势,0.1665,0.06327589814229653,0.6669999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.7333333333333333,1.0,0.26666666666666666,0.8335,0.06327589814229655
0.25,user_quality,用户侧质量优势,0.2548333333333333,0.06776875509161037,0.49033333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7451666666666666,0.06776875509161037
