step,u_A,m_A,L_A,scenario,scenario_label
0,0.55,0.55,0.55,strong_A_adv,强网络效应，A初始略占优
1,0.5947783826667031,0.5947783826667031,0.5947783826667031,strong_A_adv,强网络效应，A初始略占优
2,0.6707690224849658,0.6707690224849658,0.6707690224849658,strong_A_adv,强网络效应，A初始略占优
3,0.7710433266655294,0.7710433266655294,0.7710433266655294,strong_A_adv,强网络效应，A初始略占优
4,0.8596852786101625,0.8596852786101625,0.8596852786101625,strong_A_adv,强网络效应，A初始略占优
5,0.9181626647713939,0.9181626647713939,0.9181626647713939,strong_A_adv,强网络效应，A初始略占优
6,0.9528045964060757,0.9528045964060757,0.9528045964060757,strong_A_adv,强网络效应，A初始略占优
7,0.9726535831639292,0.9726535831639292,0.9726535831639292,strong_A_adv,强网络效应，A初始略占优
8,0.9838892130318472,0.9838892130318472,0.9838892130318472,strong_A_adv,强网络效应，A初始略占优
9,0.9902159243565352,0.9902159243565352,0.9902159243565352,strong_A_adv,强网络效应，A初始略占优
10,0.9937694559549622,0.9937694559549622,0.9937694559549622,strong_A_adv,强网络效应，A初始略占优
11,0.9957627771162008,0.9957627771162008,0.9957627771162008,strong_A_adv,强网络效应，A初始略占优
12,0.9968801360150452,0.9968801360150452,0.9968801360150452,strong_A_adv,强网络效应，A初始略占优
13,0.9975062359057207,0.9975062359057207,0.9975062359057207,strong_A_adv,强网络效应，A初始略占优
14,0.9978569908672024,0.9978569908672024,0.9978569908672024,strong_A_adv,强网络效应，A初始略占优
15,0.9980534687294843,0.9980534687294843,0.9980534687294843,strong_A_adv,强网络效应，A初始略占优
16,0.9981635200694811,0.9981635200694811,0.9981635200694811,strong_A_adv,强网络效应，A初始略占优
17,0.9982251598884296,0.9982251598884296,0.9982251598884296,strong_A_adv,强网络效应，A初始略占优
18,0.9982596836889617,0.9982596836889617,0.9982596836889617,strong_A_adv,强网络效应，A初始略占优
19,0.9982790198801869,0.9982790198801869,0.9982790198801869,strong_A_adv,强网络效应，A初始略占优
20,0.9982898496821974,0.9982898496821974,0.9982898496821974,strong_A_adv,强网络效应，A初始略占优
21,0.9982959152095046,0.9982959152095046,0.9982959152095046,strong_A_adv,强网络效应，A初始略占优
22,0.9982993123675005,0.9982993123675005,0.9982993123675005,strong_A_adv,强网络效应，A初始略占优
23,0.9983012150330127,0.9983012150330127,0.9983012150330127,strong_A_adv,强网络效应，A初始略占优
24,0.9983022806689951,0.9983022806689951,0.9983022806689951,strong_A_adv,强网络效应，A初始略占优
25,0.9983028775051933,0.9983028775051933,0.9983028775051933,strong_A_adv,强网络效应，A初始略占优
26,0.9983032117782319,0.9983032117782319,0.9983032117782319,strong_A_adv,强网络效应，A初始略占优
27,0.9983033989961864,0.9983033989961864,0.9983033989961864,strong_A_adv,强网络效应，A初始略占优
28,0.9983035038522657,0.9983035038522657,0.9983035038522657,strong_A_adv,强网络效应，A初始略占优
29,0.9983035625795234,0.9983035625795234,0.9983035625795234,strong_A_adv,强网络效应，A初始略占优
30,0.9983035954711853,0.9983035954711853,0.9983035954711853,strong_A_adv,强网络效应，A初始略占优
31,0.9983036138929787,0.9983036138929787,0.9983036138929787,strong_A_adv,强网络效应，A初始略占优
32,0.9983036242105624,0.9983036242105624,0.9983036242105624,strong_A_adv,强网络效应，A初始略占优
33,0.9983036299891818,0.9983036299891818,0.9983036299891818,strong_A_adv,强网络效应，A初始略占优
34,0.9983036332256413,0.9983036332256413,0.9983036332256413,strong_A_adv,强网络效应，A初始略占优
35,0.9983036350383009,0.9983036350383009,0.9983036350383009,strong_A_adv,强网络效应，A初始略占优
36,0.998303636053526,0.998303636053526,0.998303636053526,strong_A_adv,强网络效应，A初始略占优
37,0.9983036366221281,0.9983036366221281,0.9983036366221281,strong_A_adv,强网络效应，A初始略占优
38,0.9983036369405878,0.9983036369405878,0.9983036369405878,strong_A_adv,强网络效应，A初始略占优
39,0.998303637118949,0.998303637118949,0.998303637118949,strong_A_adv,强网络效应，A初始略占优
40,0.9983036372188447,0.9983036372188447,0.9983036372188447,strong_A_adv,强网络效应，A初始略占优
41,0.9983036372747939,0.9983036372747939,0.9983036372747939,strong_A_adv,强网络效应，A初始略占优
42,0.9983036373061295,0.9983036373061295,0.9983036373061295,strong_A_adv,强网络效应，A初始略占优
43,0.9983036373236799,0.9983036373236799,0.9983036373236799,strong_A_adv,强网络效应，A初始略占优
44,0.9983036373335094,0.9983036373335094,0.9983036373335094,strong_A_adv,强网络效应，A初始略占优
45,0.9983036373390146,0.9983036373390146,0.9983036373390146,strong_A_adv,强网络效应，A初始略占优
46,0.9983036373420979,0.9983036373420979,0.9983036373420979,strong_A_adv,强网络效应，A初始略占优
47,0.9983036373438249,0.9983036373438249,0.9983036373438249,strong_A_adv,强网络效应，A初始略占优
48,0.998303637344792,0.998303637344792,0.998303637344792,strong_A_adv,强网络效应，A初始略占优
49,0.9983036373453338,0.9983036373453338,0.9983036373453338,strong_A_adv,强网络效应，A初始略占优
50,0.9983036373456371,0.9983036373456371,0.9983036373456371,strong_A_adv,强网络效应，A初始略占优
51,0.998303637345807,0.998303637345807,0.998303637345807,strong_A_adv,强网络效应，A初始略占优
52,0.9983036373459022,0.9983036373459022,0.9983036373459022,strong_A_adv,强网络效应，A初始略占优
53,0.9983036373459556,0.9983036373459556,0.9983036373459556,strong_A_adv,强网络效应，A初始略占优
54,0.9983036373459854,0.9983036373459854,0.9983036373459854,strong_A_adv,强网络效应，A初始略占优
55,0.998303637346002,0.998303637346002,0.998303637346002,strong_A_adv,强网络效应，A初始略占优
56,0.9983036373460115,0.9983036373460115,0.9983036373460115,strong_A_adv,强网络效应，A初始略占优
57,0.9983036373460168,0.9983036373460168,0.9983036373460168,strong_A_adv,强网络效应，A初始略占优
58,0.9983036373460197,0.9983036373460197,0.9983036373460197,strong_A_adv,强网络效应，A初始略占优
59,0.9983036373460212,0.9983036373460212,0.9983036373460212,strong_A_adv,强网络效应，A初始略占优
60,0.9983036373460221,0.9983036373460221,0.9983036373460221,strong_A_adv,强网络效应，A初始略占优
61,0.9983036373460227,0.9983036373460227,0.9983036373460227,strong_A_adv,强网络效应，A初始略占优
62,0.998303637346023,0.998303637346023,0.998303637346023,strong_A_adv,强网络效应，A初始略占优
63,0.9983036373460232,0.9983036373460232,0.9983036373460232,strong_A_adv,强网络效应，A初始略占优
64,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
65,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
66,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
67,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
68,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
69,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
70,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
71,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
72,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
73,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
74,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
75,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
76,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
77,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
78,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
79,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
80,0.9983036373460233,0.9983036373460233,0.9983036373460233,strong_A_adv,强网络效应，A初始略占优
0,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
1,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
2,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
3,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
4,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
5,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
6,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
7,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
8,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
9,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
10,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
11,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
12,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
13,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
14,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
15,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
16,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
17,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
18,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
19,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
20,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
21,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
22,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
23,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
24,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
25,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
26,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
27,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
28,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
29,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
30,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
31,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
32,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
33,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
34,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
35,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
36,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
37,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
38,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
39,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
40,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
41,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
42,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
43,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
44,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
45,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
46,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
47,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
48,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
49,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
50,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
51,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
52,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
53,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
54,0.5,0.5,0.5,strong_symmetric,强网络效应，初始完全对称
