budget,subsidy_policy,policy_label,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
120,random,随机补贴,0.12436666666666668,0.02608830721305295,0.7835347777777777,0.0,0.0,8400.0,-2.0908730158730157e-05,0.0,0.0,1.0,0.0
120,two_sided_targeted,双边精准,0.1806333333333333,0.15930720546882277,0.7537325555555556,0.04,8.0,8400.0,-1.4210317460317458e-05,0.0,0.04,0.88,0.08
120,uniform,统一补贴,0.096,0.022852182001336815,0.8274555555555555,0.0,0.0,8400.0,-2.4285714285714285e-05,0.0,0.0,1.0,0.0
140,random,随机补贴,0.14873333333333333,0.033588411779893544,0.7489877777777778,0.0,0.0,9800.0,-1.5435374149659863e-05,0.0,0.0,0.9,0.1
140,two_sided_targeted,双边精准,0.4467666666666667,0.3675885766424258,0.7705054444444444,0.34,7.352941176470588,9800.0,1.4976190476190476e-05,0.0,0.34,0.48,0.18
140,uniform,统一补贴,0.1101,0.028399103336105253,0.8056247777777777,0.0,0.0,9800.0,-1.9377551020408163e-05,0.0,0.0,1.0,0.0
160,random,随机补贴,0.22356666666666666,0.17282828369875836,0.7113752222222222,0.06,46.666666666666664,11200.0,-6.824404761904762e-06,0.0,0.04,0.72,0.24
160,two_sided_targeted,双边精准,0.8907,0.19670099147017914,0.8811278888888888,0.92,12.73913043478261,11200.0,5.274107142857143e-05,0.0,0.9,0.0,0.1
160,uniform,统一补贴,0.15883333333333333,0.16774658635441764,0.7879416666666667,0.04,7.5,11200.0,-1.2604166666666667e-05,0.0,0.04,0.92,0.04
180,random,随机补贴,0.5185333333333333,0.3790507058979357,0.7822986666666667,0.42,16.19047619047619,12600.0,1.7343915343915342e-05,0.0,0.42,0.28,0.3
180,two_sided_targeted,双边精准,0.9373,0.10359189179347712,0.9034958888888889,0.98,6.938775510204081,12600.0,5.057936507936508e-05,0.0,0.98,0.0,0.02
180,uniform,统一补贴,0.3705,0.37996035268763567,0.8165054444444445,0.28,13.357142857142858,12600.0,5.595238095238094e-06,0.0,0.28,0.7,0.02
200,random,随机补贴,0.8414333333333333,0.28338255074726676,0.8905525555555556,0.84,12.761904761904763,14000.0,3.8673809523809525e-05,0.0,0.84,0.1,0.06
200,two_sided_targeted,双边精准,0.9523333333333334,0.011253621236282341,0.9094591111111111,1.0,4.9,14000.0,4.6595238095238096e-05,0.0,1.0,0.0,0.0
200,uniform,统一补贴,0.7752,0.3625928046033365,0.9091582222222222,0.76,7.815789473684211,14000.0,3.394285714285714e-05,0.0,0.76,0.22,0.02
220,random,随机补贴,0.9645333333333334,0.010373085704334957,0.9317933333333334,1.0,9.72,15399.999999999998,4.3151515151515156e-05,0.0,1.0,0.0,0.0
220,two_sided_targeted,双边精准,0.9523333333333334,0.011253621236282341,0.9094591111111111,1.0,4.4,15400.0,4.235930735930736e-05,0.0,1.0,0.0,0.0
220,uniform,统一补贴,0.9602333333333334,0.1194289179382837,0.9515854444444445,0.98,4.346938775510204,15400.0,4.287229437229437e-05,0.0,0.98,0.02,0.0
240,random,随机补贴,0.9647333333333333,0.010303555954432535,0.9321622222222223,1.0,5.2,16800.0,3.956746031746032e-05,0.0,1.0,0.0,0.0
240,two_sided_targeted,双边精准,0.9523333333333334,0.011253621236282341,0.9094591111111111,1.0,4.08,16800.0,3.882936507936508e-05,0.0,1.0,0.0,0.0
240,uniform,统一补贴,0.978,0.009165893597581035,0.9571326666666667,1.0,2.8,16800.0,4.0357142857142857e-05,0.0,1.0,0.0,0.0
260,random,随机补贴,0.9652,0.010485061179435625,0.9330375555555556,1.0,4.24,18200.0,3.654945054945055e-05,0.0,1.0,0.0,0.0
260,two_sided_targeted,双边精准,0.9523333333333334,0.011253621236282341,0.9094591111111111,1.0,3.92,18200.0,3.584249084249084e-05,0.0,1.0,0.0,0.0
260,uniform,统一补贴,0.9791,0.008586032532463763,0.9592181111111111,1.0,2.34,18200.0,3.7313186813186814e-05,0.0,1.0,0.0,0.0
280,random,随机补贴,0.9653333333333333,0.010296070624018877,0.9332779999999999,1.0,3.68,19600.0,3.394557823129252e-05,0.0,1.0,0.0,0.0
280,two_sided_targeted,双边精准,0.9523333333333334,0.011253621236282341,0.9094591111111111,1.0,3.84,19600.0,3.328231292517007e-05,0.0,1.0,0.0,0.0
280,uniform,统一补贴,0.9801666666666666,0.008553221403183849,0.9612634444444444,1.0,2.1,19600.0,3.470238095238095e-05,0.0,1.0,0.0,0.0
300,random,随机补贴,0.9653666666666666,0.010297667217063221,0.9333401111111111,1.0,3.42,21000.0,3.168412698412698e-05,0.0,1.0,0.0,0.0
300,two_sided_targeted,双边精准,0.9523333333333334,0.011253621236282341,0.9094591111111111,1.0,3.74,21000.0,3.106349206349206e-05,0.0,1.0,0.0,0.0
300,uniform,统一补贴,0.9811333333333333,0.008278321825400229,0.9631128888888889,1.0,2.02,21000.0,3.2434920634920635e-05,0.0,1.0,0.0,0.0
