heterogeneity_sigma,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.0,5100,0.6325,0.2649999999999999,tilted,0.0,,0.0,0.0,0.0
0.0,5101,0.355,0.31,tilted,0.0,,0.0,0.0,0.0
0.0,5102,0.50875,0.08250000000000002,coexist,0.0,,0.0,0.0,0.0
0.0,5103,0.23750000000000002,0.5249999999999999,tilted,0.0,,0.0,0.0,0.0
0.0,5104,0.6637500000000001,0.3275,tilted,0.0,,0.0,0.0,0.0
0.0,5105,0.6375,0.275,tilted,0.0,,0.0,0.0,0.0
0.0,5106,0.41625,0.16749999999999998,coexist,0.0,,0.0,0.0,0.0
0.0,5107,0.66875,0.3375,tilted,0.0,,0.0,0.0,0.0
0.0,5108,0.43374999999999997,0.1325,coexist,0.0,,0.0,0.0,0.0
0.0,5109,0.5075000000000001,0.015000000000000013,coexist,0.0,,0.0,0.0,0.0
0.0,5110,0.36375,0.27249999999999996,tilted,0.0,,0.0,0.0,0.0
0.0,5111,0.49875,0.10250000000000004,coexist,0.0,,0.0,0.0,0.0
0.0,5112,0.7625,0.525,tilted,0.0,,0.0,0.0,0.0
0.0,5113,0.515,0.07000000000000006,coexist,0.0,,0.0,0.0,0.0
0.0,5114,0.40875,0.1825,coexist,0.0,,0.0,0.0,0.0
0.0,5115,0.6837500000000001,0.36750000000000005,tilted,0.0,,0.0,0.0,0.0
0.0,5116,0.6012500000000001,0.2025,tilted,0.0,,0.0,0.0,0.0
0.0,5117,0.52125,0.04249999999999998,coexist,0.0,,0.0,0.0,0.0
0.0,5118,0.67875,0.35749999999999993,tilted,0.0,,0.0,0.0,0.0
0.0,5119,0.72875,0.4575,tilted,0.0,,0.0,0.0,0.0
0.0,5120,0.72,0.43999999999999995,tilted,0.0,,0.0,0.0,0.0
0.0,5121,0.34875,0.30250000000000005,tilted,0.0,,0.0,0.0,0.0
0.0,5122,0.435,0.13,coexist,0.0,,0.0,0.0,0.0
0.0,5123,0.42625,0.14749999999999996,coexist,0.0,,0.0,0.0,0.0
0.0,5124,0.51875,0.06250000000000006,coexist,0.0,,0.0,0.0,0.0
0.0,5125,0.53375,0.13249999999999995,coexist,0.0,,0.0,0.0,0.0
0.0,5126,0.47250000000000003,0.05499999999999999,coexist,0.0,,0.0,0.0,0.0
0.0,5127,0.41625,0.16749999999999998,coexist,0.0,,0.0,0.0,0.0
0.0,5128,0.45,0.09999999999999998,coexist,0.0,,0.0,0.0,0.0
0.0,5129,0.49375,0.08749999999999997,coexist,0.0,,0.0,0.0,0.0
