heterogeneity_sigma,segment,A_only_share_mean,B_only_share_mean,multi_share_mean,count_mean
0.0,cost_sensitive,0.5097029822029822,0.4902970177970178,0.0,5.433333333333334
0.0,inertial,0.47753968253968254,0.5224603174603175,0.0,4.666666666666667
0.0,subsidy_sensitive,0.6338888888888888,0.3661111111111111,0.0,4.666666666666667
0.0,traffic_sensitive,0.5377380952380952,0.4622619047619048,0.0,5.233333333333333
0.25,cost_sensitive,0.5086315536315537,0.4913684463684464,0.0,5.433333333333334
0.25,inertial,0.46253968253968253,0.5374603174603174,0.0,4.666666666666667
0.25,subsidy_sensitive,0.6161111111111112,0.38388888888888884,0.0,4.666666666666667
0.25,traffic_sensitive,0.5329232804232804,0.4670767195767196,0.0,5.233333333333333
0.5,cost_sensitive,0.512560125060125,0.4874398749398749,0.0,5.433333333333334
0.5,inertial,0.4922089947089947,0.5077910052910053,0.0,4.666666666666667
0.5,subsidy_sensitive,0.6116666666666667,0.38833333333333336,0.0,4.666666666666667
0.5,traffic_sensitive,0.526494708994709,0.47350529100529104,0.0,5.233333333333333
0.75,cost_sensitive,0.4958934583934584,0.5041065416065416,0.0,5.433333333333334
0.75,inertial,0.4848015873015873,0.5151984126984127,0.0,4.666666666666667
0.75,subsidy_sensitive,0.6161111111111112,0.3838888888888889,0.0,4.666666666666667
0.75,traffic_sensitive,0.5293121693121693,0.47068783068783066,0.0,5.233333333333333
1.0,cost_sensitive,0.4815668590668591,0.518433140933141,0.0,5.433333333333334
1.0,inertial,0.5051190476190476,0.49488095238095237,0.0,4.666666666666667
1.0,subsidy_sensitive,0.5922222222222222,0.4077777777777778,0.0,4.666666666666667
1.0,traffic_sensitive,0.542883597883598,0.45711640211640214,0.0,5.233333333333333
1.25,cost_sensitive,0.4682335257335257,0.5317664742664743,0.0,5.433333333333334
1.25,inertial,0.4620238095238095,0.5379761904761904,0.0,4.666666666666667
1.25,subsidy_sensitive,0.5938888888888889,0.40611111111111114,0.0,4.666666666666667
1.25,traffic_sensitive,0.5291269841269841,0.4708730158730159,0.0,5.233333333333333
1.5,cost_sensitive,0.5076130351130351,0.4923869648869649,0.0,5.433333333333334
1.5,inertial,0.46503968253968253,0.5349603174603175,0.0,4.666666666666667
1.5,subsidy_sensitive,0.5736111111111111,0.4263888888888889,0.0,4.666666666666667
1.5,traffic_sensitive,0.5430158730158731,0.45698412698412694,0.0,5.233333333333333
2.0,cost_sensitive,0.5257359307359307,0.4742640692640692,0.0,5.433333333333334
2.0,inertial,0.4909656084656085,0.5090343915343916,0.0,4.666666666666667
2.0,subsidy_sensitive,0.5980555555555556,0.40194444444444444,0.0,4.666666666666667
2.0,traffic_sensitive,0.5639021164021164,0.4360978835978836,0.0,5.233333333333333
