heterogeneity_sigma,segment,share_on_A_mean,count_mean
0.0,inertial,0.5038742899063265,99.76666666666667
0.0,price_sensitive,0.5176767417265913,99.86666666666666
0.0,quality_sensitive,0.5206271736636049,99.36666666666666
0.0,subsidy_sensitive,0.501093540691691,101.0
0.25,inertial,0.49527235722678536,99.76666666666667
0.25,price_sensitive,0.5079780399470197,99.86666666666666
0.25,quality_sensitive,0.5157336413301893,99.36666666666666
0.25,subsidy_sensitive,0.49333035208570497,101.0
0.5,inertial,0.5056813309751368,99.76666666666667
0.5,price_sensitive,0.5241488220374234,99.86666666666666
0.5,quality_sensitive,0.5252788950192481,99.36666666666666
0.5,subsidy_sensitive,0.5034118006139392,101.0
0.75,inertial,0.5077336140769857,99.76666666666667
0.75,price_sensitive,0.5165353002950093,99.86666666666666
0.75,quality_sensitive,0.5230262145778084,99.36666666666666
0.75,subsidy_sensitive,0.49956028667697,101.0
1.0,inertial,0.5134058443597083,99.76666666666667
1.0,price_sensitive,0.5212038621236744,99.86666666666666
1.0,quality_sensitive,0.5223679744165242,99.36666666666666
1.0,subsidy_sensitive,0.5018528492625959,101.0
1.25,inertial,0.5118584025005002,99.76666666666667
1.25,price_sensitive,0.5142353873525375,99.86666666666666
1.25,quality_sensitive,0.5206746921794873,99.36666666666666
1.25,subsidy_sensitive,0.4992066241735301,101.0
1.5,inertial,0.5199910120367398,99.76666666666667
1.5,price_sensitive,0.5350464336055618,99.86666666666666
1.5,quality_sensitive,0.5343028482276803,99.36666666666666
1.5,subsidy_sensitive,0.5173998625006615,101.0
2.0,inertial,0.5259652715737626,99.76666666666667
2.0,price_sensitive,0.5402899222911323,99.86666666666666
2.0,quality_sensitive,0.529326747283728,99.36666666666666
2.0,subsidy_sensitive,0.5140243599476365,101.0
