budget,subsidy_policy,policy_label,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0,key_merchant,关键商户,5200,0.67625,0.3524999999999999,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5201,0.5775,0.15500000000000003,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5202,0.4075,0.185,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5203,0.52375,0.05250000000000005,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5204,0.52,0.040000000000000036,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5205,0.5675,0.135,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5206,0.6675,0.33499999999999996,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5207,0.27249999999999996,0.455,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5208,0.4,0.2,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5209,0.48625,0.1725,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5210,0.6312500000000001,0.26250000000000007,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5211,0.48625,0.12750000000000006,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5212,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5213,0.355,0.29,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5214,0.3825,0.235,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5215,0.47875,0.14250000000000007,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5216,0.495,0.010000000000000009,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5217,0.54375,0.11249999999999999,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5218,0.33125,0.3375,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5219,0.4325,0.13499999999999995,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5220,0.60375,0.20750000000000002,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5221,0.255,0.49,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5222,0.5125,0.12499999999999994,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5223,0.515,0.16999999999999998,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5224,0.4425,0.11499999999999999,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5225,0.46125000000000005,0.17750000000000005,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5226,0.6125,0.22499999999999998,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5227,0.6399999999999999,0.2799999999999999,tilted,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5228,0.53,0.06000000000000005,coexist,0.0,,0.0,0.0,0.0
0,key_merchant,关键商户,5229,0.57125,0.14249999999999996,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5200,0.67625,0.3524999999999999,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5201,0.5775,0.15500000000000003,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5202,0.4075,0.185,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5203,0.52375,0.05250000000000005,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5204,0.52,0.040000000000000036,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5205,0.5675,0.135,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5206,0.6675,0.33499999999999996,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5207,0.27249999999999996,0.455,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5208,0.4,0.2,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5209,0.48625,0.1725,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5210,0.6312500000000001,0.26250000000000007,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5211,0.48625,0.12750000000000006,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5212,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5213,0.355,0.29,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5214,0.3825,0.235,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5215,0.47875,0.14250000000000007,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5216,0.495,0.010000000000000009,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5217,0.54375,0.11249999999999999,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5218,0.33125,0.3375,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5219,0.4325,0.13499999999999995,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5220,0.60375,0.20750000000000002,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5221,0.255,0.49,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5222,0.5125,0.12499999999999994,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5223,0.515,0.16999999999999998,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5224,0.4425,0.11499999999999999,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5225,0.46125000000000005,0.17750000000000005,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5226,0.6125,0.22499999999999998,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5227,0.6399999999999999,0.2799999999999999,tilted,0.0,,0.0,0.0,0.0
0,none,无补贴,5228,0.53,0.06000000000000005,coexist,0.0,,0.0,0.0,0.0
0,none,无补贴,5229,0.57125,0.14249999999999996,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5200,0.36625,0.26749999999999996,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5201,0.57875,0.15749999999999997,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5202,0.5237499999999999,0.04749999999999999,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5203,0.5975,0.19500000000000006,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5204,0.66375,0.3274999999999999,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5205,0.5425,0.11499999999999999,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5206,0.62875,0.25750000000000006,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5207,0.575,0.15000000000000002,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5208,0.39875,0.2025,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5209,0.49375,0.012500000000000011,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5210,0.5075000000000001,0.21499999999999997,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5211,0.48125,0.13750000000000007,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5212,0.56,0.12,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5213,0.4575,0.08500000000000002,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5214,0.41500000000000004,0.16999999999999998,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5215,0.7075,0.4149999999999999,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5216,0.51875,0.03749999999999998,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5217,0.36624999999999996,0.2675,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5218,0.6575,0.31500000000000006,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5219,0.5025,0.20499999999999996,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5220,0.5862499999999999,0.1725,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5221,0.4125,0.17500000000000004,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5222,0.6425000000000001,0.28500000000000003,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5223,0.73125,0.4625,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5224,0.35625,0.2875,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5225,0.33625,0.3275,tilted,0.0,,0.0,0.0,0.0
0,random,随机补贴,5226,0.42874999999999996,0.14250000000000002,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5227,0.53375,0.0675,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5228,0.50875,0.01749999999999996,coexist,0.0,,0.0,0.0,0.0
0,random,随机补贴,5229,0.45,0.09999999999999998,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5200,0.67625,0.3524999999999999,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5201,0.5775,0.15500000000000003,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5202,0.4075,0.185,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5203,0.52375,0.05250000000000005,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5204,0.52,0.040000000000000036,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5205,0.5675,0.135,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5206,0.6675,0.33499999999999996,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5207,0.27249999999999996,0.455,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5208,0.4,0.2,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5209,0.48625,0.1725,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5210,0.6312500000000001,0.26250000000000007,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5211,0.48625,0.12750000000000006,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5212,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5213,0.355,0.29,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5214,0.3825,0.235,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5215,0.47875,0.14250000000000007,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5216,0.495,0.010000000000000009,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5217,0.54375,0.11249999999999999,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5218,0.33125,0.3375,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5219,0.4325,0.13499999999999995,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5220,0.60375,0.20750000000000002,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5221,0.255,0.49,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5222,0.5125,0.12499999999999994,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5223,0.515,0.16999999999999998,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5224,0.4425,0.11499999999999999,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5225,0.46125000000000005,0.17750000000000005,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5226,0.6125,0.22499999999999998,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5227,0.6399999999999999,0.2799999999999999,tilted,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5228,0.53,0.06000000000000005,coexist,0.0,,0.0,0.0,0.0
0,swing_user,摇摆用户,5229,0.57125,0.14249999999999996,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5200,0.67625,0.3524999999999999,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5201,0.5775,0.15500000000000003,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5202,0.4075,0.185,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5203,0.52375,0.05250000000000005,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5204,0.52,0.040000000000000036,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5205,0.5675,0.135,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5206,0.6675,0.33499999999999996,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5207,0.27249999999999996,0.455,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5208,0.4,0.2,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5209,0.48625,0.1725,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5210,0.6312500000000001,0.26250000000000007,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5211,0.48625,0.12750000000000006,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5212,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5213,0.355,0.29,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5214,0.3825,0.235,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5215,0.47875,0.14250000000000007,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5216,0.495,0.010000000000000009,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5217,0.54375,0.11249999999999999,coexist,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5218,0.33125,0.3375,tilted,0.0,,0.0,0.0,0.0
0,two_sided_targeted,双边精准,5219,0.4325,0.13499999999999995,coexist,0.0,,0.0,0.0,0.0
