budget,subsidy_policy,policy_label,final_L_B_mean,final_L_B_std,concentration_mean,b_break_probability,b_lock_probability,subsidy_spend_mean,roi_b_mean,lock_A_probability,coexist_probability,tilted_probability
0,key_merchant,关键商户,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
0,none,无补贴,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
0,random,随机补贴,0.48237500000000005,0.10671442615691658,0.19125,0.16666666666666666,0.0,0.0,0.0,0.0,0.5666666666666667,0.43333333333333335
0,swing_user,摇摆用户,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
0,two_sided_targeted,双边精准,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
0,uniform,统一补贴,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
20,key_merchant,关键商户,0.6582916666666667,0.07241558948579171,0.32075000000000004,0.7666666666666667,0.0,1400.0,0.0003273511904761905,0.0,0.2,0.8
20,none,无补贴,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
20,random,随机补贴,0.6331666666666667,0.09269186377021126,0.2791666666666667,0.6,0.0,1400.0,0.00030940476190476193,0.0,0.4,0.6
20,swing_user,摇摆用户,0.6426666666666667,0.0842363857140186,0.30866666666666664,0.7333333333333333,0.0,1400.0,0.0003161904761904762,0.0,0.2,0.8
20,two_sided_targeted,双边精准,0.6986666666666667,0.06264116242443987,0.3973333333333333,0.9,0.0,1400.0,0.0003561904761904762,0.0,0.1,0.9
20,uniform,统一补贴,0.6664583333333333,0.08644130666022139,0.3439166666666667,0.7666666666666667,0.0,1400.0,0.00033318452380952385,0.0,0.23333333333333334,0.7666666666666667
50,key_merchant,关键商户,0.6597916666666667,0.07169295411363819,0.32375000000000004,0.7666666666666667,0.0,3500.0,0.00013136904761904764,0.0,0.2,0.8
50,none,无补贴,0.5060833333333333,0.10917733781309209,0.19499999999999998,0.2,0.0,0.0,0.0,0.0,0.6,0.4
50,random,随机补贴,0.7334583333333333,0.07470320826251468,0.4669166666666667,0.9333333333333333,0.0,3500.0,0.00015241666666666667,0.0,0.06666666666666667,0.9333333333333333
50,swing_user,摇摆用户,0.6735833333333333,0.07649214894729206,0.3671666666666667,0.8333333333333334,0.0,3500.0,0.00013530952380952382,0.0,0.1,0.9
