b_u0,b_m0,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.05,0.05,5300,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5301,0.9975,0.995,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5302,0.9975,0.995,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5303,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5304,0.97375,0.9475,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5305,0.97375,0.9475,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5306,0.94875,0.8975000000000001,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5307,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5308,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5309,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5310,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5311,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5312,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5313,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5314,0.97375,0.9475,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5315,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5316,1.0,1.0,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5317,0.97375,0.9475,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5318,0.95,0.9,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.05,5319,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5300,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5301,0.9975,0.995,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5302,0.9975,0.995,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5303,0.975,0.95,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5304,0.97375,0.9475,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5305,0.97375,0.9475,A_lock,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5306,0.94875,0.8975000000000001,A_lock,1.0,0.0,0.0,0.0,0.0
