u0,m0,resource_label,seed_quality,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.3,0.45,用户30%-商户45%,0.0,0.021474358974358974,0.008704659736935306,0.9581200690335305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.45,用户30%-商户45%,0.6,0.0817948717948718,0.24321371460209687,0.9641533530571992,0.06666666666666667,2.0,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0
0.3,0.45,用户30%-商户45%,1.2,0.8840384615384616,0.29488738041692686,0.9630909763313611,0.9,2.185185185185185,0.0,0.0,0.0,0.9,0.1,0.0
0.3,0.45,用户30%-商户45%,1.8,0.9817307692307692,0.009618699693785268,0.964307938856016,1.0,1.8666666666666667,0.0,0.0,0.0,1.0,0.0,0.0
0.3,0.45,用户30%-商户45%,2.4,0.9821794871794872,0.008031851846631691,0.9651188362919133,1.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.4,用户35%-商户40%,0.0,0.021474358974358974,0.008704659736935306,0.9581200690335305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.4,用户35%-商户40%,0.6,0.01891025641025641,0.008360918093754334,0.96302983234714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.4,用户35%-商户40%,1.2,0.7208333333333333,0.4349747004551496,0.9633271696252466,0.7333333333333333,3.227272727272727,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0
0.35,0.4,用户35%-商户40%,1.8,0.9816666666666668,0.008987927093348808,0.9641617357001973,1.0,2.033333333333333,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.4,用户35%-商户40%,2.4,0.9821153846153847,0.007939496519211754,0.9649923570019724,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.35,用户40%-商户35%,0.0,0.021474358974358974,0.008704659736935306,0.9581200690335305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.35,用户40%-商户35%,0.6,0.019102564102564105,0.008204644658607643,0.96265483234714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.35,用户40%-商户35%,1.2,0.1764102564102564,0.3638316619011154,0.9653427021696253,0.16666666666666666,3.8,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0
0.4,0.35,用户40%-商户35%,1.8,0.9810897435897437,0.009091614315421031,0.9630544871794873,1.0,2.2666666666666666,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.35,用户40%-商户35%,2.4,0.9814102564102565,0.008288152020741894,0.9636444773175543,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.4,用户40%-商户40%,0.0,0.021474358974358974,0.008704659736935306,0.9581200690335305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.4,用户40%-商户40%,0.6,0.01871794871794872,0.008373872691998423,0.9634003944773176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.4,用户40%-商户40%,1.2,0.9160256410256411,0.24577346134292632,0.9629368836291914,0.9333333333333333,2.357142857142857,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0
0.4,0.4,用户40%-商户40%,1.8,0.9817307692307692,0.008873932856976801,0.964281311637081,1.0,1.9666666666666666,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.4,用户40%-商户40%,2.4,0.9821794871794872,0.007871476620575128,0.9651139053254438,1.0,1.8333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.3,用户45%-商户30%,0.0,0.021474358974358974,0.008704659736935306,0.9581200690335305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.3,用户45%-商户30%,0.6,0.019487179487179488,0.009030392206584793,0.9619428007889546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.3,用户45%-商户30%,1.2,0.017884615384615384,0.007678203249576543,0.9649844674556214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.3,用户45%-商户30%,1.8,0.9815384615384616,0.008842981786256643,0.9639097633136096,1.0,2.933333333333333,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.3,用户45%-商户30%,2.4,0.9816025641025642,0.008308897725038816,0.9640155325443788,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
