multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.0,0.5,5400,0.42374999999999996,0.15250000000000002,coexist,0.0,,0.0,0.0,0.55
0.0,0.5,5401,0.53625,0.07749999999999996,coexist,0.0,,0.0,0.0,0.55
0.0,0.5,5402,0.5862499999999999,0.1725,coexist,0.0,,0.0,0.0,0.5
0.0,0.5,5403,0.5487500000000001,0.09750000000000003,coexist,0.0,,0.0,0.0,0.6
0.0,0.5,5404,0.48624999999999996,0.1225,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5405,0.5275000000000001,0.05500000000000005,coexist,0.0,,0.0,0.0,0.5
0.0,0.5,5406,0.5,0.10000000000000003,coexist,0.0,,0.0,0.0,0.6
0.0,0.5,5407,0.5325,0.06499999999999995,coexist,0.0,,0.0,0.0,0.6
0.0,0.5,5408,0.49250000000000005,0.08500000000000002,coexist,0.0,,0.0,0.0,0.5
0.0,0.5,5409,0.45999999999999996,0.08000000000000002,coexist,0.0,,0.0,0.0,0.5
0.0,0.5,5410,0.5125,0.07500000000000007,coexist,0.0,,0.0,0.0,0.8
0.0,0.5,5411,0.49250000000000005,0.13500000000000006,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5412,0.47875,0.05749999999999994,coexist,0.0,,0.0,0.0,0.6
0.0,0.5,5413,0.575,0.15000000000000002,coexist,0.0,,0.0,0.0,0.45
0.0,0.5,5414,0.5425,0.08499999999999996,coexist,0.0,,0.0,0.0,0.7
0.0,0.5,5415,0.47875,0.04249999999999998,coexist,0.0,,0.0,0.0,0.8
0.0,0.5,5416,0.5487500000000001,0.09750000000000003,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5417,0.49749999999999994,0.14499999999999996,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5418,0.5375000000000001,0.07500000000000007,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5419,0.42874999999999996,0.14250000000000002,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5420,0.47250000000000003,0.10500000000000004,coexist,0.0,,0.0,0.0,0.55
0.0,0.5,5421,0.47875,0.09250000000000003,coexist,0.0,,0.0,0.0,0.55
0.0,0.5,5422,0.45,0.09999999999999998,coexist,0.0,,0.0,0.0,0.5
0.0,0.5,5423,0.53625,0.07749999999999996,coexist,0.0,,0.0,0.0,0.55
0.0,0.5,5424,0.44625000000000004,0.10749999999999998,coexist,0.0,,0.0,0.0,0.85
0.0,0.5,5425,0.46125,0.07750000000000001,coexist,0.0,,0.0,0.0,0.55
0.0,0.5,5426,0.605,0.20999999999999996,tilted,0.0,,0.0,0.0,0.5
0.0,0.5,5427,0.5,0.050000000000000044,coexist,0.0,,0.0,0.0,0.65
0.0,0.5,5428,0.485,0.07,coexist,0.0,,0.0,0.0,0.6
0.0,0.5,5429,0.5774999999999999,0.15499999999999992,coexist,0.0,,0.0,0.0,0.85
0.2,0.5,5400,0.5275000000000001,0.05500000000000005,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5401,0.52625,0.09749999999999998,coexist,0.0,,0.0,0.0,0.45
0.2,0.5,5402,0.5475,0.10499999999999998,coexist,0.0,,0.0,0.0,0.4
0.2,0.5,5403,0.61875,0.23750000000000004,tilted,0.0,,0.0,0.0,0.55
0.2,0.5,5404,0.5249999999999999,0.09999999999999998,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5405,0.5025000000000001,0.09500000000000003,coexist,0.0,,0.0,0.0,0.4
0.2,0.5,5406,0.51875,0.03749999999999998,coexist,0.0,,0.0,0.0,0.55
0.2,0.5,5407,0.5900000000000001,0.18000000000000005,coexist,0.0,,0.0,0.0,0.5
0.2,0.5,5408,0.48375,0.03250000000000003,coexist,0.0,,0.0,0.0,0.45
