setting,x,u_inf,m_inf,L_A
弱网络效应 alpha=beta=0.5,0.1,0.4999998836645729,0.4999998836645729,0.4999998836645729
弱网络效应 alpha=beta=0.5,0.11,0.4999998892346111,0.4999998892346111,0.4999998892346111
弱网络效应 alpha=beta=0.5,0.12000000000000001,0.4999998908652219,0.4999998908652219,0.4999998908652219
弱网络效应 alpha=beta=0.5,0.13,0.499999891417934,0.499999891417934,0.499999891417934
弱网络效应 alpha=beta=0.5,0.14,0.4999998946128356,0.4999998946128356,0.4999998946128356
弱网络效应 alpha=beta=0.5,0.15000000000000002,0.4999998986743178,0.4999998986743178,0.4999998986743178
弱网络效应 alpha=beta=0.5,0.16,0.4999999000677256,0.4999999000677256,0.4999999000677256
弱网络效应 alpha=beta=0.5,0.17,0.49999990045847,0.49999990045847,0.49999990045847
弱网络效应 alpha=beta=0.5,0.18,0.49999990541989575,0.49999990541989575,0.49999990541989575
弱网络效应 alpha=beta=0.5,0.19,0.4999999084048064,0.4999999084048064,0.4999999084048064
弱网络效应 alpha=beta=0.5,0.2,0.49999990954056023,0.49999990954056023,0.49999990954056023
弱网络效应 alpha=beta=0.5,0.21000000000000002,0.4999999095555111,0.4999999095555111,0.4999999095555111
弱网络效应 alpha=beta=0.5,0.22,0.4999999162634029,0.4999999162634029,0.4999999162634029
弱网络效应 alpha=beta=0.5,0.23,0.49999991828897616,0.49999991828897616,0.49999991828897616
弱网络效应 alpha=beta=0.5,0.24000000000000002,0.49999991897615575,0.49999991897615575,0.49999991897615575
弱网络效应 alpha=beta=0.5,0.25,0.49999992329184906,0.49999992329184906,0.49999992329184906
弱网络效应 alpha=beta=0.5,0.26,0.4999999268305072,0.4999999268305072,0.4999999268305072
弱网络效应 alpha=beta=0.5,0.27,0.4999999279723975,0.4999999279723975,0.4999999279723975
弱网络效应 alpha=beta=0.5,0.28,0.4999999298064056,0.4999999298064056,0.4999999298064056
弱网络效应 alpha=beta=0.5,0.29000000000000004,0.4999999352724658,0.4999999352724658,0.4999999352724658
弱网络效应 alpha=beta=0.5,0.30000000000000004,0.4999999366772723,0.4999999366772723,0.4999999366772723
弱网络效应 alpha=beta=0.5,0.31,0.49999993755784533,0.49999993755784533,0.49999993755784533
弱网络效应 alpha=beta=0.5,0.32,0.4999999437810294,0.4999999437810294,0.4999999437810294
弱网络效应 alpha=beta=0.5,0.33,0.49999994503968476,0.49999994503968476,0.49999994503968476
弱网络效应 alpha=beta=0.5,0.33999999999999997,0.49999994786368573,0.49999994786368573,0.49999994786368573
弱网络效应 alpha=beta=0.5,0.35,0.4999999522296577,0.4999999522296577,0.4999999522296577
弱网络效应 alpha=beta=0.5,0.36,0.49999995258871643,0.49999995258871643,0.49999995258871643
弱网络效应 alpha=beta=0.5,0.37,0.4999999584099249,0.4999999584099249,0.4999999584099249
弱网络效应 alpha=beta=0.5,0.38,0.49999995976036543,0.49999995976036543,0.49999995976036543
弱网络效应 alpha=beta=0.5,0.39,0.4999999639802495,0.4999999639802495,0.4999999639802495
弱网络效应 alpha=beta=0.5,0.4,0.4999999660778604,0.4999999660778604,0.4999999660778604
弱网络效应 alpha=beta=0.5,0.41000000000000003,0.499999970206416,0.499999970206416,0.499999970206416
弱网络效应 alpha=beta=0.5,0.42000000000000004,0.4999999713914452,0.4999999713914452,0.4999999713914452
弱网络效应 alpha=beta=0.5,0.43000000000000005,0.49999997648373645,0.49999997648373645,0.49999997648373645
弱网络效应 alpha=beta=0.5,0.44000000000000006,0.4999999785354394,0.4999999785354394,0.4999999785354394
弱网络效应 alpha=beta=0.5,0.45000000000000007,0.49999997936649926,0.49999997936649926,0.49999997936649926
弱网络效应 alpha=beta=0.5,0.45999999999999996,0.4999999832207472,0.4999999832207472,0.4999999832207472
弱网络效应 alpha=beta=0.5,0.47,0.49999998470250345,0.49999998470250345,0.49999998470250345
弱网络效应 alpha=beta=0.5,0.48,0.4999999919722441,0.4999999919722441,0.4999999919722441
弱网络效应 alpha=beta=0.5,0.49,0.49999999365016456,0.49999999365016456,0.49999999365016456
弱网络效应 alpha=beta=0.5,0.5,0.5,0.5,0.5
弱网络效应 alpha=beta=0.5,0.51,0.5000000065867366,0.5000000065867366,0.5000000065867366
弱网络效应 alpha=beta=0.5,0.52,0.5000000082582127,0.5000000082582127,0.5000000082582127
弱网络效应 alpha=beta=0.5,0.53,0.5000000127211082,0.5000000127211082,0.5000000127211082
弱网络效应 alpha=beta=0.5,0.54,0.5000000183746706,0.5000000183746706,0.5000000183746706
弱网络效应 alpha=beta=0.5,0.55,0.5000000188175969,0.5000000188175969,0.5000000188175969
弱网络效应 alpha=beta=0.5,0.56,0.5000000203041465,0.5000000203041465,0.5000000203041465
弱网络效应 alpha=beta=0.5,0.5700000000000001,0.5000000247050712,0.5000000247050712,0.5000000247050712
弱网络效应 alpha=beta=0.5,0.58,0.500000028149319,0.500000028149319,0.500000028149319
弱网络效应 alpha=beta=0.5,0.59,0.5000000301737259,0.5000000301737259,0.5000000301737259
弱网络效应 alpha=beta=0.5,0.6,0.5000000345569132,0.5000000345569132,0.5000000345569132
弱网络效应 alpha=beta=0.5,0.61,0.5000000365990913,0.5000000365990913,0.5000000365990913
弱网络效应 alpha=beta=0.5,0.62,0.5000000388762503,0.5000000388762503,0.5000000388762503
弱网络效应 alpha=beta=0.5,0.63,0.5000000439950675,0.5000000439950675,0.5000000439950675
弱网络效应 alpha=beta=0.5,0.64,0.5000000447625703,0.5000000447625703,0.5000000447625703
弱网络效应 alpha=beta=0.5,0.65,0.5000000489014508,0.5000000489014508,0.5000000489014508
弱网络效应 alpha=beta=0.5,0.66,0.5000000524659668,0.5000000524659668,0.5000000524659668
弱网络效应 alpha=beta=0.5,0.67,0.5000000535712287,0.5000000535712287,0.5000000535712287
弱网络效应 alpha=beta=0.5,0.6799999999999999,0.5000000568964026,0.5000000568964026,0.5000000568964026
弱网络效应 alpha=beta=0.5,0.69,0.5000000619602184,0.5000000619602184,0.5000000619602184
弱网络效应 alpha=beta=0.5,0.7,0.500000062751061,0.500000062751061,0.500000062751061
弱网络效应 alpha=beta=0.5,0.71,0.5000000647012385,0.5000000647012385,0.5000000647012385
弱网络效应 alpha=beta=0.5,0.72,0.5000000696752406,0.5000000696752406,0.5000000696752406
弱网络效应 alpha=beta=0.5,0.73,0.5000000726717516,0.5000000726717516,0.5000000726717516
弱网络效应 alpha=beta=0.5,0.74,0.5000000737604394,0.5000000737604394,0.5000000737604394
弱网络效应 alpha=beta=0.5,0.75,0.5000000757074697,0.5000000757074697,0.5000000757074697
弱网络效应 alpha=beta=0.5,0.76,0.5000000797441898,0.5000000797441898,0.5000000797441898
弱网络效应 alpha=beta=0.5,0.77,0.5000000841154233,0.5000000841154233,0.5000000841154233
弱网络效应 alpha=beta=0.5,0.78,0.5000000850077769,0.5000000850077769,0.5000000850077769
弱网络效应 alpha=beta=0.5,0.79,0.5000000865458777,0.5000000865458777,0.5000000865458777
弱网络效应 alpha=beta=0.5,0.8,0.50000008896211,0.50000008896211,0.50000008896211
弱网络效应 alpha=beta=0.5,0.8099999999999999,0.5000000940032961,0.5000000940032961,0.5000000940032961
弱网络效应 alpha=beta=0.5,0.82,0.5000000966548299,0.5000000966548299,0.5000000966548299
弱网络效应 alpha=beta=0.5,0.83,0.5000000976718638,0.5000000976718638,0.5000000976718638
弱网络效应 alpha=beta=0.5,0.84,0.5000000991775468,0.5000000991775468,0.5000000991775468
弱网络效应 alpha=beta=0.5,0.85,0.5000001013344367,0.5000001013344367,0.5000001013344367
弱网络效应 alpha=beta=0.5,0.86,0.5000001052154094,0.5000001052154094,0.5000001052154094
弱网络效应 alpha=beta=0.5,0.87,0.5000001094980103,0.5000001094980103,0.5000001094980103
弱网络效应 alpha=beta=0.5,0.88,0.5000001102969907,0.5000001102969907,0.5000001102969907
弱网络效应 alpha=beta=0.5,0.89,0.5000001115283991,0.5000001115283991,0.5000001115283991
弱网络效应 alpha=beta=0.5,0.9,0.5000001131459475,0.5000001131459475,0.5000001131459475
强网络效应 alpha=beta=3.0,0.1,0.0016951253736819825,0.0016951253736819825,0.0016951253736819825
强网络效应 alpha=beta=3.0,0.11,0.0016951248086048817,0.0016951248086048817,0.0016951248086048817
强网络效应 alpha=beta=3.0,0.12000000000000001,0.0016951248366214098,0.0016951248366214098,0.0016951248366214098
强网络效应 alpha=beta=3.0,0.13,0.0016951248147636406,0.0016951248147636406,0.0016951248147636406
强网络效应 alpha=beta=3.0,0.14,0.0016951248574177595,0.0016951248574177595,0.0016951248574177595
强网络效应 alpha=beta=3.0,0.15000000000000002,0.0016951248027451899,0.0016951248027451899,0.0016951248027451899
强网络效应 alpha=beta=3.0,0.16,0.001695125121153733,0.001695125121153733,0.001695125121153733
强网络效应 alpha=beta=3.0,0.17,0.0016951249581043126,0.0016951249581043126,0.0016951249581043126
强网络效应 alpha=beta=3.0,0.18,0.0016951248993052896,0.0016951248993052896,0.0016951248993052896
强网络效应 alpha=beta=3.0,0.19,0.001695125135737546,0.001695125135737546,0.001695125135737546
强网络效应 alpha=beta=3.0,0.2,0.0016951250447953272,0.0016951250447953272,0.0016951250447953272
强网络效应 alpha=beta=3.0,0.21000000000000002,0.0016951248073467842,0.0016951248073467842,0.0016951248073467842
强网络效应 alpha=beta=3.0,0.22,0.0016951248703354722,0.0016951248703354722,0.0016951248703354722
强网络效应 alpha=beta=3.0,0.23,0.001695124935776315,0.001695124935776315,0.001695124935776315
强网络效应 alpha=beta=3.0,0.24000000000000002,0.0016951249691239923,0.0016951249691239923,0.0016951249691239923
强网络效应 alpha=beta=3.0,0.25,0.0016951248194212597,0.0016951248194212597,0.0016951248194212597
