setting,network_strength,delta_q,u_inf,m_inf,L_A,success
中等网络效应 alpha=beta=1.0,1.0,0.0,0.1707151969133687,0.1707151969133687,0.1707151969133687,0
中等网络效应 alpha=beta=1.0,1.0,0.05,0.24803380139457828,0.24803380139457828,0.24803380139457828,0
中等网络效应 alpha=beta=1.0,1.0,0.1,0.8864458145091172,0.8864458145091172,0.8864458145091172,1
中等网络效应 alpha=beta=1.0,1.0,0.15000000000000002,0.9035099855674636,0.9035099855674636,0.9035099855674636,1
中等网络效应 alpha=beta=1.0,1.0,0.2,0.9169199478359772,0.9169199478359772,0.9169199478359772,1
中等网络效应 alpha=beta=1.0,1.0,0.25,0.9278062844566438,0.9278062844566438,0.9278062844566438,1
中等网络效应 alpha=beta=1.0,1.0,0.30000000000000004,0.9368391485240187,0.9368391485240187,0.9368391485240187,1
中等网络效应 alpha=beta=1.0,1.0,0.35000000000000003,0.9444528200426353,0.9444528200426353,0.9444528200426353,1
中等网络效应 alpha=beta=1.0,1.0,0.4,0.9509462842513657,0.9509462842513657,0.9509462842513657,1
中等网络效应 alpha=beta=1.0,1.0,0.45,0.9565352425210008,0.9565352425210008,0.9565352425210008,1
中等网络效应 alpha=beta=1.0,1.0,0.5,0.9613810866790466,0.9613810866790466,0.9613810866790466,1
中等网络效应 alpha=beta=1.0,1.0,0.55,0.96560736161482,0.96560736161482,0.96560736161482,1
中等网络效应 alpha=beta=1.0,1.0,0.6000000000000001,0.9693113867251761,0.9693113867251761,0.9693113867251761,1
中等网络效应 alpha=beta=1.0,1.0,0.65,0.97257087539782,0.97257087539782,0.97257087539782,1
中等网络效应 alpha=beta=1.0,1.0,0.7000000000000001,0.9754492260126136,0.9754492260126136,0.9754492260126136,1
中等网络效应 alpha=beta=1.0,1.0,0.75,0.9779983760023767,0.9779983760023767,0.9779983760023767,1
中等网络效应 alpha=beta=1.0,1.0,0.8,0.9802615870078996,0.9802615870078996,0.9802615870078996,1
中等网络效应 alpha=beta=1.0,1.0,0.8500000000000001,0.9822754440664877,0.9822754440664877,0.9822754440664877,1
中等网络效应 alpha=beta=1.0,1.0,0.9,0.9840707218904889,0.9840707218904889,0.9840707218904889,1
中等网络效应 alpha=beta=1.0,1.0,0.9500000000000001,0.9856737730026636,0.9856737730026636,0.9856737730026636,1
中等网络效应 alpha=beta=1.0,1.0,1.0,0.9871072422067816,0.9871072422067816,0.9871072422067816,1
中等网络效应 alpha=beta=1.0,1.0,1.05,0.9883906861999123,0.9883906861999123,0.9883906861999123,1
中等网络效应 alpha=beta=1.0,1.0,1.1,0.9895410941952425,0.9895410941952425,0.9895410941952425,1
中等网络效应 alpha=beta=1.0,1.0,1.1500000000000001,0.9905734133929409,0.9905734133929409,0.9905734133929409,1
中等网络效应 alpha=beta=1.0,1.0,1.2000000000000002,0.9915003945442428,0.9915003945442428,0.9915003945442428,1
中等网络效应 alpha=beta=1.0,1.0,1.25,0.9923335001644302,0.9923335001644302,0.9923335001644302,1
中等网络效应 alpha=beta=1.0,1.0,1.3,0.9930827493081975,0.9930827493081975,0.9930827493081975,1
中等网络效应 alpha=beta=1.0,1.0,1.35,0.9937570000802922,0.9937570000802922,0.9937570000802922,1
