strategy,b,bAU,bAM,u_inf,m_inf,L_A,C,state,success
只补贴用户,0.0,0.0,0.0,0.0016951248702030443,0.0016951248702030443,0.0016951248702030443,0.9966097502595939,市场锁定,0
只补贴用户,0.05,0.05,0.0,0.0018734168836045803,0.0016987542517599165,0.0017860855676822484,0.9964278288646355,市场锁定,0
只补贴用户,0.1,0.1,0.0,0.0020704633218260964,0.0017027744465392082,0.0018866188841826523,0.9962267622316348,市场锁定,0
只补贴用户,0.15000000000000002,0.15000000000000002,0.0,0.00228823737237203,0.0017072285817788192,0.001997732977075425,0.9960045340458492,市场锁定,0
只补贴用户,0.2,0.2,0.0,0.0025289200118104225,0.001712164882311914,0.002120542447061168,0.9957589151058777,市场锁定,0
只补贴用户,0.25,0.25,0.0,0.0027949215960112006,0.0017176369204936893,0.002256279258252445,0.9954874414834951,市场锁定,0
只补贴用户,0.30000000000000004,0.30000000000000004,0.0,0.003088906719266108,0.001723705370865133,0.0024063060450656205,0.9951873879098687,市场锁定,0
只补贴用户,0.35000000000000003,0.35000000000000003,0.0,0.0034138201053819216,0.0017304369602789997,0.0025721285328304607,0.994855742934339,市场锁定,0
只补贴用户,0.4,0.4,0.0,0.0037729169863837246,0.001737906795388907,0.002755411890886316,0.9944891762182273,市场锁定,0
只补贴用户,0.45,0.45,0.0,0.004169795499591,0.0017462005302529124,0.0029579980149219563,0.9940840039701561,市场锁定,0
只补贴用户,0.5,0.5,0.0,0.004608432950339663,0.001755412841015889,0.003181922895677776,0.9936361542086445,市场锁定,0
只补贴用户,0.55,0.55,0.0,0.005093225955734799,0.0017656509618488218,0.0034294384587918105,0.9931411230824163,市场锁定,0
只补贴用户,0.6000000000000001,0.6000000000000001,0.0,0.005629034580851319,0.001777036219479431,0.003703035400165375,0.9925939291996693,市场锁定,0
只补贴用户,0.65,0.65,0.0,0.006221232070206088,0.0017897051264860412,0.004005468598346064,0.9919890628033079,市场锁定,0
只补贴用户,0.7000000000000001,0.7000000000000001,0.0,0.00687575870716677,0.0018038125397759602,0.004339785623471365,0.9913204287530573,市场锁定,0
只补贴用户,0.75,0.75,0.0,0.007599183454279282,0.0018195332109657055,0.004709358332622494,0.9905812833347549,市场锁定,0
只补贴用户,0.8,0.8,0.0,0.008398766623332506,0.0018370691691974195,0.005117917896264963,0.9897641642074702,市场锁定,0
只补贴用户,0.8500000000000001,0.8500000000000001,0.0,0.009282539076287647,0.0018566484565844118,0.0055695937664360295,0.988860812467128,市场锁定,0
只补贴用户,0.9,0.9,0.0,0.010259382545635257,0.0018785324501623998,0.006068957497898828,0.9878620850042024,市场锁定,0
只补贴用户,0.9500000000000001,0.9500000000000001,0.0,0.011339122302490593,0.001903020621517551,0.006621071462004072,0.9867578570759918,市场锁定,0
只补贴用户,1.0,1.0,0.0,0.012532622730136535,0.0019304611000585644,0.007231541915097549,0.9855369161698049,市场锁定,0
只补贴用户,1.05,1.05,0.0,0.013851907576926122,0.001961254937025716,0.007906581256975919,0.9841868374860482,市场锁定,0
只补贴用户,1.1,1.1,0.0,0.015310290388432382,0.001995865210529029,0.008653077799480706,0.9826938444010386,市场锁定,0
只补贴用户,1.1500000000000001,1.1500000000000001,0.0,0.01692249750865982,0.002034838471549959,0.00947866799010489,0.9810426640197902,市场锁定,0
只补贴用户,1.2000000000000002,1.2000000000000002,0.0,0.018704850331132547,0.0020788099887023978,0.010391830159917473,0.979216339680165,市场锁定,0
只补贴用户,1.25,1.25,0.0,0.020675424926185043,0.002128532141644194,0.01140197853391462,0.9771960429321708,市场锁定,0
只补贴用户,1.3,1.3,0.0,0.022854268982252787,0.0021848937479612097,0.012519581365106999,0.974960837269786,市场锁定,0
只补贴用户,1.35,1.35,0.0,0.025263620029589547,0.0022489567737163743,0.013756288401652961,0.972487423196694,市场锁定,0
只补贴用户,1.4000000000000001,1.4000000000000001,0.0,0.02792817829474473,0.002321994147016657,0.015125086220880693,0.9697498275582386,市场锁定,0
只补贴用户,1.4500000000000002,1.4500000000000002,0.0,0.030875408373342017,0.0024055444279794404,0.016640476400660728,0.9667190471986785,市场锁定,0
只补贴用户,1.5,1.5,0.0,0.03413589996408444,0.002501480331222518,0.01831869014765348,0.9633626197046931,市场锁定,0
只补贴用户,1.55,1.55,0.0,0.03774378815472477,0.0026121020871983976,0.020177945120961584,0.9596441097580768,市场锁定,0
只补贴用户,1.6,1.6,0.0,0.9999308856679315,0.9983375999114632,0.9991342427896974,0.9982684855793947,市场锁定,1
只补贴用户,1.6500000000000001,1.6500000000000001,0.0,0.999937443028546,0.998337719293138,0.9991375811608421,0.998275162321684,市场锁定,1
只补贴用户,1.7000000000000002,1.7000000000000002,0.0,0.9999434096931988,0.9983378514278183,0.9991406305605086,0.9982812611210171,市场锁定,1
只补贴用户,1.75,1.75,0.0,0.9999488018712978,0.9983379648013172,0.9991433833363075,0.998286766672615,市场锁定,1
只补贴用户,1.8,1.8,0.0,0.999953661174714,0.9983380525407709,0.9991458568577425,0.9982917137154849,市场锁定,1
只补贴用户,1.85,1.85,0.0,0.9999580716745998,0.9983381423084916,0.9991481069915458,0.9982962139830914,市场锁定,1
只补贴用户,1.9000000000000001,1.9000000000000001,0.0,0.9999620620651731,0.9983382236822804,0.9991501428737268,0.9983002857474536,市场锁定,1
只补贴用户,1.9500000000000002,1.9500000000000002,0.0,0.9999656690483089,0.9983382949416437,0.9991519819949763,0.9983039639899526,市场锁定,1
只补贴用户,2.0,2.0,0.0,0.9999689344105134,0.9983383595986088,0.9991536470045611,0.9983072940091222,市场锁定,1
只补贴用户,2.0500000000000003,2.0500000000000003,0.0,0.9999718913860616,0.9983384208422148,0.9991551561141382,0.9983103122282764,市场锁定,1
只补贴用户,2.1,2.1,0.0,0.9999745519192825,0.9983384636803166,0.9991565077997996,0.9983130155995992,市场锁定,1
只补贴用户,2.15,2.15,0.0,0.9999769874127776,0.9983385264813124,0.999157756947045,0.99831551389409,市场锁定,1
只补贴用户,2.2,2.2,0.0,0.9999791735640521,0.9983385670572618,0.9991588703106569,0.9983177406213138,市场锁定,1
只补贴用户,2.25,2.25,0.0,0.9999811508626482,0.998338604204702,0.9991598775336751,0.9983197550673502,市场锁定,1
只补贴用户,2.3000000000000003,2.3000000000000003,0.0,0.9999829300564618,0.9983386287684942,0.9991607794124779,0.998321558824956,市场锁定,1
只补贴用户,2.35,2.35,0.0,0.9999845714360697,0.998338678790784,0.9991616251134268,0.9983232502268536,市场锁定,1
只补贴用户,2.4000000000000004,2.4000000000000004,0.0,0.9999860354554811,0.9983387045735631,0.9991623700145221,0.9983247400290443,市场锁定,1
只补贴用户,2.45,2.45,0.0,0.9999873618385302,0.9983387303428426,0.9991630460906864,0.9983260921813728,市场锁定,1
只补贴用户,2.5,2.5,0.0,0.9999885532611174,0.9983387456179958,0.9991636494395566,0.9983272988791132,市场锁定,1
只补贴用户,2.5500000000000003,2.5500000000000003,0.0,0.9999896329179362,0.9983387608928624,0.9991641969053993,0.9983283938107986,市场锁定,1
只补贴用户,2.6,2.6,0.0,0.9999906336022946,0.9983387964275865,0.9991647150149405,0.9983294300298811,市场锁定,1
只补贴用户,2.6500000000000004,2.6500000000000004,0.0,0.9999915292483428,0.9983388186725523,0.9991651739604475,0.998330347920895,市场锁定,1
只补贴用户,2.7,2.7,0.0,0.9999923301898456,0.9983388306344226,0.9991655804121341,0.9983311608242682,市场锁定,1
只补贴用户,2.75,2.75,0.0,0.9999930582158927,0.9983388448726193,0.9991659515442559,0.9983319030885119,市场锁定,1
只补贴用户,2.8000000000000003,2.8000000000000003,0.0,0.9999937156618119,0.9983388565037026,0.9991662860827573,0.9983325721655145,市场锁定,1
只补贴用户,2.85,2.85,0.0,0.9999943035469965,0.9983388605524841,0.9991665820497403,0.9983331640994806,市场锁定,1
只补贴用户,2.9000000000000004,2.9000000000000004,0.0,0.9999948190114599,0.9983388498785274,0.9991668344449937,0.9983336688899873,市场锁定,1
只补贴用户,2.95,2.95,0.0,0.9999953301458611,0.9983388793603046,0.9991671047530828,0.9983342095061657,市场锁定,1
只补贴用户,3.0,3.0,0.0,0.9999957808999174,0.9983388972931029,0.9991673390965101,0.9983346781930202,市场锁定,1
只补贴用户,3.0500000000000003,3.0500000000000003,0.0,0.9999961862865661,0.9983389099128734,0.9991675480997197,0.9983350961994395,市场锁定,1
只补贴用户,3.1,3.1,0.0,0.9999965456633537,0.9983389140661176,0.9991677298647357,0.9983354597294714,市场锁定,1
只补贴用户,3.1500000000000004,3.1500000000000004,0.0,0.9999968737234284,0.9983389213552193,0.9991678975393239,0.9983357950786477,市场锁定,1
只补贴用户,3.2,3.2,0.0,0.9999971700716891,0.9983389275030297,0.9991680487873593,0.9983360975747188,市场锁定,1
只补贴用户,3.25,3.25,0.0,0.9999974378311645,0.9983389327028419,0.9991681852670031,0.9983363705340064,市场锁定,1
只补贴用户,3.3000000000000003,3.3000000000000003,0.0,0.999997679747808,0.9983389370601249,0.9991683084039664,0.9983366168079328,市场锁定,1
只补贴用户,3.35,3.35,0.0,0.9999978926760665,0.9983389354689598,0.9991684140725132,0.9983368281450263,市场锁定,1
只补贴用户,3.4000000000000004,3.4000000000000004,0.0,0.9999980859685382,0.998338934710277,0.9991685103394077,0.9983370206788152,市场锁定,1
只补贴用户,3.45,3.45,0.0,0.9999982684896863,0.9983389210436237,0.999168594766655,0.99833718953331,市场锁定,1
只补贴用户,3.5,3.5,0.0,0.9999984673198662,0.998338946683139,0.9991687070015026,0.9983374140030052,市场锁定,1
只补贴用户,3.5500000000000003,3.5500000000000003,0.0,0.9999986326382769,0.9983389063223018,0.9991687694802893,0.9983375389605788,市场锁定,1
只补贴用户,3.6,3.6,0.0,0.9999987683864502,0.9983389102156377,0.9991688393010439,0.9983376786020879,市场锁定,1
只补贴用户,3.6500000000000004,3.6500000000000004,0.0,0.9999988355489497,0.9983389397979489,0.9991688876734492,0.9983377753468986,市场锁定,1
只补贴用户,3.7,3.7,0.0,0.9999989527875843,0.9983389485374742,0.9991689506625292,0.9983379013250585,市场锁定,1
只补贴用户,3.75,3.75,0.0,0.9999990541229878,0.9983389479795847,0.9991690010512863,0.9983380021025725,市场锁定,1
只补贴用户,3.8000000000000003,3.8000000000000003,0.0,0.9999991554604992,0.9983389476141509,0.999169051537325,0.9983381030746501,市场锁定,1
只补贴用户,3.85,3.85,0.0,0.9999992523353844,0.9983389440819257,0.9991690982086551,0.9983381964173101,市场锁定,1
只补贴用户,3.9000000000000004,3.9000000000000004,0.0,0.9999993021344148,0.9983389582307185,0.9991691301825667,0.9983382603651333,市场锁定,1
只补贴用户,3.95,3.95,0.0,0.9999991191162662,0.9983389825006495,0.9991690508084579,0.9983381016169156,市场锁定,1
只补贴用户,4.0,4.0,0.0,0.9999992215802759,0.9983389849602204,0.9991691032702481,0.9983382065404963,市场锁定,1
只补贴用户,4.05,4.05,0.0,0.9999989003137809,0.9983389945557384,0.9991689474347596,0.9983378948695193,市场锁定,1
只补贴用户,4.1000000000000005,4.1000000000000005,0.0,0.9999993643695844,0.9983389897247307,0.9991691770471576,0.998338354094315,市场锁定,1
只补贴用户,4.15,4.15,0.0,0.9999993299930933,0.99833899849472,0.9991691642439067,0.9983383284878132,市场锁定,1
只补贴用户,4.2,4.2,0.0,0.9999992050090891,0.9983390209871874,0.9991691129981383,0.9983382259962765,市场锁定,1
只补贴用户,4.25,4.25,0.0,0.9999991658603674,0.9983390174970374,0.9991690916787024,0.9983381833574048,市场锁定,1
只补贴用户,4.3,4.3,0.0,0.9999992601195564,0.9983390055469036,0.99916913283323,0.99833826566646,市场锁定,1
