b,u_inf,m_inf,L_A,profit_total
0.0,0.0016951292522250031,0.0016951292522250031,0.0016951292522250031,-2.3442369676676345
0.05,0.0018774421993352853,0.0018774421993352853,0.0018774421993352853,-2.384168758923468
0.1,0.002079853563849749,0.002079853563849749,0.002079853563849749,-2.4265049896181736
0.15000000000000002,0.0023046966353925022,0.0023046966353925022,0.0023046966353925022,-2.4716742261943763
0.2,0.0025546035944151346,0.0025546035944151346,0.0025546035944151346,-2.520180065377176
0.25,0.002832545009051046,0.002832545009051046,0.002832545009051046,-2.5726166364263925
0.30000000000000004,0.0031418912998911696,0.0031418912998911696,0.0031418912998911696,-2.6296885836909234
0.35000000000000003,0.003486470717217485,0.003486470717217485,0.003486470717217485,-2.692237482300417
0.4,0.003870647227026583,0.003870647227026583,0.003870647227026583,-2.7612778714428705
0.45,0.004299417641128911,0.004299417641128911,0.004299417641128911,-2.8380483478549423
0.5,0.004778520108275474,0.004778520108275474,0.004778520108275474,-2.9240877636595366
0.55,0.005314579283404412,0.005314579283404412,0.005314579283404412,-3.021356236895828
0.6000000000000001,0.0059152785474535854,0.0059152785474535854,0.0059152785474535854,-3.132443909553471
0.65,0.006589590017767838,0.006589590017767838,0.006589590017767838,-3.2609726139094586
0.7000000000000001,0.00734805724497197,0.00734805724497197,0.00734805724497197,-3.4124943199805307
0.75,0.008203155349325668,0.008203155349325668,0.008203155349325668,-3.5970049695857433
0.8,0.00916981279202623,0.00916981279202623,0.00916981279202623,-3.839342159512611
0.8500000000000001,0.010266050452646914,0.010266050452646914,0.010266050452646914,-4.328897382535702
0.9,0.9997244494841279,0.9997244494841279,0.9997244494841279,53.323903717347676
0.9500000000000001,0.9997507360769726,0.9997507360769726,0.9997507360769726,49.03735090566155
1.0,0.999774532619383,0.999774532619383,0.999774532619383,44.444455990304284
1.05,0.9997960352873736,0.9997960352873736,0.9997960352873736,39.733691850867466
1.1,0.9998154894880099,0.9998154894880099,0.9998154894880099,34.960226283429634
1.1500000000000001,0.9998330801522173,0.9998330801522173,0.9998330801522173,30.14797541769584
1.2000000000000002,0.999848990026361,0.999848990026361,0.999848990026361,25.309517510610387
1.25,0.9998633878630323,0.9998633878630323,0.9998633878630323,20.452297574089076
1.3,0.9998764062993816,0.9998764062993816,0.9998764062993816,15.581090595486184
1.35,0.9998881816604751,0.9998881816604751,0.9998881816604751,10.699142567692272
1.4000000000000001,0.9998988373794083,0.9998988373794083,0.9998988373794083,5.808758988923755
1.4500000000000002,0.9999084702586724,0.9999084702586724,0.9999084702586724,0.9116346401851578
1.5,0.999917188516654,0.999917188516654,0.999917188516654,-3.9909504035605323
1.55,0.9999250778722096,0.9999250778722096,0.9999250778722096,-8.898007613497207
1.6,0.9999322140414746,0.9999322140414746,0.9999322140414746,-13.808759531315992
1.6500000000000001,0.9999386658946341,0.9999386658946341,0.9999386658946341,-18.722585594244237
1.7000000000000002,0.9999445068781015,0.9999445068781015,0.9999445068781015,-23.638984090727675
1.75,0.9999497922708622,0.9999497922708622,0.9999497922708622,-28.55754517042631
1.8,0.9999545733149087,0.9999545733149087,0.9999545733149087,-33.47793089430479
1.85,0.9999588948611474,0.9999588948611474,0.9999588948611474,-38.39986064119288
1.9000000000000001,0.9999628064171169,0.9999628064171169,0.9999628064171169,-43.32309981609955
1.9500000000000002,0.9999663480339976,0.9999663480339976,0.9999663480339976,-48.247451262002215
