,alpha=0.0,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1.0,alpha=1.1,alpha=1.2,alpha=1.3,alpha=1.4,alpha=1.5,alpha=1.6,alpha=1.7,alpha=1.8,alpha=1.9,alpha=2.0,alpha=2.1,alpha=2.2,alpha=2.3,alpha=2.4,alpha=2.5,alpha=2.6,alpha=2.7,alpha=2.8,alpha=2.9,alpha=3.0,alpha=3.1,alpha=3.2,alpha=3.3,alpha=3.4,alpha=3.5,alpha=3.6,alpha=3.7,alpha=3.8,alpha=3.9,alpha=4.0,alpha=4.1,alpha=4.2,alpha=4.3,alpha=4.4,alpha=4.5,alpha=4.6,alpha=4.7,alpha=4.8,alpha=4.9,alpha=5.0
beta=0.00,2.103630136751633e-08,1.8756525610452712e-08,1.1251020393121536e-08,5.743429554172508e-08,8.2804414991422e-09,2.8181250388836787e-08,1.254012627072143e-08,1.3365036910517603e-08,2.1594596499863172e-08,1.1983280312488631e-08,1.6564771054827787e-08,1.6026771909594117e-08,6.884220915548411e-09,5.50573321933534e-08,8.90524581853569e-09,1.2808567650957059e-08,6.650614586822812e-08,8.112635896395659e-09,8.24714996294773e-09,3.510589913213735e-08,1.704710722583158e-08,3.5528280317720373e-09,1.0034226005650737e-08,4.3894510914910256e-08,1.4106930457113975e-08,3.2101333813372435e-09,6.18992990197853e-09,2.1772332159386565e-08,2.8602060608839963e-08,6.433261645621968e-09,2.572987156668205e-09,5.699815286419607e-09,1.815535560778514e-08,2.989711833656372e-08,8.307807553009638e-09,2.104664109658927e-09,3.0706736597885254e-09,6.066274538252259e-09,1.799264143231838e-08,3.1171214498471045e-08,8.961038355792539e-09,2.226259121496099e-09,2.70095640297896e-09,4.036217249314689e-09,2.0809042045044635e-08,2.5068729814226032e-08,9.378835430506882e-09,2.5218316324071566e-09,2.587310088397743e-09,2.7612034325663615e-09,3.0991601507324162e-09
beta=0.10,1.8756525610452712e-08,1.0774319880724192e-08,2.4931691100515962e-08,2.2306167413166378e-08,5.691106086391784e-09,1.835657731374951e-08,3.426957301266853e-08,7.91116860909824e-09,3.431891526517461e-08,1.629188567386919e-08,1.0766490143865326e-08,2.049762276579159e-08,1.4686963145660314e-08,1.171886987449966e-08,2.416442151931264e-08,2.1846387365798137e-08,2.285574396410084e-09,5.6674459125716226e-08,1.7214306091695164e-09,1.2504866586660057e-09,2.5739290532289516e-08,5.047051443440864e-09,1.150485628986786e-08,1.2059799381347602e-08,2.5522303936931223e-08,5.138715497565727e-08,8.77423360634566e-08,1.370239677278562e-07,2.3587750885845082e-07,3.882007297839607e-07,6.221863582123177e-07,9.783742521696226e-07,1.5027233375430882e-06,2.4208632928290896e-06,3.7896943078097323e-06,5.8429538603022024e-06,8.950448540878675e-06,1.3611052678608182e-05,2.0656736350654903e-05,3.1079770802189266e-05,4.6521534418864086e-05,6.924141980668708e-05,0.00010249000443052214,0.00015097797622276588,0.00022118190448761066,0.0003225418950967285,0.00046794502871272403,0.0006756376218860494,0.0009707639652406508,0.0013880630609268696,0.0019750257476467414
beta=0.20,1.1251020393121536e-08,2.4931691100515962e-08,2.8903913706912476e-08,2.965431616930303e-08,5.121617024927971e-08,2.415519179121972e-08,1.3311927782311272e-08,1.3467398529698471e-08,3.492589162323867e-08,1.1277341838145105e-08,4.507765632988381e-08,5.0404072027276925e-09,1.523522841218039e-08,5.7419196064500966e-08,1.5408816467221698e-07,4.177518349024467e-07,1.0266829981731007e-06,2.533034954566027e-06,5.9755192235444454e-06,1.3772944085665983e-05,3.101167445374031e-05,6.839578725070794e-05,0.00014788985121705345,0.0003140478192682483,0.0006552384527224175,0.0013441161883120945,0.0027114472094210695,0.005376787483964307,0.010465671827403544,0.019925402556426386,0.03682570617377301,0.06508858065884349,0.10732439252821357,0.1605214902496871,0.21532897828433395,0.26340944973869884,0.30256606070313397,0.3343037620372181,0.360644192199677,0.38308223782717654,0.4025881209450338,0.4197912886801194,0.4351197239604956,0.4488810543692716,0.4613074833804611,0.4725811050547236,0.48284870405078073,0.4922310971209337,0.5008293671789811,0.5087291473034233,0.5160036284364224
beta=0.30,5.743429554172508e-08,2.2306167413166378e-08,2.965431616930303e-08,9.245069376717652e-09,2.1230148583573083e-08,2.026218848261152e-08,2.459942111121549e-08,1.993846171499669e-08,1.767167656652191e-08,8.492936509618687e-08,3.4921386027342294e-07,1.388187367168392e-06,5.073296923785442e-06,1.7475405712064074e-05,5.7422970119902494e-05,0.00018080959085309267,0.0005474898230638514,0.0015985063370762553,0.004505419393407983,0.012235980317042094,0.031703202037325906,0.07579662501557527,0.15428004010972196,0.2460085432841348,0.31883619420285714,0.37049018897664665,0.4092879189384777,0.4404039650632665,0.46634912247175575,0.48845927827880886,0.5075579289628975,0.5242123235987588,0.5388408151079007,0.5517651729139291,0.5632397505911617,0.573469698133265,0.5826229538912883,0.5908388021934393,0.5982339647357995,0.6049070835412131,0.6109422179848386,0.6164115014472749,0.6213771211007941,0.6258931002159194,0.6300064942489246,0.6337585266233843,0.6371854222279759,0.6403191471283903,0.6431880167346821,0.6458171437898271,0.6482288965881806
beta=0.40,8.2804414991422e-09,5.691106086391784e-09,5.121617024927971e-08,2.1230148583573083e-08,3.165901540924665e-09,3.3582517877661644e-09,3.238653351056442e-08,1.3137791810002852e-07,8.366717945129665e-07,4.704785128373246e-06,2.4066545404988204e-05,0.00011360540026628119,0.0004999073312810243,0.0020646747107032626,0.008025530427138827,0.029091949773815906,0.09278319220946141,0.2162302768792943,0.3304003269624253,0.4026546492860553,0.4525230984009311,0.49094386485944297,0.5220779457929442,0.5479344546539983,0.569732234409221,0.5883062498097275,0.6042653584650054,0.6180701671610581,0.630078530541067,0.6405739738674966,0.6497846103354911,0.6578965330915542,0.6650632348900317,0.6714123737450312,0.677051159080611,0.6820702097937594,0.6865465815941431,0.6905461736351869,0.6941257054057677,0.6973340973938853,0.7002137725001647,0.7028016600063625,0.7051300551535268,0.7072271888029213,0.7091178812407326,0.7108240003942188,0.712364860125383,0.7137575433037371,0.7150172038286704,0.7161573027788029,0.7171898263830229
beta=0.50,2.8181250388836787e-08,1.835657731374951e-08,2.415519179121972e-08,2.026218848261152e-08,3.3582517877661644e-09,3.763519385024949e-08,3.3220104234121806e-07,2.992573077675864e-06,2.3177975409294227e-05,0.00015859513136440295,0.0009760964541651873,0.0054662274525594245,0.027708231811034323,0.1158228689535995,0.2828684282260975,0.39933328136977786,0.46844623585931244,0.5180794642703969,0.5567873788379301,0.5879983037353154,0.6136472881190242,0.6350068394360225,0.6529746335556562,0.6682109815224809,0.681216218222123,0.6923781399513587,0.7020027117123374,0.7103349910890552,0.717573720331446,0.7238816366936021,0.72939329694898,0.7342207938564701,0.7384581333185413,0.7421846179259437,0.7454675214106895,0.7483641819189872,0.750923664615943,0.7531881322104644,0.755193940459176,0.7569725266645388,0.7585511701198691,0.7599535861966321,0.7612004697552481,0.7623099002965245,0.7632976891263147,0.7641777389219964,0.7649622283448065,0.7656619081244773,0.7662862566707008,0.7668436343704685,0.767341411442592
beta=0.60,1.254012627072143e-08,3.426957301266853e-08,1.3311927782311272e-08,2.459942111121549e-08,3.238653351056442e-08,3.3220104234121806e-07,4.536887744377438e-06,4.997125731109886e-05,0.00046777307591694406,0.0038063674323698393,0.026997074441549085,0.14465325561239784,0.34308494741293905,0.45377065979423903,0.5218097347610933,0.5718592972209341,0.6108115162969943,0.6419509735761865,0.6672827917587887,0.6881545150505078,0.7055213798364052,0.7200858516624711,0.7323789043761616,0.7428105748255315,0.75170302767572,0.7593129876547848,0.7658474465382091,0.7714749722597747,0.7763340273497753,0.7805391800157785,0.7841858470862655,0.787353953639641,0.7901107853017406,0.7925132218607853,0.7946095763249326,0.7964409906406916,0.798042670263803,0.7994447900945283,0.8006732542765704,0.8017504450987231,0.8026956513109132,0.8035255675412651,0.8042547067826978,0.8048956388936305,0.8054593100779432,0.805955255908828,0.8063917545218913,0.806776099598609,0.8071146247124577,0.8074128729290747,0.807675722480654
beta=0.70,1.3365036910517603e-08,7.91116860909824e-09,1.3467398529698471e-08,1.993846171499669e-08,1.3137791810002852e-07,2.992573077675864e-06,4.997125731109886e-05,0.0006657818188517961,0.00736087154628573,0.06574063112890072,0.28620789677676917,0.44503149697239597,0.5297767704539903,0.5891956945042419,0.6342100508744097,0.6694553457346336,0.6976294121780713,0.7204856942480415,0.7392355296093239,0.7547515149423161,0.7676820156752708,0.7785204151079463,0.7876493307859889,0.7953700624674968,0.8019228853792809,0.8075014553714884,0.8122632621299954,0.8163373672050772,0.8198302500020239,0.8228302495322489,0.8254110853910884,0.827634511316399,0.8295524563756148,0.831208793523215,0.8326406645940588,0.8338795821615894,0.8349524644889124,0.835882240109222,0.836688528242171,0.8373881484255857,0.837995506414967,0.838523046124324,0.838981459065996,0.8393799189286112,0.8397264205832969,0.8400278227700348,0.8402900676731113,0.8405182947375024,0.8407169802946661,0.8408899708152305,0.8410405877089194
beta=0.80,2.1594596499863172e-08,3.431891526517461e-08,3.492589162323867e-08,1.767167656652191e-08,8.366717945129665e-07,2.3177975409294227e-05,0.00046777307591694406,0.00736087154628573,0.08663985078890657,0.3469405705943752,0.4891909902520756,0.5711041338770916,0.6295950833813512,0.6738359702448936,0.708315038963385,0.7357233242691537,0.7578232456438561,0.7758356327348999,0.7906406127452505,0.8028919048902802,0.8130863899055419,0.8216086930416212,0.8287609772984352,0.8347835244822494,0.8398693560519818,0.8441748634713565,0.8478276801572782,0.8509326517065057,0.8535763230826293,0.8558305758233273,0.8577552495030357,0.8594004451090688,0.8608081692347153,0.8620137965476391,0.8630471770676609,0.8639335451926119,0.864694329398029,0.8653476416841996,0.8659089780820753,0.8663915053888054,0.8668064506512048,0.8671634031499715,0.8674705783322336,0.8677349852064663,0.8679626132234055,0.8681586698873235,0.8683275385751921,0.8684729809149853,0.868598307188765,0.868706307409254,0.8687993945572217
beta=0.90,1.1983280312488631e-08,1.629188567386919e-08,1.1277341838145105e-08,8.492936509618687e-08,4.704785128373246e-06,0.00015859513136440295,0.0038063674323698393,0.06574063112890072,0.3469405705943752,0.5023620751474591,0.5898674236342717,0.6515670768591174,0.6977225789672872,0.7333632193184604,0.7614646269695083,0.7839527630083196,0.802149436232549,0.8170004797027319,0.8292040409200864,0.8392878684527615,0.8476584468048607,0.8546336006062843,0.8604648990785704,0.8653535008495719,0.8694616291245992,0.8729210570158527,0.8758394649007123,0.8783053529049942,0.8803917645338012,0.8821592458120956,0.8836581250684528,0.8849304230977858,0.8860112807300099,0.8869301856427501,0.8877119042398197,0.8883772951539637,0.8889439616169938,0.889426764976281,0.8898382585636958,0.890189134884087,0.8904884099916358,0.8907436786783042,0.8909615093482759,0.8911474327343036,0.891306152982873,0.891441667691393,0.8915573834810332,0.8916562223006524,0.8917406306713217,0.8918127293120904,0.8918743312582476
