scenario,alpha,beta,budget,rho,bBU,bBM,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
对称网络效应,0.8,0.8,0.8,0.0,0.0,0.8,0.15143658523411935,0.04475467757980383,0.8485634147658807,0.9552453224201962,0.9019043685930384,0.8038087371860768,平台B锁定
对称网络效应,0.8,0.8,0.8,0.01,0.008,0.792,0.14935022157262676,0.04516483447191648,0.8506497784273732,0.9548351655280836,0.9027424719777284,0.8054849439554568,平台B锁定
对称网络效应,0.8,0.8,0.8,0.02,0.016,0.784,0.14729395211796129,0.045583051197351857,0.8527060478820387,0.9544169488026482,0.9035614983423434,0.8071229966846869,平台B锁定
对称网络效应,0.8,0.8,0.8,0.03,0.024,0.776,0.145267434692465,0.046009431202145235,0.854732565307535,0.9539905687978547,0.9043615670526949,0.8087231341053898,平台B锁定
对称网络效应,0.8,0.8,0.8,0.04,0.032,0.768,0.1432703272743508,0.04644407962146393,0.8567296727256493,0.9535559203785361,0.9051427965520926,0.8102855931041852,平台B锁定
对称网络效应,0.8,0.8,0.8,0.05,0.04000000000000001,0.76,0.14130228855242397,0.04688710358399896,0.858697711447576,0.953112896416001,0.9059053039317886,0.8118106078635771,平台B锁定
对称网络效应,0.8,0.8,0.8,0.06,0.048,0.752,0.13936297789569704,0.04733861206889702,0.8606370221043029,0.952661387931103,0.906649205017703,0.8132984100354059,平台B锁定
对称网络效应,0.8,0.8,0.8,0.07,0.05600000000000001,0.744,0.1374520554234063,0.04779871584904142,0.8625479445765937,0.9522012841509586,0.9073746143637762,0.8147492287275522,平台B锁定
对称网络效应,0.8,0.8,0.8,0.08,0.064,0.7360000000000001,0.1355691822935846,0.04826752761144673,0.8644308177064154,0.9517324723885533,0.9080816450474843,0.8161632900949687,平台B锁定
对称网络效应,0.8,0.8,0.8,0.09,0.072,0.7280000000000001,0.13371402086522066,0.04874516198640955,0.8662859791347793,0.9512548380135905,0.9087704085741849,0.8175408171483698,平台B锁定
对称网络效应,0.8,0.8,0.8,0.1,0.08000000000000002,0.7200000000000001,0.13188623485111653,0.04923173557636867,0.8681137651488835,0.9507682644236314,0.9094410147862574,0.8188820295725148,平台B锁定
对称网络效应,0.8,0.8,0.8,0.11,0.08800000000000001,0.7120000000000001,0.1300854894618279,0.049727366984517615,0.869914510538172,0.9502726330154824,0.9100935717768273,0.8201871435536545,平台B锁定
对称网络效应,0.8,0.8,0.8,0.12,0.096,0.7040000000000001,0.12831145154107396,0.050232176843215924,0.8716885484589261,0.9497678231567841,0.9107281858078551,0.8214563716157102,平台B锁定
