case_or_budget,best_rho,best_L_B,success
0.0,0.0,0.3331084269889456,0
0.05,0.0,0.40334762174795413,0
0.1,0.0,0.49722304501174786,0
0.15,0.0,0.6023183068683045,1
0.2,0.5,0.6926089747868327,1
0.25,0.5,0.7570570659071535,1
0.3,0.5,0.7996495846225524,1
0.35,0.5,0.8284700951758375,1
0.4,0.5,0.8491017146077073,1
0.45,0.5,0.8647576480884527,1
0.5,0.5,0.8772369372023052,1
0.55,0.5,0.88757132118157,1
0.6,0.5,0.8963777890837553,1
0.65,0.5,0.9040430471683715,1
0.7,0.5,0.9108210630580553,1
0.75,0.5,0.916886145119915,1
0.8,0.5,0.922362836804355,1
0.85,0.5,0.9273433759162438,1
0.9,0.5,0.9318982539068906,1
0.95,0.5,0.9360828287099747,1
1.0,0.5,0.9399415976341332,1
1.05,0.5,0.9435110452429695,1
1.1,0.5,0.9468215951523922,1
1.15,0.5,0.9498989830304,1
1.2,0.5,0.9527652464809425,1
1.25,0.5,0.9554394555397646,1
1.3,0.5,0.9579382598159839,1
1.35,0.5,0.960276310324942,1
1.4,0.5,0.9624665859332493,1
1.45,0.5,0.9645206525879959,1
1.5,0.5,0.9664488717175358,1
对称网络效应(B=0.8),0.5,0.922362836804355,1
用户更依赖商户(B=0.8),0.24,0.9227493679249457,1
商户更依赖用户(B=0.8),0.76,0.9227493679249457,1
